'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/04/2025,1.8,8.6, ,17.8,11.5,99,69,1.19,11.84
MOUNT NOWA NOWA,02/04/2025,2.5,0.2, ,19.5,10.6,93,61,1.99,17.25
MOUNT NOWA NOWA,03/04/2025,2.3,0.0, ,19.9,11.4,95,62,2.24,13.79
MOUNT NOWA NOWA,04/04/2025,1.7,0.2, ,18.2,10.8,99,60,1.66,9.56
MOUNT NOWA NOWA,05/04/2025,2.5,2.2, ,16.2,7.9,99,48,3.89,14.03
MOUNT NOWA NOWA,06/04/2025,3.1,0.0, ,21.3,8.2,94,41,3.65,14.57
MOUNT NOWA NOWA,07/04/2025,2.2,0.2, ,17.8,10.4,95,59,4.08,9.58
MOUNT NOWA NOWA,08/04/2025,2.1,0.0, ,18.3,9.1,94,60,1.60,15.63
MOUNT NOWA NOWA,09/04/2025,2.3,0.0, ,21.5,10.9,91,60,1.11,15.94
MOUNT NOWA NOWA,10/04/2025,2.8,0.0, ,22.2,12.8,92,38,2.00,15.14
MOUNT NOWA NOWA,11/04/2025,2.3,0.0, ,20.0,14.2,94,45,2.40,10.91
MOUNT NOWA NOWA,12/04/2025,2.7,0.0, ,25.0,14.2,97,46,1.60,15.37
MOUNT NOWA NOWA,13/04/2025,5.1,0.0, ,29.6,17.2,61,29,4.17,14.98
MOUNT NOWA NOWA,14/04/2025,1.5,0.0, ,16.8,15.4,99,51,2.12,5.16
MOUNT NOWA NOWA,15/04/2025,2.1,3.4, ,20.5,10.5,100,65,2.12,14.88
MOUNT NOWA NOWA,16/04/2025,2.2,0.0, ,21.2,11.7,89,60,1.82,14.24
MOUNT NOWA NOWA,17/04/2025,2.3,0.0, ,21.6,12.7,95,50,1.71,14.55
MOUNT NOWA NOWA,18/04/2025,2.8,0.0, ,24.2,12.5,84,43,2.85,10.94
MOUNT NOWA NOWA,19/04/2025,3.3,0.0, ,25.4,14.1,77,36,3.29,9.81
MOUNT NOWA NOWA,20/04/2025,3.3,0.0, ,25.5,19.5,90,31,3.65,7.58
MOUNT NOWA NOWA,21/04/2025,1.5,3.4, ,18.5,14.2,100,69,2.69,8.12
MOUNT NOWA NOWA,22/04/2025,0.6,25.0, ,14.9,12.4,100,98,2.92,2.67
MOUNT NOWA NOWA,23/04/2025,0.9,8.8, ,16.6,12.4,100,92,0.95,4.77
MOUNT NOWA NOWA,24/04/2025,2.7,1.4, ,23.7,13.6,100,49,3.30,13.09
MOUNT NOWA NOWA,25/04/2025,3.1,0.0, ,25.8,16.1,91,44,3.30,12.82
MOUNT NOWA NOWA,26/04/2025,1.7,0.0, ,21.2,14.3,99,70,1.16,12.33
MOUNT NOWA NOWA,27/04/2025,0.7,0.8, ,15.5,14.4,100,99,1.08,3.48
MOUNT NOWA NOWA,28/04/2025,0.9,2.2, ,15.1,11.6,100,91,0.84,5.82
MOUNT NOWA NOWA,29/04/2025,0.9,0.2, ,14.7,11.9,99,86,2.06,4.58
MOUNT NOWA NOWA,30/04/2025,1.1,15.8, ,15.1,9.6,98,68,0.87,8.53
Totals:,,65,72.4, ,,,,,, 
