'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/10/2024,3.3,0.2, ,19.9,6.8,100,40,3.51,16.79
NHILL AERODROME,02/10/2024,4.4,0.0, ,22.8,3.8,99,27,3.42,22.47
NHILL AERODROME,03/10/2024,6.7,0.0, ,28.9,7.9,85,21,5.41,21.35
NHILL AERODROME,04/10/2024,4.2,1.4, ,21.2,13.2,91,40,4.90,19.62
NHILL AERODROME,05/10/2024,2.6,0.2, ,17.2,8.1,99,60,5.67,13.62
NHILL AERODROME,06/10/2024,4.4,0.8, ,20.4,10.5,93,39,7.32,18.60
NHILL AERODROME,07/10/2024,3.3,0.0, ,19.7,9.9,98,51,5.84,14.54
NHILL AERODROME,08/10/2024,3.8,0.2, ,17.5,0.1,93,33,3.81,23.13
NHILL AERODROME,09/10/2024,4.8,0.0, ,22.4,1.3,89,16,3.12,23.71
NHILL AERODROME,10/10/2024, ,0.0, , ,7.6,72,28,5.08,23.80
NHILL AERODROME,11/10/2024, , , ,19.3, ,91,40,5.25,23.88
NHILL AERODROME,12/10/2024,5.2,0.0, ,23.9,1.9,99,11,3.25,23.71
NHILL AERODROME,13/10/2024,5.4,0.0, ,26.3,8.3,85,11,4.02,13.32
NHILL AERODROME,14/10/2024,5.7,0.6, ,27.8,8.4,98,24,3.72,23.92
NHILL AERODROME,15/10/2024,3.1,0.6, ,22.0,12.8,90,51,5.16,7.49
NHILL AERODROME,16/10/2024,6.0,1.6, ,29.4,13.4,95,34,4.75,22.66
NHILL AERODROME,17/10/2024,4.0,2.4, ,27.6,15.6,100,49,5.12,12.23
NHILL AERODROME,18/10/2024,1.9,5.8, ,18.6,16.6,100,78,8.66,8.50
NHILL AERODROME,19/10/2024,4.2,0.0, ,20.2,7.8,96,49,5.30,25.19
NHILL AERODROME,20/10/2024,5.0,0.0, ,25.3,6.9,99,33,3.34,24.69
NHILL AERODROME,21/10/2024,6.3,0.0, ,28.9,9.3,84,18,3.53,24.66
NHILL AERODROME,22/10/2024,6.4,0.0, ,29.2,13.8,77,25,4.68,19.88
NHILL AERODROME,23/10/2024,5.5,0.0, ,22.1,10.7,86,30,5.90,23.77
NHILL AERODROME,24/10/2024,4.8,0.0, ,19.3,5.5,89,28,5.89,21.65
NHILL AERODROME,25/10/2024,4.3,0.0, ,19.8,5.0,93,32,3.57,23.23
NHILL AERODROME,26/10/2024,5.8,0.0, ,25.5,6.4,72,20,3.88,23.26
NHILL AERODROME,27/10/2024,7.1,0.0, ,28.8,11.5,73,19,4.55,25.85
NHILL AERODROME,28/10/2024,5.7,0.0, ,24.1,7.8,92,26,4.83,25.63
NHILL AERODROME,29/10/2024,5.8,0.0, ,25.9,5.0,89,24,3.69,26.00
NHILL AERODROME,30/10/2024,6.3,0.0, ,27.1,4.7,95,21,4.25,25.66
NHILL AERODROME,31/10/2024,5.0,0.0, ,22.6,7.8,90,33,5.04,21.91
Totals:,,141,13.8, ,,,,,, 
