'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/10/2024,3.5,0.0, ,21.3,1.6,99,42,2.46,21.13
OMEO,02/10/2024,3.6,0.0, ,20.9,6.8,96,45,2.34,22.21
OMEO,03/10/2024,3.6,0.0, ,23.3,1.9,99,29,1.48,22.27
OMEO,04/10/2024,2.6,0.0, ,18.3,5.5,99,53,3.87,12.19
OMEO,05/10/2024,3.2,11.0, ,17.0,8.2,100,39,3.76,17.07
OMEO,06/10/2024,3.4,3.4, ,16.9,8.5,99,41,5.46,17.08
OMEO,07/10/2024,3.8,0.0, ,19.5,10.4,98,40,6.05,15.99
OMEO,08/10/2024,2.7,2.2, ,13.4,1.2,93,45,2.90,18.71
OMEO,09/10/2024,3.4,0.0, ,20.1,-2.8,98,33,1.55,23.55
OMEO,10/10/2024,4.5,0.0, ,21.3,3.8,95,36,4.61,23.41
OMEO,11/10/2024,3.4,0.0, ,18.6,8.2,92,58,3.41,21.30
OMEO,12/10/2024,3.7,0.0, ,18.0,1.8,92,34,2.66,23.92
OMEO,13/10/2024,4.7,0.0, ,22.0,-0.2,97,20,3.12,24.29
OMEO,14/10/2024,2.9,0.0, ,20.1,3.7,97,46,2.65,14.06
OMEO,15/10/2024,3.9,0.0, ,20.8,8.4,96,48,2.92,23.12
OMEO,16/10/2024,3.8,0.0, ,25.4,5.7,99,33,1.75,18.79
OMEO,17/10/2024,4.2,0.8, ,23.6,8.6,100,44,3.35,21.58
OMEO,18/10/2024,2.2,2.6, ,19.8,12.1,100,69,4.23,10.04
OMEO,19/10/2024,4.4,12.4, ,21.7,12.5,100,30,2.73,23.31
OMEO,20/10/2024,3.9,0.0, ,19.6,6.2,99,54,3.45,25.25
OMEO,21/10/2024,4.4,0.0, ,23.3,6.3,99,41,2.19,25.74
OMEO,22/10/2024,4.1,0.0, ,24.6,6.0,99,44,3.36,18.92
OMEO,23/10/2024,3.6,0.0, ,21.1,11.4,95,42,4.44,13.95
OMEO,24/10/2024,4.3,0.0, ,19.6,4.9,98,33,2.97,25.42
OMEO,25/10/2024,3.7,0.0, ,15.7,0.3,99,30,2.76,25.36
OMEO,26/10/2024,4.2,0.2, ,19.9,-2.8,98,9,1.70,26.61
OMEO,27/10/2024,4.4,0.0, ,23.2,5.1,82,27,3.14,18.11
OMEO,28/10/2024,4.4,0.0, ,21.1,5.7,92,33,2.91,24.16
OMEO,29/10/2024,4.7,0.0, ,23.4,-0.5,99,28,2.32,27.19
OMEO,30/10/2024,5.0,0.0, ,26.7,2.0,99,38,2.58,26.16
OMEO,31/10/2024,3.1,0.0, ,18.6,3.7,99,50,2.89,16.73
Totals:,,117.3,32.6, ,,,,,, 
