'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/11/2024,4.1,0.0, ,17.7,6.0,93,39,3.81,24.03
OMEO,02/11/2024,5.5,0.0, ,23.2,-1.0,99,24,4.21,27.30
OMEO,03/11/2024,8.0,0.0, ,28.1,8.6,86,19,7.48,26.85
OMEO,04/11/2024,4.5,0.0, ,21.6,9.2,87,47,3.44,24.88
OMEO,05/11/2024,5.3,0.0, ,26.2,4.4,99,26,2.36,27.62
OMEO,06/11/2024,6.9,0.0, ,29.9,7.4,98,24,5.00,24.47
OMEO,07/11/2024,4.8,0.0, ,21.5,11.6,90,21,4.09,18.59
OMEO,08/11/2024,5.0,0.0, ,19.7,9.5,86,22,4.51,22.34
OMEO,09/11/2024,4.6,0.0, ,22.4,4.2,94,25,2.93,21.73
OMEO,10/11/2024,5.3,0.0, ,24.4,2.8,93,27,2.83,27.98
OMEO,11/11/2024,6.2,0.0, ,29.2,2.3,99,20,2.71,28.40
OMEO,12/11/2024,4.0,0.0, ,25.6,5.2,93,32,2.18,16.99
OMEO,13/11/2024,4.0,3.2, ,24.4,11.9,99,44,3.42,16.19
OMEO,14/11/2024,4.5,8.8, ,20.7,8.1,99,41,3.69,24.91
OMEO,15/11/2024,5.4,0.2, ,25.5,8.5,97,30,3.01,26.64
OMEO,16/11/2024,6.8,0.0, ,28.2,7.4,100,27,4.76,28.44
OMEO,17/11/2024,3.6,0.0, ,22.7,15.8,99,46,5.79,10.72
OMEO,18/11/2024,5.0,10.6, ,21.3,5.8,84,32,3.03,27.50
OMEO,19/11/2024,5.1,0.0, ,23.6,5.3,94,38,2.91,28.44
OMEO,20/11/2024,5.2,0.0, ,25.8,5.1,98,40,2.95,26.99
OMEO,21/11/2024,6.0,0.0, ,28.8,8.5,99,25,3.24,25.11
OMEO,22/11/2024,6.8,0.0, ,33.3,11.2,97,22,2.75,27.15
OMEO,23/11/2024,6.8,0.0, ,32.1,10.9,86,23,3.21,25.90
OMEO,24/11/2024,2.5,0.0, ,23.4,13.8,99,50,1.07,10.87
OMEO,25/11/2024,2.3,13.2, ,23.3,16.2,100,66,1.48,9.70
OMEO,26/11/2024,4.0,11.6, ,27.0,16.2,100,52,3.65,15.75
OMEO,27/11/2024,2.9,3.8, ,22.1,14.9,100,71,4.57,14.07
OMEO,28/11/2024,5.7,8.0, ,26.9,13.8,100,35,3.49,25.97
OMEO,29/11/2024,4.0,0.2, ,27.0,15.5,100,56,2.56,18.21
OMEO,30/11/2024, ,11.6, ,19.3,16.7,100,85,3.32, 
Totals:,,144.8,71.2, ,,,,,, 
