'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/03/2025,6.8,0.0, ,31.6,11.2,99,18,4.25,23.91
OMEO,02/03/2025,3.8,0.0, ,25.4,13.9,99,44,3.74,13.96
OMEO,03/03/2025,3.8,0.0, ,23.7,11.4,91,47,2.85,18.33
OMEO,04/03/2025,5.0,0.0, ,30.6,9.1,99,30,2.20,23.15
OMEO,05/03/2025,5.7,0.0, ,33.0,9.8,95,22,2.58,22.91
OMEO,06/03/2025,5.1,0.0, ,28.4,8.8,92,32,3.05,22.56
OMEO,07/03/2025,4.9,0.0, ,29.1,11.7,100,33,2.57,22.61
OMEO,08/03/2025,5.0,0.0, ,32.3,7.6,99,19,1.90,22.36
OMEO,09/03/2025,5.2,0.0, ,31.0,10.2,90,18,2.39,21.32
OMEO,10/03/2025,2.6,8.0, ,26.1,15.9,100,54,1.75,11.01
OMEO,11/03/2025,3.6,14.2, ,26.2,13.6,98,52,2.82,16.51
OMEO,12/03/2025,4.1,0.0, ,30.0,13.5,100,32,2.08,16.82
OMEO,13/03/2025,5.4,0.6, ,31.1,14.1,98,31,3.83,19.14
OMEO,14/03/2025,6.1,0.2, ,32.6,14.7,100,11,3.54,19.35
OMEO,15/03/2025,5.1,0.0, ,32.5,12.7,99,20,3.00,15.37
OMEO,16/03/2025,4.6,0.0, ,28.1,16.3,99,29,5.22,9.40
OMEO,17/03/2025,3.1,15.2, ,17.7,6.4,90,37,2.86,17.28
OMEO,18/03/2025,3.8,0.2, ,25.0,1.0,99,26,1.98,20.27
OMEO,19/03/2025,4.3,0.0, ,28.6,5.8,99,36,2.76,18.81
OMEO,20/03/2025,3.1,0.0, ,24.8,9.2,100,50,5.18,6.12
OMEO,21/03/2025,1.9,19.4, ,18.4,15.4,100,74,3.19,10.03
OMEO,22/03/2025,3.6,0.4, ,24.7,11.1,99,46,2.62,18.97
OMEO,23/03/2025,3.8,0.0, ,26.8,12.4,99,40,2.70,17.79
OMEO,24/03/2025,2.7,0.0, ,24.6,12.9,99,61,2.34,13.71
OMEO,25/03/2025,3.6,0.0, ,27.7,13.7,100,54,2.99,16.65
OMEO,26/03/2025,3.9,0.0, ,28.6,13.7,100,51,3.29,17.17
OMEO,27/03/2025,2.4,0.0, ,21.7,13.9,99,63,2.66,11.72
OMEO,28/03/2025,3.6,0.0, ,28.4,13.1,99,38,2.55,14.71
OMEO,29/03/2025,2.1,3.6, ,23.8,13.4,100,60,2.09,9.17
OMEO,30/03/2025,1.1,8.2, ,15.1,12.9,100,94,4.52,7.53
OMEO,31/03/2025,1.2,11.8, ,14.0,11.1,99,89,3.72,7.82
Totals:,,121,81.8, ,,,,,, 
