'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for OMEO Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
OMEO,01/04/2025,2.5,10.6, ,18.6,9.6,99,58,3.15,14.81
OMEO,02/04/2025,2.8,0.4, ,21.9,4.5,99,34,1.59,17.50
OMEO,03/04/2025,2.2,0.0, ,20.8,6.1,99,51,2.28,10.05
OMEO,04/04/2025,2.6,1.6, ,21.2,8.2,95,52,2.26,14.98
OMEO,05/04/2025,2.2,0.2, ,16.7,6.9,99,49,2.32,13.61
OMEO,06/04/2025,3.2,0.0, ,17.9,2.9,99,37,5.05,14.27
OMEO,07/04/2025,2.8,0.0, ,19.6,5.6,91,38,2.35,16.49
OMEO,08/04/2025,2.8,0.0, ,21.6,3.9,99,35,2.04,16.44
OMEO,09/04/2025,3.3,0.0, ,21.9,9.1,92,35,3.17,16.07
OMEO,10/04/2025,3.1,0.0, ,22.9,7.6,93,27,2.46,14.33
OMEO,11/04/2025,3.5,0.0, ,26.6,5.8,95,33,2.69,14.31
OMEO,12/04/2025,3.1,0.0, ,25.8,10.3,95,36,2.20,15.34
OMEO,13/04/2025,2.8,0.0, ,25.9,6.6,99,33,1.83,13.95
OMEO,14/04/2025,2.1,0.0, ,20.5,8.9,99,54,2.68,9.19
OMEO,15/04/2025, ,0.0, , ,9.2,100,49,1.65,14.95
OMEO,16/04/2025, , , ,24.7, ,100,39,1.32,14.64
OMEO,17/04/2025,2.2,0.0, ,24.3,2.2,99,40,1.07,14.88
OMEO,18/04/2025,2.4,0.0, ,25.3,5.3,99,33,1.30,13.74
OMEO,19/04/2025,3.4,0.0, ,24.8,8.1,92,28,3.30,11.74
OMEO,20/04/2025,3.9,0.0, ,25.3,11.7,99,29,4.43,13.84
OMEO,21/04/2025,1.3,2.2, ,16.7,8.4,99,60,1.57,6.67
OMEO,22/04/2025,0.9,7.0, ,14.6,11.3,99,85,2.97,3.37
OMEO,23/04/2025,1.1,5.4, ,16.0,11.9,100,83,2.38,6.77
OMEO,24/04/2025,2.6,0.0, ,22.2,9.8,100,41,2.83,12.95
OMEO,25/04/2025,2.6,0.0, ,22.9,7.0,99,46,2.87,13.05
OMEO,26/04/2025,2.0,0.0, ,22.4,8.7,99,50,1.80,12.17
OMEO,27/04/2025,1.7,0.0, ,19.8,11.5,100,63,2.67,8.17
OMEO,28/04/2025,1.8,0.0, ,20.7,10.3,100,58,2.30,10.49
OMEO,29/04/2025,1.5,0.8, ,16.9,10.5,99,64,2.95,7.05
OMEO,30/04/2025,1.4,2.8, ,15.0,7.3,99,67,2.58,9.40
Totals:,,67.8,31, ,,,,,, 
