'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/10/2024,3.1,0.0, ,19.1,7.1,95,52,2.66,19.68
ORBOST,02/10/2024,2.9,0.0, ,16.3,6.9,92,58,1.52,22.01
ORBOST,03/10/2024,3.1,0.0, ,21.9,5.5,99,60,1.15,22.22
ORBOST,04/10/2024,2.1,0.0, ,21.2,9.6,95,63,0.93,11.68
ORBOST,05/10/2024,3.6,10.8, ,22.1,12.5,98,35,2.22,19.49
ORBOST,06/10/2024,3.6,6.6, ,21.2,10.3,97,41,2.74,19.57
ORBOST,07/10/2024,3.7,0.0, ,24.0,10.9,90,36,3.24,12.89
ORBOST,08/10/2024,2.8,6.6, ,14.0,7.2,91,48,2.44,19.33
ORBOST,09/10/2024,2.9,1.0, ,16.2,2.8,94,52,1.19,23.41
ORBOST,10/10/2024,4.0,0.0, ,24.8,7.3,95,35,1.91,22.51
ORBOST,11/10/2024,2.5,0.0, ,16.5,10.7,89,57,1.73,14.49
ORBOST,12/10/2024,3.1,0.0, ,15.7,9.2,89,51,2.24,21.36
ORBOST,13/10/2024,3.7,0.0, ,23.8,3.7,95,34,1.12,24.14
ORBOST,14/10/2024,2.1,0.0, ,18.2,10.8,87,62,1.85,10.05
ORBOST,15/10/2024,4.0,1.2, ,19.6,9.8,87,46,3.07,24.23
ORBOST,16/10/2024,3.7,0.0, ,22.4,7.8,91,51,1.34,23.89
ORBOST,17/10/2024,4.0,0.0, ,24.9,10.0,96,50,1.31,24.15
ORBOST,18/10/2024,2.0,0.8, ,22.7,16.7,93,56,1.69,6.36
ORBOST,19/10/2024,2.9,6.2, ,18.7,13.8,95,66,4.16,16.33
ORBOST,20/10/2024,2.1,0.0, ,16.0,12.1,95,72,2.43,11.82
ORBOST,21/10/2024,3.9,0.0, ,20.6,10.4,96,52,1.70,25.12
ORBOST,22/10/2024,3.5,0.0, ,28.4,8.1,98,32,0.82,18.94
ORBOST,23/10/2024,1.7,0.0, ,15.6,13.3,93,75,1.67,8.77
ORBOST,24/10/2024,3.4,1.6, ,16.2,9.1,93,52,3.27,21.78
ORBOST,25/10/2024,4.0,0.2, ,15.2,8.1,86,39,4.34,25.27
ORBOST,26/10/2024,3.7,0.0, ,17.6,4.6,90,43,1.90,26.57
ORBOST,27/10/2024,3.6,0.0, ,25.2,8.0,91,30,0.94,20.49
ORBOST,28/10/2024,3.6,0.0, ,16.9,11.5,87,56,3.19,22.32
ORBOST,29/10/2024,3.6,0.0, ,18.2,9.1,90,59,2.81,23.52
ORBOST,30/10/2024,3.0,0.0, ,17.8,9.4,93,65,1.86,19.98
ORBOST,31/10/2024,3.0,0.0, ,18.1,10.8,96,54,2.25,17.44
Totals:,,98.9,35, ,,,,,, 
