'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/11/2024,3.6,0.0, ,17.2,8.4,82,43,3.10,20.30
ORBOST,02/11/2024,4.7,0.0, ,27.3,5.3,93,45,1.53,27.51
ORBOST,03/11/2024,6.3,0.0, ,30.5,12.9,88,17,3.65,21.00
ORBOST,04/11/2024,2.4,0.0, ,17.4,12.4,91,55,1.30,12.25
ORBOST,05/11/2024,4.2,0.0, ,21.4,8.8,94,59,1.54,28.15
ORBOST,06/11/2024,6.6,0.0, ,36.1,11.5,94,22,2.53,24.48
ORBOST,07/11/2024,2.3,0.0, ,19.2,14.8,93,65,1.62,11.17
ORBOST,08/11/2024,4.2,0.0, ,20.8,8.8,95,41,2.91,23.52
ORBOST,09/11/2024,3.8,0.0, ,19.4,11.4,87,51,1.73,22.91
ORBOST,10/11/2024,4.2,0.2, ,19.1,9.1,94,53,1.98,28.03
ORBOST,11/11/2024,4.4,0.0, ,21.7,8.6,94,56,1.16,29.06
ORBOST,12/11/2024,4.4,0.0, ,23.9,9.5,95,47,2.02,24.96
ORBOST,13/11/2024,3.0,0.4, ,26.5,16.0,95,49,1.74,11.19
ORBOST,14/11/2024,3.8,18.0, ,17.4,11.1,87,58,2.34,24.24
ORBOST,15/11/2024,3.6,0.0, ,23.0,12.1,94,61,1.56,20.01
ORBOST,16/11/2024,5.5,0.0, ,30.5,9.6,99,43,1.74,28.64
ORBOST,17/11/2024,3.2,0.0, ,27.8,22.6,94,44,3.86,5.43
ORBOST,18/11/2024,4.8,5.6, ,19.6,9.5,87,45,4.39,28.27
ORBOST,19/11/2024,4.3,0.0, ,17.7,10.2,92,49,2.19,28.98
ORBOST,20/11/2024,3.0,0.0, ,18.4,7.3,95,66,1.47,19.49
ORBOST,21/11/2024,5.3,0.0, ,28.3,9.5,96,48,1.39,29.99
ORBOST,22/11/2024,5.7,0.0, ,30.2,15.7,94,40,1.20,30.05
ORBOST,23/11/2024,6.1,0.0, ,36.5,16.2,83,23,1.49,25.61
ORBOST,24/11/2024,3.1,0.0, ,25.6,19.8,98,49,1.55,12.68
ORBOST,25/11/2024,1.7,16.8, ,21.2,17.9,98,91,0.99,7.80
ORBOST,26/11/2024,2.4,12.2, ,24.0,18.1,97,81,1.00,11.68
ORBOST,27/11/2024,2.7,3.0, ,27.9,17.9,98,53,1.65,9.40
ORBOST,28/11/2024,3.6,0.4, ,24.0,18.0,98,73,1.65,18.98
ORBOST,29/11/2024,3.0,0.0, ,23.1,17.6,98,81,2.06,15.96
ORBOST,30/11/2024, ,5.8, ,23.0,18.6,98,80,1.49, 
Totals:,,115.9,62.4, ,,,,,, 
