'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/12/2024,5.8,7.8, ,29.7,17.4,91,35,2.25,26.30
ORBOST,02/12/2024,5.7,0.0, ,28.4,14.7,94,38,1.17,30.72
ORBOST,03/12/2024,4.2,1.2, ,32.1,18.3,93,46,2.30,14.49
ORBOST,04/12/2024,4.8,2.6, ,21.4,14.8,93,56,1.83,29.11
ORBOST,05/12/2024,5.5,0.2, ,28.3,11.7,95,35,1.21,29.94
ORBOST,06/12/2024,5.3,0.0, ,31.6,17.4,79,41,1.34,24.63
ORBOST,07/12/2024,4.0,11.2, ,30.4,18.1,98,56,2.02,16.72
ORBOST,08/12/2024,4.8,11.8, ,20.1,15.4,94,52,3.90,28.53
ORBOST,09/12/2024,3.4,0.0, ,19.7,13.7,91,58,1.63,19.07
ORBOST,10/12/2024,3.6,0.0, ,20.8,9.5,95,57,1.58,21.08
ORBOST,11/12/2024,4.1,0.0, ,21.5,13.9,93,53,1.67,23.43
ORBOST,12/12/2024,5.3,0.0, ,25.2,10.4,96,56,1.45,31.99
ORBOST,13/12/2024,2.2,0.0, ,20.4,13.0,96,69,1.61,9.94
ORBOST,14/12/2024,4.2,0.0, ,21.9,12.3,95,69,1.43,25.85
ORBOST,15/12/2024,5.1,0.0, ,24.7,16.6,98,69,1.60,29.68
ORBOST,16/12/2024,6.9,0.0, ,37.8,14.1,98,28,1.39,31.17
ORBOST,17/12/2024,3.5,0.0, ,21.6,18.0,91,34,2.93,11.46
ORBOST,18/12/2024,4.7,0.8, ,20.0,11.3,87,54,2.91,28.61
ORBOST,19/12/2024,5.0,0.2, ,22.1,8.1,96,48,2.13,32.11
ORBOST,20/12/2024,5.1,0.0, ,24.3,8.7,96,53,1.35,31.73
ORBOST,21/12/2024,3.8,0.0, ,21.9,13.0,89,54,2.72,19.24
ORBOST,22/12/2024,2.8,0.0, ,19.9,11.1,93,67,1.40,15.65
ORBOST,23/12/2024,3.2,4.0, ,17.8,9.7,92,52,5.08,14.34
ORBOST,24/12/2024,3.6,4.8, ,21.6,11.4,91,61,3.63,18.83
ORBOST,25/12/2024,5.7,0.2, ,28.0,13.3,94,62,1.65,31.91
ORBOST,26/12/2024,7.4,0.0, ,37.1,14.4,95,19,2.27,29.22
ORBOST,27/12/2024,5.0,0.0, ,23.6,17.2,80,29,3.34,19.56
ORBOST,28/12/2024,5.0,0.0, ,22.4,11.5,87,42,1.57,29.45
ORBOST,29/12/2024,5.5,0.0, ,23.9,14.3,87,46,2.19,30.95
ORBOST,30/12/2024,5.4,0.0, ,25.6,11.6,91,53,1.57,31.45
ORBOST,31/12/2024,3.9,0.0, ,22.8,16.0,95,64,1.49,21.80
Totals:,,144.5,44.8, ,,,,,, 
