'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/01/2025,3.5,0.0, ,21.9,13.3,95,62,2.28,18.54
ORBOST,02/01/2025,4.3,0.0, ,20.7,12.5,89,50,2.13,25.20
ORBOST,03/01/2025,5.4,0.0, ,27.7,7.9,96,42,1.34,31.37
ORBOST,04/01/2025,6.9,0.0, ,37.4,15.1,81,21,1.67,29.50
ORBOST,05/01/2025,6.7,0.0, ,38.1,19.1,67,18,1.93,24.41
ORBOST,06/01/2025,2.5,0.0, ,26.8,24.9,96,33,1.97,4.86
ORBOST,07/01/2025,2.8,21.8, ,19.9,11.2,96,66,2.13,15.40
ORBOST,08/01/2025,5.3,0.4, ,24.7,10.7,95,45,2.22,30.45
ORBOST,09/01/2025,4.9,0.0, ,28.4,13.3,83,43,1.34,25.23
ORBOST,10/01/2025,4.5,0.0, ,28.5,13.8,91,55,1.49,22.79
ORBOST,11/01/2025,5.7,0.0, ,31.0,19.2,91,41,2.72,23.67
ORBOST,12/01/2025,5.4,7.6, ,30.4,17.6,94,41,2.43,23.34
ORBOST,13/01/2025,5.1,2.8, ,25.4,16.4,94,63,1.75,29.03
ORBOST,14/01/2025,1.8,0.0, ,22.5,17.0,97,78,1.06,7.94
ORBOST,15/01/2025,5.9,0.6, ,37.3,15.1,99,22,2.86,14.86
ORBOST,16/01/2025,4.0,26.0, ,20.9,12.9,96,51,3.59,20.82
ORBOST,17/01/2025, ,0.2, ,22.3,13.4, , , ,26.05
ORBOST,18/01/2025, ,0.0, ,23.3,13.2, , , ,23.03
ORBOST,19/01/2025,5.3,0.0, ,25.4,12.0,93,46,2.08,30.21
ORBOST,20/01/2025,4.6,0.0, ,25.4,10.7,98,43,1.12,26.41
ORBOST,21/01/2025,5.6,0.0, ,29.7,11.7,87,36,1.27,30.03
ORBOST,22/01/2025, ,0.0, , ,18.6,90,53,3.53,20.49
ORBOST,23/01/2025, , , ,26.6, ,96,48,1.98,20.39
ORBOST,24/01/2025,3.1,11.4, ,21.0,15.5,97,51,2.52,14.35
ORBOST,25/01/2025,4.2,2.0, ,22.3,11.6,89,56,1.68,25.33
ORBOST,26/01/2025,4.1,0.0, ,24.7,15.6,90,60,1.66,22.19
ORBOST,27/01/2025,7.1,0.0, ,37.7,14.1,97,25,2.26,28.10
ORBOST,28/01/2025,3.0,1.2, ,22.5,17.1,96,55,2.99,12.17
ORBOST,29/01/2025,2.3,0.4, ,19.5,14.7,94,63,1.04,11.18
ORBOST,30/01/2025,1.8,0.0, ,19.0,11.5,95,64,1.24,7.37
ORBOST,31/01/2025,3.4,0.0, ,22.3,10.4,97,60,1.21,20.29
Totals:,,119.2,74.4, ,,,,,, 
