'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/02/2025,5.1,0.0, ,29.2,10.4,98,55,1.07,29.00
ORBOST,02/02/2025,6.3,0.0, ,35.2,17.1,90,28,1.56,28.75
ORBOST,03/02/2025,6.4,0.0, ,36.5,18.1,77,27,1.66,27.85
ORBOST,04/02/2025,6.1,0.0, ,39.6,21.9,87,20,2.08,19.79
ORBOST,05/02/2025,2.0,4.8, ,22.4,18.0,96,79,1.89,8.68
ORBOST,06/02/2025,5.4,1.0, ,30.9,17.3,97,61,2.09,27.37
ORBOST,07/02/2025,6.3,0.0, ,38.1,21.7,92,29,2.38,21.80
ORBOST,08/02/2025,1.4,1.0, ,20.4,17.3,96,81,2.19,4.73
ORBOST,09/02/2025,1.6,10.8, ,20.9,17.5,98,86,3.24,7.08
ORBOST,10/02/2025,1.4,101.4, ,19.8,15.9,98,95,1.83,7.22
ORBOST,11/02/2025,2.9,33.2, ,23.2,16.9,99,78,1.27,15.67
ORBOST,12/02/2025,5.2,3.6, ,30.4,15.5,98,54,1.65,27.06
ORBOST,13/02/2025,6.7,0.2, ,34.2,20.3,72,31,3.00,24.93
ORBOST,14/02/2025,1.2,11.0, ,18.9,17.0,96,84,1.10,4.54
ORBOST,15/02/2025,3.3,18.0, ,19.5,14.3,97,45,4.94,12.75
ORBOST,16/02/2025,4.1,1.4, ,19.1,9.7,80,46,4.58,21.12
ORBOST,17/02/2025,3.7,1.0, ,20.0,10.4,92,50,1.93,22.87
ORBOST,18/02/2025,3.8,0.0, ,21.1,10.7,94,55,2.87,23.09
ORBOST,19/02/2025,3.3,0.0, ,20.4,12.3,89,48,2.83,15.46
ORBOST,20/02/2025,3.3,0.0, ,20.1,12.9,91,51,2.08,18.58
ORBOST,21/02/2025,3.9,0.2, ,23.9,8.6,96,58,1.02,25.23
ORBOST,22/02/2025,4.8,0.0, ,33.5,13.0,95,36,1.76,21.08
ORBOST,23/02/2025,4.0,0.0, ,31.8,22.4,92,38,2.77,10.79
ORBOST,24/02/2025,2.8,5.4, ,22.5,16.2,93,63,1.70,14.35
ORBOST,25/02/2025,3.6,0.0, ,22.0,11.5,97,66,1.45,23.02
ORBOST,26/02/2025,4.6,0.0, ,33.1,12.1,98,35,0.99,24.09
ORBOST,27/02/2025,3.3,0.0, ,23.0,15.8,93,66,1.32,19.07
ORBOST,28/02/2025,3.8,0.0, ,25.2,16.9,96,60,1.46,21.46
Totals:,,110.3,193, ,,,,,, 
