'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ORBOST Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ORBOST,01/04/2025,1.9,5.0, ,19.5,12.8,96,61,1.42,10.47
ORBOST,02/04/2025,2.4,0.4, ,20.3,11.1,95,61,1.09,17.07
ORBOST,03/04/2025,2.3,0.0, ,21.0,10.3,96,61,1.36,15.41
ORBOST,04/04/2025,1.6,0.0, ,17.9,12.3,93,61,1.62,8.05
ORBOST,05/04/2025,2.8,0.2, ,17.5,10.8,92,41,3.63,15.07
ORBOST,06/04/2025,2.4,0.0, ,20.6,5.1,92,39,1.58,15.38
ORBOST,07/04/2025,2.4,0.0, ,18.1,11.0,85,54,3.45,10.11
ORBOST,08/04/2025,2.3,0.0, ,19.2,11.2,95,56,1.56,15.94
ORBOST,09/04/2025,2.1,0.0, ,21.4,10.0,97,64,0.79,15.94
ORBOST,10/04/2025,2.1,0.2, ,22.8,10.4,97,54,0.77,14.63
ORBOST,11/04/2025,1.9,0.0, ,22.2,11.5,91,59,0.99,11.35
ORBOST,12/04/2025,2.3,0.0, ,26.2,14.1,95,57,0.68,15.39
ORBOST,13/04/2025,3.0,0.0, ,30.0,16.0,80,33,1.37,14.85
ORBOST,14/04/2025,1.4,0.0, ,19.3,16.6,95,59,1.46,4.59
ORBOST,15/04/2025,2.2,2.6, ,21.7,10.8,96,57,1.75,14.90
ORBOST,16/04/2025,1.8,0.0, ,22.5,6.8,97,51,0.53,14.66
ORBOST,17/04/2025,1.8,0.2, ,21.9,8.3,98,61,0.61,14.58
ORBOST,18/04/2025,1.8,0.2, ,25.6,9.2,98,41,0.63,11.36
ORBOST,19/04/2025,1.5,0.0, ,24.5,12.7,92,57,0.56,8.67
ORBOST,20/04/2025,2.1,0.0, ,28.8,13.7,88,39,0.96,10.95
ORBOST,21/04/2025,1.4,0.2, ,19.3,13.9,96,67,2.22,5.07
ORBOST,22/04/2025,1.0,17.4, ,18.4,15.4,96,83,3.16,3.35
ORBOST,23/04/2025,1.1,0.0, ,18.5,15.8,97,79,1.34,5.96
ORBOST,24/04/2025,1.8,0.6, ,26.7,11.7,99,40,0.53,13.44
ORBOST,25/04/2025,1.9,0.0, ,27.4,14.1,92,48,0.69,13.20
ORBOST,26/04/2025,1.6,0.0, ,21.0,13.5,95,67,0.93,11.56
ORBOST,27/04/2025,0.9,0.0, ,18.6,16.3,97,84,1.08,3.47
ORBOST,28/04/2025,1.1,0.8, ,18.0,13.7,97,82,1.10,6.94
ORBOST,29/04/2025,1.1,0.2, ,17.4,14.3,96,79,1.67,5.31
ORBOST,30/04/2025,1.3,23.0, ,16.9,9.8,95,59,1.13,8.78
Totals:,,55.3,51, ,,,,,, 
