'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/10/2024,2.6,0.0, ,17.7,7.3,93,65,3.79,17.01
POINT COOK RAAF,02/10/2024,3.3,0.2, ,19.0,9.8,92,60,3.74,21.74
POINT COOK RAAF,03/10/2024,5.3,0.0, ,26.1,5.7,93,32,4.65,21.81
POINT COOK RAAF,04/10/2024,5.0,0.0, ,24.2,16.6,85,44,8.29,15.19
POINT COOK RAAF,05/10/2024,3.4,0.0, ,21.3,9.2,89,45,4.48,12.32
POINT COOK RAAF,06/10/2024,4.3,7.2, ,21.0,11.2,84,36,6.26,13.06
POINT COOK RAAF,07/10/2024,3.3,0.2, ,18.4,12.7,88,52,7.01,11.91
POINT COOK RAAF,08/10/2024,3.7,0.4, ,15.0,5.9,82,44,5.88,22.39
POINT COOK RAAF,09/10/2024,3.5,0.0, ,17.8,3.8,87,45,2.98,23.28
POINT COOK RAAF,10/10/2024,4.9,0.0, ,20.1,8.4,77,39,6.67,23.41
POINT COOK RAAF,11/10/2024,3.4,0.0, ,17.2,5.0,84,48,5.28,17.22
POINT COOK RAAF,12/10/2024,3.8,0.0, ,16.8,11.1,86,49,4.72,23.72
POINT COOK RAAF,13/10/2024,6.2,0.0, ,25.9,4.8,91,22,5.75,22.18
POINT COOK RAAF,14/10/2024,3.5,0.6, ,19.2,12.6,93,68,5.82,22.77
POINT COOK RAAF,15/10/2024,4.3,0.2, ,22.1,12.3,83,56,5.97,21.38
POINT COOK RAAF,16/10/2024,5.0,3.2, ,26.3,13.4,90,43,4.31,22.15
POINT COOK RAAF,17/10/2024,4.2,0.2, ,25.3,15.9,91,47,5.20,13.81
POINT COOK RAAF,18/10/2024,2.8,6.0, ,19.9,16.7,96,62,6.17,10.81
POINT COOK RAAF,19/10/2024,3.7,26.6, ,17.5,13.2,90,60,7.66,21.95
POINT COOK RAAF,20/10/2024,3.8,0.0, ,19.0,12.5,89,65,5.26,24.13
POINT COOK RAAF,21/10/2024,4.7,0.0, ,22.9,12.0,88,50,4.12,25.54
POINT COOK RAAF,22/10/2024,7.9,0.0, ,33.1,14.0,89,21,5.74,22.02
POINT COOK RAAF,23/10/2024,4.7,0.0, ,20.5,11.8,79,36,4.56,21.86
POINT COOK RAAF,24/10/2024,4.3,0.0, ,17.9,7.4,86,34,5.68,20.49
POINT COOK RAAF,25/10/2024,4.1,0.2, ,15.9,8.1,86,40,4.88,25.70
POINT COOK RAAF,26/10/2024,4.2,0.8, ,19.5,3.0,89,36,3.11,26.23
POINT COOK RAAF,27/10/2024,6.3,0.0, ,27.8,11.4,79,24,4.95,20.65
POINT COOK RAAF,28/10/2024,4.1,0.0, ,17.6,10.7,87,46,5.11,22.80
POINT COOK RAAF,29/10/2024,3.6,0.0, ,18.4,7.9,86,54,4.07,21.35
POINT COOK RAAF,30/10/2024,3.8,0.0, ,19.0,9.6,87,57,3.65,23.38
POINT COOK RAAF,31/10/2024,3.7,0.0, ,18.4,11.6,86,52,5.28,17.95
Totals:,,131.4,45.8, ,,,,,, 
