'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/11/2024,4.5,0.0, ,17.3,11.2,70,43,5.74,21.97
POINT COOK RAAF,02/11/2024,7.1,0.0, ,26.8,5.8,90,13,5.75,22.45
POINT COOK RAAF,03/11/2024,7.0,0.0, ,22.2,13.0,77,14,7.41,26.29
POINT COOK RAAF,04/11/2024,4.3,0.0, ,19.3,10.2,78,47,4.11,23.64
POINT COOK RAAF,05/11/2024,5.3,0.0, ,26.8,7.2,93,43,3.07,27.39
POINT COOK RAAF,06/11/2024,9.8,0.0, ,35.0,15.1,78,19,7.97,18.99
POINT COOK RAAF,07/11/2024,4.2,0.0, ,19.5,11.9,92,48,3.74,24.27
POINT COOK RAAF,08/11/2024,4.7,2.4, ,20.8,9.2,92,33,6.05,18.72
POINT COOK RAAF,09/11/2024,3.8,1.0, ,19.8,5.8,89,32,2.83,18.29
POINT COOK RAAF,10/11/2024,4.4,0.0, ,19.2,8.4,90,53,4.38,28.54
POINT COOK RAAF,11/11/2024,4.7,0.0, ,21.7,8.1,91,51,4.34,27.93
POINT COOK RAAF,12/11/2024,3.3,0.0, ,21.9,11.4,92,64,2.76,18.08
POINT COOK RAAF,13/11/2024,3.5,1.6, ,20.3,13.8,95,52,5.52,14.04
POINT COOK RAAF,14/11/2024,4.9,0.8, ,18.3,12.8,65,46,5.72,22.78
POINT COOK RAAF,15/11/2024,5.0,0.0, ,22.1,12.7,86,49,4.43,27.09
POINT COOK RAAF,16/11/2024,9.7,0.0, ,34.9,8.2,91,15,5.90,27.92
POINT COOK RAAF,17/11/2024,5.9,0.0, ,25.2,18.6,86,28,7.03,15.52
POINT COOK RAAF,18/11/2024,5.0,1.0, ,20.4,11.2,86,39,6.55,22.51
POINT COOK RAAF,19/11/2024,4.8,0.0, ,18.0,12.9,69,47,4.91,24.75
POINT COOK RAAF,20/11/2024,4.2, , ,18.7,12.8,82,54,4.87,23.02
POINT COOK RAAF,21/11/2024, ,0.0, , ,9.0,93,55,3.44,30.12
POINT COOK RAAF,22/11/2024, , , ,32.5, ,93,25,3.87,29.15
POINT COOK RAAF,23/11/2024,8.8,0.0, ,38.8,20.4,86,14,4.78,20.11
POINT COOK RAAF,24/11/2024,2.2,12.6, ,21.8,18.4,97,81,2.96,10.70
POINT COOK RAAF,25/11/2024,1.4,1.6, ,18.2,16.0,96,91,4.24,6.75
POINT COOK RAAF,26/11/2024,4.0,0.4, ,23.1,15.8,96,74,3.11,23.41
POINT COOK RAAF,27/11/2024,5.3,22.4, ,31.2,17.5,95,42,5.44,13.40
POINT COOK RAAF,28/11/2024,5.2,7.2, ,22.9,14.6,92,60,4.30,30.98
POINT COOK RAAF,29/11/2024,5.9,0.2, ,26.4,18.3,86,64,6.57,30.94
POINT COOK RAAF,30/11/2024, ,0.6, ,23.5,19.1,95,74,5.21, 
Totals:,,138.9,51.8, ,,,,,, 
