'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/02/2025,6.2,0.0, ,29.5,17.0,86,47,4.41,27.45
POINT COOK RAAF,02/02/2025,10.7,0.0, ,40.0,17.8,90,23,6.95,25.68
POINT COOK RAAF,03/02/2025,6.6,17.8, ,37.3,21.0,88,22,3.96,14.32
POINT COOK RAAF,04/02/2025,8.6,0.0, ,37.3,22.0,79,23,5.28,21.98
POINT COOK RAAF,05/02/2025,5.6,0.0, ,23.5,16.8,79,54,7.11,26.11
POINT COOK RAAF,06/02/2025,5.6,0.0, ,28.5,15.9,92,55,3.89,27.74
POINT COOK RAAF,07/02/2025,3.5,0.0, ,24.2,17.3,93,63,5.54,13.64
POINT COOK RAAF,08/02/2025,4.5,0.0, ,23.0,17.4,78,59,8.29,14.74
POINT COOK RAAF,09/02/2025,6.2,0.0, ,26.4,17.6,81,55,12.12,23.34
POINT COOK RAAF,10/02/2025,6.2,0.0, ,27.1,18.3,81,53,9.01,23.74
POINT COOK RAAF,11/02/2025,6.2,0.0, ,28.7,19.6,85,52,5.99,26.04
POINT COOK RAAF,12/02/2025,5.4,0.0, ,29.0,16.1,94,55,3.39,26.84
POINT COOK RAAF,13/02/2025,8.3,0.0, ,35.7,20.4,86,28,7.90,14.60
POINT COOK RAAF,14/02/2025,4.7,0.8, ,23.8,13.5,87,53,4.87,22.97
POINT COOK RAAF,15/02/2025,4.6,2.2, ,19.1,11.2,88,41,8.08,19.68
POINT COOK RAAF,16/02/2025,5.1,2.8, ,20.1,9.2,84,37,7.17,24.33
POINT COOK RAAF,17/02/2025,4.9,0.0, ,20.9,13.0,72,47,4.50,25.54
POINT COOK RAAF,18/02/2025,4.5,0.0, ,22.5,11.0,88,46,5.74,19.46
POINT COOK RAAF,19/02/2025,4.1,0.0, ,21.0,14.2,90,50,6.86,16.86
POINT COOK RAAF,20/02/2025,5.0,0.2, ,20.9,14.1,69,44,6.69,18.29
POINT COOK RAAF,21/02/2025,5.6,0.0, ,28.1,14.5,80,47,4.47,24.05
POINT COOK RAAF,22/02/2025,9.7,0.0, ,38.1,15.2,83,24,6.82,22.38
POINT COOK RAAF,23/02/2025,7.5,0.4, ,28.8,21.9,78,32,7.63,23.74
POINT COOK RAAF,24/02/2025,4.5,0.2, ,22.4,12.8,85,55,4.98,24.24
POINT COOK RAAF,25/02/2025,4.6,0.0, ,24.0,16.6,89,56,4.41,23.48
POINT COOK RAAF,26/02/2025,7.8,0.0, ,35.6,12.9,93,18,4.60,21.37
POINT COOK RAAF,27/02/2025, ,0.0, , ,18.6,84,60,3.72,19.70
POINT COOK RAAF,28/02/2025, , , ,25.5, ,91,52,4.41,22.78
Totals:,,156.2,24.4, ,,,,,, 
