'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/03/2025,4.6,0.0, ,23.8,14.9,88,48,4.10,22.61
POINT COOK RAAF,02/03/2025,4.3,0.0, ,22.4,15.9,79,51,5.76,17.26
POINT COOK RAAF,03/03/2025,4.7,0.0, ,21.0,15.3,71,51,6.20,21.11
POINT COOK RAAF,04/03/2025,5.1,0.0, ,26.8,16.0,84,48,4.40,22.97
POINT COOK RAAF,05/03/2025,7.7,0.0, ,34.6,15.6,84,27,5.40,22.73
POINT COOK RAAF,06/03/2025,3.6,0.0, ,23.9,18.1,84,67,6.61,13.99
POINT COOK RAAF,07/03/2025,5.3,0.0, ,27.7,17.9,85,47,4.90,22.41
POINT COOK RAAF,08/03/2025,4.9,0.0, ,29.1,13.1,93,41,3.17,22.38
POINT COOK RAAF,09/03/2025,7.2,0.0, ,36.5,16.1,84,26,4.57,19.41
POINT COOK RAAF,10/03/2025,5.3,3.2, ,30.8,21.3,85,46,3.39,21.85
POINT COOK RAAF,11/03/2025,4.7,0.0, ,28.6,19.9,89,60,5.09,20.59
POINT COOK RAAF,12/03/2025,7.0,0.0, ,37.0,18.3,93,26,5.29,13.51
POINT COOK RAAF,13/03/2025,3.5,0.8, ,23.6,18.3,86,57,3.61,15.70
POINT COOK RAAF,14/03/2025,3.5,0.0, ,23.4,14.5,90,64,3.02,20.39
POINT COOK RAAF,15/03/2025,3.8,0.0, ,30.2,16.9,90,36,2.62,11.74
POINT COOK RAAF,16/03/2025,2.6,4.2, ,21.2,19.4,93,57,6.57,4.24
POINT COOK RAAF,17/03/2025,3.4,8.0, ,19.3,9.7,85,48,5.07,14.38
POINT COOK RAAF,18/03/2025,3.8,0.0, ,21.8,11.5,81,49,3.72,19.98
POINT COOK RAAF,19/03/2025,5.2,0.0, ,33.2,10.3,92,21,2.63,18.69
POINT COOK RAAF,20/03/2025,4.8,0.0, ,28.6,14.8,92,33,6.25,4.59
POINT COOK RAAF,21/03/2025,2.6,16.2, ,19.3,15.3,94,60,4.64,10.69
POINT COOK RAAF,22/03/2025,3.5,0.4, ,20.1,10.1,89,44,3.49,19.39
POINT COOK RAAF,23/03/2025,3.3,0.0, ,21.8,10.6,91,55,3.56,18.85
POINT COOK RAAF,24/03/2025,3.2,0.0, ,21.5,15.3,86,58,4.90,13.52
POINT COOK RAAF,25/03/2025,3.5,0.0, ,22.9,14.4,85,61,4.17,17.94
POINT COOK RAAF,26/03/2025,3.2,0.0, ,21.3,17.0,81,61,5.11,13.32
POINT COOK RAAF,27/03/2025,3.4,0.0, ,21.5,16.6,83,62,4.33,17.41
POINT COOK RAAF,28/03/2025,4.2,0.0, ,31.1,12.6,94,36,2.81,15.45
POINT COOK RAAF,29/03/2025,2.8,0.0, ,22.0,17.4,90,61,6.12,7.52
POINT COOK RAAF,30/03/2025,4.1,0.6, ,23.1,17.0,93,54,9.30,16.29
POINT COOK RAAF,31/03/2025,4.8,0.2, ,21.9,16.6,76,48,9.21,15.57
Totals:,,133.6,33.6, ,,,,,, 
