'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POINT COOK RAAF Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POINT COOK RAAF,01/04/2025,4.5,0.0, ,23.0,14.6,83,49,8.25,16.35
POINT COOK RAAF,02/04/2025,2.9,0.0, ,21.8,9.0,92,52,2.91,17.05
POINT COOK RAAF,03/04/2025,3.2,0.0, ,21.7,11.5,90,56,5.09,14.86
POINT COOK RAAF,04/04/2025,2.4,0.0, ,17.9,9.0,80,46,3.21,8.42
POINT COOK RAAF,05/04/2025,3.5,0.4, ,19.2,9.7,92,35,4.65,16.37
POINT COOK RAAF,06/04/2025,4.1,0.0, ,23.3,5.5,92,32,5.20,10.92
POINT COOK RAAF,07/04/2025,2.5,1.2, ,19.1,11.4,90,55,3.85,12.16
POINT COOK RAAF,08/04/2025,2.3,0.0, ,18.3,9.0,92,54,3.44,11.24
POINT COOK RAAF,09/04/2025,2.4,0.0, ,20.1,9.4,93,56,2.32,15.40
POINT COOK RAAF,10/04/2025,4.1,0.0, ,28.2,13.0,84,27,3.09,15.21
POINT COOK RAAF,11/04/2025,3.1,0.0, ,21.0,14.4,87,43,3.79,12.67
POINT COOK RAAF,12/04/2025,2.6,0.0, ,25.2,10.1,94,61,2.16,15.19
POINT COOK RAAF,13/04/2025,6.1,0.0, ,33.5,14.7,77,18,4.39,13.81
POINT COOK RAAF,14/04/2025,2.7,0.0, ,21.0,16.7,89,65,5.27,13.33
POINT COOK RAAF,15/04/2025,2.6,0.0, ,23.4,9.4,96,59,3.34,14.55
POINT COOK RAAF,16/04/2025,3.5,0.0, ,29.2,13.7,90,28,2.66,11.06
POINT COOK RAAF,17/04/2025,3.0,0.0, ,26.3,14.2,81,45,2.23,14.35
POINT COOK RAAF,18/04/2025,6.0,0.0, ,32.8,18.0,84,22,5.25,12.25
POINT COOK RAAF,19/04/2025,4.5,0.0, ,30.8,15.8,88,20,3.79,7.98
POINT COOK RAAF,20/04/2025,3.3,0.6, ,26.5,17.0,76,35,3.13,8.46
POINT COOK RAAF,21/04/2025,3.0,0.0, ,22.0,10.3,89,54,5.14,13.06
POINT COOK RAAF,22/04/2025,2.5,0.2, ,19.4,13.6,90,60,5.58,10.68
POINT COOK RAAF,23/04/2025,2.9,0.0, ,22.1,13.9,91,55,5.30,13.28
POINT COOK RAAF,24/04/2025,4.3,0.2, ,28.1,12.2,94,36,5.01,12.95
POINT COOK RAAF,25/04/2025,2.5,0.0, ,25.6,14.2,92,43,2.85,6.85
POINT COOK RAAF,26/04/2025,1.2,2.4, ,17.9,15.5,93,80,4.03,3.89
POINT COOK RAAF,27/04/2025,2.1,0.4, ,18.1,15.0,89,59,4.77,6.83
POINT COOK RAAF,28/04/2025,1.7,0.0, ,17.9,13.4,91,65,3.40,6.62
POINT COOK RAAF,29/04/2025,2.4,1.6, ,18.6,13.4,92,61,7.32,8.92
POINT COOK RAAF,30/04/2025,3.3,1.8, ,18.9,13.4,78,52,7.31,12.44
Totals:,,95.2,8.8, ,,,,,, 
