'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/09/2024,2.4,1.6, ,18.3,11.3,92,67,7.93,11.43
PORT FAIRY,02/09/2024,2.7,16.4, ,13.2,7.8,90,57,13.47,11.90
PORT FAIRY,03/09/2024,2.5,0.8, ,16.7,8.1,85,54,3.81,14.67
PORT FAIRY,04/09/2024,3.2,0.0, ,19.3,7.8,84,42,5.35,9.13
PORT FAIRY,05/09/2024,2.5,2.2, ,18.0,12.7,90,39,3.87,5.05
PORT FAIRY,06/09/2024,1.3,6.4, ,15.7,12.4,93,80,4.11,4.67
PORT FAIRY,07/09/2024,2.2,4.4, ,17.1,6.9,95,59,4.16,11.52
PORT FAIRY,08/09/2024,2.2,0.0, ,16.5,8.8,92,70,6.62,12.86
PORT FAIRY,09/09/2024,2.1,3.4, ,15.2,9.3,94,66,5.68,12.81
PORT FAIRY,10/09/2024,2.2,0.8, ,18.2,8.3,93,62,2.71,13.96
PORT FAIRY,11/09/2024,2.0,0.2, ,15.9,8.8,93,64,5.24,7.77
PORT FAIRY,12/09/2024,2.4,4.0, ,14.8,10.7,75,63,5.17,10.18
PORT FAIRY,13/09/2024,1.9,0.0, ,14.6,10.5,93,66,4.85,9.02
PORT FAIRY,14/09/2024,2.6,3.2, ,12.0,9.3,91,54,8.84,16.20
PORT FAIRY,15/09/2024,2.8,1.2, ,13.4,7.5,74,55,6.13,13.85
PORT FAIRY,16/09/2024,2.1,0.0, ,13.6,9.6,92,65,6.57,11.03
PORT FAIRY,17/09/2024,2.7,1.8, ,15.0,8.7,80,54,5.09,12.30
PORT FAIRY,18/09/2024,3.2,0.0, ,18.7,9.0,93,53,6.98,15.25
PORT FAIRY,19/09/2024,2.5,4.6, ,15.6,8.0,93,62,7.12,14.12
PORT FAIRY,20/09/2024,2.4,2.4, ,16.1,7.5,93,68,6.66,14.77
PORT FAIRY,21/09/2024,2.7,4.8, ,16.0,9.4,91,59,7.11,13.76
PORT FAIRY,22/09/2024,2.4,1.2, ,17.2,10.0,94,67,5.25,14.64
PORT FAIRY,23/09/2024,2.1,0.2, ,16.7,11.2,92,77,3.91,13.17
PORT FAIRY,24/09/2024,2.5,0.4, ,20.3,11.0,95,58,2.49,13.38
PORT FAIRY,25/09/2024,1.9,3.4, ,12.0,11.2,94,57,5.36,6.26
PORT FAIRY,26/09/2024,3.1,2.6, ,14.6,9.1,65,53,4.71,14.24
PORT FAIRY,27/09/2024,2.7,0.0, ,15.1,2.7,89,57,2.79,20.79
PORT FAIRY,28/09/2024,4.0,0.0, ,23.3,6.3,88,39,3.72,18.12
PORT FAIRY,29/09/2024,3.4,5.6, ,18.1,12.3,93,47,6.16,15.38
PORT FAIRY,30/09/2024,3.0,0.0, ,18.2,9.2,92,62,4.55,19.49
Totals:,,75.7,71.6, ,,,,,, 
