'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/10/2024,2.9,0.6, ,18.1,10.6,93,65,3.97,18.85
PORT FAIRY,02/10/2024,2.8,0.0, ,16.6,5.0,95,63,2.98,21.85
PORT FAIRY,03/10/2024,5.5,0.0, ,27.2,8.6,89,31,4.45,22.05
PORT FAIRY,04/10/2024,4.2,1.6, ,22.4,15.2,89,46,4.80,19.59
PORT FAIRY,05/10/2024,2.3,2.4, ,15.6,10.6,94,63,4.63,11.41
PORT FAIRY,06/10/2024,3.9,6.8, ,18.9,11.1,93,50,7.32,20.82
PORT FAIRY,07/10/2024,3.2,6.2, ,15.8,12.6,94,53,6.79,17.70
PORT FAIRY,08/10/2024,3.4,1.2, ,15.6,9.0,73,48,3.80,19.84
PORT FAIRY,09/10/2024,3.7,0.0, ,20.3,2.3,89,38,2.35,23.20
PORT FAIRY,10/10/2024,4.3,0.0, ,17.8,9.8,80,41,5.83,23.07
PORT FAIRY,11/10/2024,3.4,0.0, ,17.5,10.4,78,60,5.83,18.43
PORT FAIRY,12/10/2024,3.5,0.0, ,16.2,10.3,85,56,4.04,23.77
PORT FAIRY,13/10/2024,4.5,0.0, ,24.7,6.1,87,29,3.56,16.42
PORT FAIRY,14/10/2024,3.1,0.0, ,17.1,12.0,91,69,5.57,21.04
PORT FAIRY,15/10/2024,3.0,0.0, ,21.7,12.3,88,60,3.64,12.84
PORT FAIRY,16/10/2024,4.5,0.0, ,27.8,12.9,92,51,3.22,21.10
PORT FAIRY,17/10/2024,3.7,0.2, ,26.2,15.3,92,55,4.03,14.16
PORT FAIRY,18/10/2024,1.5,0.4, ,17.0,16.1,95,86,5.67,6.76
PORT FAIRY,19/10/2024,2.8,3.0, ,18.0,11.8,93,65,5.50,14.37
PORT FAIRY,20/10/2024,3.6,0.0, ,19.2,9.0,93,67,2.72,25.31
PORT FAIRY,21/10/2024,4.4,0.0, ,23.8,11.8,93,53,2.89,24.89
PORT FAIRY,22/10/2024,3.7,0.0, ,21.9,14.2,86,56,4.20,17.21
PORT FAIRY,23/10/2024,4.3,0.0, ,19.4,8.0,89,48,6.06,23.98
PORT FAIRY,24/10/2024,4.4,1.0, ,17.3,11.4,83,45,8.23,22.13
PORT FAIRY,25/10/2024,4.1,1.0, ,16.7,10.3,73,46,3.77,25.07
PORT FAIRY,26/10/2024,4.3,0.0, ,22.8,5.6,84,42,2.77,23.39
PORT FAIRY,27/10/2024,4.4,0.0, ,20.4,10.9,80,56,4.83,25.06
PORT FAIRY,28/10/2024,4.3,0.0, ,18.7,12.4,79,53,5.05,24.52
PORT FAIRY,29/10/2024,3.5,0.0, ,18.4,12.7,82,56,4.31,17.21
PORT FAIRY,30/10/2024,3.5,0.0, ,19.1,12.1,87,62,4.32,20.08
PORT FAIRY,31/10/2024,3.5,0.4, ,16.9,11.4,89,57,5.43,19.87
Totals:,,114.2,24.8, ,,,,,, 
