'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/11/2024,4.2,0.0, ,17.6,11.4,75,47,3.85,24.26
PORT FAIRY,02/11/2024,6.4,0.0, ,26.3,6.6,87,21,5.10,23.73
PORT FAIRY,03/11/2024,5.8,0.0, ,19.7,12.1,86,23,7.20,26.22
PORT FAIRY,04/11/2024,3.9,0.4, ,19.9,9.8,90,55,3.67,22.98
PORT FAIRY,05/11/2024,5.1,0.0, ,24.6,6.2,92,35,3.06,27.34
PORT FAIRY,06/11/2024,5.5,0.0, ,25.8,14.4,81,40,5.71,19.77
PORT FAIRY,07/11/2024,3.5,0.0, ,19.1,8.1,89,51,3.25,18.66
PORT FAIRY,08/11/2024,4.1,5.2, ,17.7,9.4,92,51,6.62,24.72
PORT FAIRY,09/11/2024,3.5,0.4, ,19.3,6.9,86,45,3.91,15.37
PORT FAIRY,10/11/2024,4.2,0.0, ,19.2,10.2,88,57,4.40,26.27
PORT FAIRY,11/11/2024,3.5,0.0, ,19.5,10.7,93,62,4.60,20.09
PORT FAIRY,12/11/2024,2.9,1.8, ,19.9,13.1,93,71,2.48,16.72
PORT FAIRY,13/11/2024,3.8,3.0, ,19.5,13.8,94,60,5.82,21.67
PORT FAIRY,14/11/2024,4.1,0.0, ,18.6,11.9,72,45,3.59,19.78
PORT FAIRY,15/11/2024,4.8,0.0, ,19.9,11.2,81,51,4.40,27.90
PORT FAIRY,16/11/2024,8.8,0.0, ,34.0,10.2,84,13,5.50,22.30
PORT FAIRY,17/11/2024,4.0,7.2, ,19.1,9.8,93,48,7.80,17.67
PORT FAIRY,18/11/2024,4.0,3.0, ,18.4,10.0,81,53,7.08,18.32
PORT FAIRY,19/11/2024,3.6,0.0, ,19.0,12.3,74,50,3.53,15.69
PORT FAIRY,20/11/2024,4.2,0.0, ,18.0,11.8,82,56,5.84,24.48
PORT FAIRY,21/11/2024, ,0.0, , ,9.4,90,66,2.89,27.32
PORT FAIRY,22/11/2024, , , ,28.7, ,78,31,2.92,27.82
PORT FAIRY,23/11/2024,5.7,0.0, ,33.8,20.2,87,26,3.68,13.19
PORT FAIRY,24/11/2024,1.6,1.0, ,17.2,15.5,94,87,3.91,7.19
PORT FAIRY,25/11/2024,3.5,0.0, ,20.2,14.2,93,72,4.84,21.04
PORT FAIRY,26/11/2024,4.4,0.0, ,22.5,14.0,95,73,3.36,28.20
PORT FAIRY,27/11/2024,3.0,6.2, ,23.3,17.3,95,69,3.75,13.16
PORT FAIRY,28/11/2024,2.8,1.2, ,19.1,10.9,96,78,3.64,18.20
PORT FAIRY,29/11/2024,4.0,0.2, ,21.7,15.6,93,75,5.66,24.75
PORT FAIRY,30/11/2024, ,0.0, ,18.9,16.5,97,92,3.58, 
Totals:,,114.9,29.6, ,,,,,, 
