'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/12/2024,3.5,31.6, ,20.8,14.6,97,62,6.76,16.21
PORT FAIRY,02/12/2024,4.6,3.4, ,23.5,10.9,95,63,3.22,27.74
PORT FAIRY,03/12/2024,4.5,3.0, ,22.9,17.1,95,53,5.41,21.36
PORT FAIRY,04/12/2024,4.8,0.2, ,21.4,7.3,92,57,3.62,31.59
PORT FAIRY,05/12/2024,6.2,0.0, ,28.6,13.1,86,47,2.95,31.65
PORT FAIRY,06/12/2024,2.8,0.0, ,24.8,15.9,91,66,2.71,10.87
PORT FAIRY,07/12/2024,2.9,16.0, ,20.8,17.5,95,67,6.04,11.95
PORT FAIRY,08/12/2024,5.3,0.2, ,20.2,13.0,75,47,6.51,26.60
PORT FAIRY,09/12/2024,4.0,0.0, ,20.9,12.8,80,56,3.42,19.64
PORT FAIRY,10/12/2024,5.0,0.0, ,20.9,13.9,77,53,4.52,26.68
PORT FAIRY,11/12/2024,5.3,0.0, ,21.3,13.9,87,53,6.93,28.83
PORT FAIRY,12/12/2024,4.3,0.4, ,21.7,14.6,94,68,5.96,26.08
PORT FAIRY,13/12/2024,4.0,0.2, ,20.4,14.5,93,59,4.23,21.54
PORT FAIRY,14/12/2024,3.9,0.0, ,20.5,10.8,90,58,2.53,22.80
PORT FAIRY,15/12/2024,6.9,0.0, ,33.4,12.7,87,55,3.73,31.91
PORT FAIRY,16/12/2024,11.5,0.0, ,40.8,19.0,88,18,6.41,28.64
PORT FAIRY,17/12/2024,5.5,0.6, ,21.6,15.0,84,52,8.21,28.73
PORT FAIRY,18/12/2024,5.5,0.2, ,20.8,13.7,79,53,5.34,31.65
PORT FAIRY,19/12/2024,5.5,0.0, ,24.4,11.6,89,58,3.95,31.81
PORT FAIRY,20/12/2024,6.9,0.0, ,28.2,12.6,92,33,5.01,29.74
PORT FAIRY,21/12/2024,5.1,0.0, ,20.2,14.8,77,48,5.55,25.37
PORT FAIRY,22/12/2024,4.1,0.0, ,20.6,13.2,89,52,6.33,17.60
PORT FAIRY,23/12/2024,5.1,4.6, ,19.2,11.4,79,41,8.55,21.11
PORT FAIRY,24/12/2024,3.5,0.2, ,21.5,13.5,88,67,4.16,17.82
PORT FAIRY,25/12/2024,5.8,0.0, ,29.8,12.3,93,68,3.25,31.79
PORT FAIRY,26/12/2024,8.8,0.0, ,35.9,17.0,82,13,6.71,10.35
PORT FAIRY,27/12/2024,5.3,0.0, ,20.2,13.7,79,44,7.21,24.23
PORT FAIRY,28/12/2024,3.6,0.0, ,19.6,11.8,92,59,5.14,18.23
PORT FAIRY,29/12/2024,4.8,5.8, ,23.0,11.5,90,59,4.67,26.99
PORT FAIRY,30/12/2024,4.4,0.0, ,23.3,11.9,94,65,3.68,25.48
PORT FAIRY,31/12/2024,4.4,0.0, ,22.1,12.2,93,64,2.48,26.85
Totals:,,157.8,66.4, ,,,,,, 
