'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT FAIRY Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT FAIRY,01/04/2025,3.0,0.0, ,20.9,14.3,84,64,4.45,16.23
PORT FAIRY,02/04/2025,2.7,0.0, ,21.7,11.7,90,60,2.44,16.56
PORT FAIRY,03/04/2025,2.5,0.0, ,18.3,10.3,95,59,5.09,11.82
PORT FAIRY,04/04/2025,2.6,1.0, ,19.0,13.3,93,55,5.01,10.64
PORT FAIRY,05/04/2025,3.4,6.2, ,18.1,12.6,78,45,6.11,10.80
PORT FAIRY,06/04/2025,3.2,0.0, ,20.3,8.2,86,54,6.41,12.75
PORT FAIRY,07/04/2025,2.7,0.4, ,18.0,13.6,88,58,5.54,11.99
PORT FAIRY,08/04/2025,1.8,3.6, ,18.3,9.2,95,68,1.87,11.78
PORT FAIRY,09/04/2025,2.1,0.0, ,20.2,7.7,95,53,1.97,11.55
PORT FAIRY,10/04/2025,4.8,0.2, ,30.5,10.5,89,26,3.73,15.25
PORT FAIRY,11/04/2025,2.6,0.0, ,20.4,15.8,89,62,3.69,14.00
PORT FAIRY,12/04/2025,2.6,0.0, ,25.4,11.6,91,65,2.39,14.81
PORT FAIRY,13/04/2025,5.2,0.0, ,33.2,15.8,91,20,3.83,12.80
PORT FAIRY,14/04/2025,2.0,0.0, ,19.9,16.3,92,76,4.88,10.82
PORT FAIRY,15/04/2025,2.6,0.0, ,22.4,14.7,89,62,3.17,14.39
PORT FAIRY,16/04/2025,4.0,0.0, ,32.0,17.0,79,29,2.69,13.62
PORT FAIRY,17/04/2025,2.3,0.0, ,24.6,17.3,91,51,2.27,8.47
PORT FAIRY,18/04/2025,2.1,0.0, ,21.5,16.3,91,66,2.38,11.63
PORT FAIRY,19/04/2025,2.2,0.2, ,23.6,14.2,90,44,2.47,4.73
PORT FAIRY,20/04/2025,3.4,0.2, ,21.9,13.9,86,44,5.42,11.25
PORT FAIRY,21/04/2025,2.2,0.4, ,18.3,14.6,92,66,5.77,10.65
PORT FAIRY,22/04/2025,2.1,0.4, ,18.3,13.3,92,65,5.89,8.57
PORT FAIRY,23/04/2025,2.0,0.0, ,20.7,14.4,93,71,3.90,11.42
PORT FAIRY,24/04/2025,2.9,0.2, ,27.6,13.8,92,46,2.76,12.58
PORT FAIRY,25/04/2025,1.1,0.0, ,19.1,9.1,96,76,1.47,5.75
PORT FAIRY,26/04/2025,1.8,0.0, ,20.3,13.1,92,72,3.18,10.80
PORT FAIRY,27/04/2025,1.6,0.0, ,18.7,12.3,83,65,2.18,8.53
PORT FAIRY,28/04/2025,1.5,0.8, ,18.5,11.5,95,72,2.42,9.59
PORT FAIRY,29/04/2025,2.4,1.8, ,18.9,13.4,92,61,5.88,11.47
PORT FAIRY,30/04/2025,2.9,0.8, ,17.8,13.4,77,57,7.17,8.42
Totals:,,78.3,16.2, ,,,,,, 
