'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/09/2024,2.0,7.4, ,16.3,11.6,99,71,10.96,10.58
PORTLAND AIRPORT,02/09/2024,3.1,18.2, ,12.8,6.7,82,51,13.83,12.29
PORTLAND AIRPORT,03/09/2024,2.1,1.6, ,15.2,7.2,97,61,3.91,14.12
PORTLAND AIRPORT,04/09/2024,3.7,0.0, ,19.2,5.7,96,32,6.56,9.93
PORTLAND AIRPORT,05/09/2024,2.8,1.4, ,17.4,11.9,97,39,6.10,5.42
PORTLAND AIRPORT,06/09/2024,1.6,18.6, ,14.9,14.1,99,71,6.77,5.61
PORTLAND AIRPORT,07/09/2024,2.2,2.0, ,15.6,7.1,99,64,6.10,14.98
PORTLAND AIRPORT,08/09/2024,1.6,2.6, ,14.8,8.9,99,77,9.43,10.95
PORTLAND AIRPORT,09/09/2024,2.0,8.6, ,14.4,10.1,98,69,7.35,13.85
PORTLAND AIRPORT,10/09/2024,2.1,1.6, ,15.9,9.4,100,62,4.35,12.79
PORTLAND AIRPORT,11/09/2024,1.5,0.0, ,13.2,7.8,100,63,4.00,6.51
PORTLAND AIRPORT,12/09/2024,2.1,14.0, ,13.3,9.4,79,63,4.08,10.56
PORTLAND AIRPORT,13/09/2024,1.7,0.2, ,14.0,10.5,99,70,5.50,9.59
PORTLAND AIRPORT,14/09/2024,2.3,2.0, ,12.1,8.9,99,51,5.73,14.39
PORTLAND AIRPORT,15/09/2024,2.4,0.8, ,12.6,7.0,74,54,4.09,11.96
PORTLAND AIRPORT,16/09/2024,1.9,0.0, ,13.2,8.3,93,68,5.75,10.97
PORTLAND AIRPORT,17/09/2024, ,1.0, , ,8.7,78,59,6.12,12.72
PORTLAND AIRPORT,18/09/2024,2.6, , ,16.5,8.7,99,64,7.75,16.31
PORTLAND AIRPORT,19/09/2024,2.6,5.4, ,14.4,8.6,90,62,10.63,13.89
PORTLAND AIRPORT,20/09/2024,2.4,4.6, ,14.3,9.3,94,67,10.13,14.93
PORTLAND AIRPORT,21/09/2024,2.5,7.0, ,14.4,8.9,96,62,8.85,14.37
PORTLAND AIRPORT,22/09/2024,2.5,4.6, ,15.7,10.5,93,71,8.39,17.09
PORTLAND AIRPORT,23/09/2024,1.7,1.2, ,15.0,11.2,100,82,6.00,13.56
PORTLAND AIRPORT,24/09/2024,2.1,1.2, ,18.1,9.4,100,64,3.66,10.24
PORTLAND AIRPORT,25/09/2024,1.7,2.4, ,12.0,9.5,100,59,3.79,8.96
PORTLAND AIRPORT,26/09/2024,2.5,0.8, ,13.1,8.3,75,51,2.91,14.06
PORTLAND AIRPORT,27/09/2024,2.5,0.0, ,15.2,0.2,99,59,2.55,20.82
PORTLAND AIRPORT,28/09/2024,3.7,0.0, ,21.0,2.2,99,35,3.91,17.66
PORTLAND AIRPORT,29/09/2024,3.0,6.6, ,15.8,12.2,100,60,8.16,20.40
PORTLAND AIRPORT,30/09/2024,2.7,1.2, ,16.6,9.7,99,68,6.43,19.99
Totals:,,67.6,115, ,,,,,, 
