'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/11/2024,3.8,0.2, ,15.8,10.5,90,46,3.25,24.23
PORTLAND AIRPORT,02/11/2024,6.1,0.0, ,25.1,5.6,93,23,5.45,23.26
PORTLAND AIRPORT,03/11/2024,4.0,2.0, ,17.2,10.6,99,54,7.91,26.31
PORTLAND AIRPORT,04/11/2024,3.7,0.0, ,17.0,9.5,97,58,4.69,25.76
PORTLAND AIRPORT,05/11/2024,4.4,0.0, ,21.7,4.7,100,48,3.06,28.09
PORTLAND AIRPORT,06/11/2024,4.8,0.2, ,22.1,12.3,89,44,6.21,21.13
PORTLAND AIRPORT,07/11/2024,3.8,0.0, ,18.1,6.9,99,48,5.37,22.02
PORTLAND AIRPORT,08/11/2024,4.1,5.0, ,16.2,9.5,92,51,8.06,27.26
PORTLAND AIRPORT,09/11/2024,2.7,0.0, ,17.1,8.3,95,57,4.50,13.09
PORTLAND AIRPORT,10/11/2024,3.3,0.6, ,18.6,7.5,100,62,2.87,21.80
PORTLAND AIRPORT,11/11/2024, ,0.2, , ,6.7,99,65,4.03,24.11
PORTLAND AIRPORT,12/11/2024, , , ,19.3, ,99,68,3.59,14.38
PORTLAND AIRPORT,13/11/2024,3.7,5.2, ,17.6,11.5,100,56,5.19,23.20
PORTLAND AIRPORT,14/11/2024,3.2,0.6, ,16.1,10.2,84,49,2.68,17.15
PORTLAND AIRPORT,15/11/2024,4.3,0.0, ,19.0,9.6,88,52,3.66,27.28
PORTLAND AIRPORT,16/11/2024,8.4,0.0, ,32.7,9.4,89,12,5.50,21.44
PORTLAND AIRPORT,17/11/2024,3.9,7.6, ,17.1,9.9,99,53,10.02,23.95
PORTLAND AIRPORT,18/11/2024,3.6,2.2, ,16.9,11.0,84,54,6.06,18.18
PORTLAND AIRPORT,19/11/2024,3.2,0.2, ,15.9,11.1,80,52,2.75,16.71
PORTLAND AIRPORT,20/11/2024,3.8,0.0, ,16.9,11.4,85,57,4.88,22.10
PORTLAND AIRPORT,21/11/2024, ,0.0, , ,8.7,100,45,3.36,25.20
PORTLAND AIRPORT,22/11/2024, , , ,34.7, ,99,16,3.37,27.88
PORTLAND AIRPORT,23/11/2024,3.8,0.0, ,26.4,20.6,100,33,3.97,9.30
PORTLAND AIRPORT,24/11/2024,1.8,0.2, ,18.1,14.3,100,85,3.43,10.22
PORTLAND AIRPORT,25/11/2024,2.5,0.0, ,18.9,13.0,100,81,4.21,15.63
PORTLAND AIRPORT,26/11/2024,5.3,0.2, ,27.4,12.7,100,56,4.78,26.95
PORTLAND AIRPORT,27/11/2024,3.3,9.2, ,20.3,16.0,100,65,5.47,17.39
PORTLAND AIRPORT,28/11/2024,1.5,1.0, ,17.3,11.2,100,99,3.79,10.88
PORTLAND AIRPORT,29/11/2024,4.2,2.2, ,22.9,13.1,100,68,5.43,26.04
PORTLAND AIRPORT,30/11/2024, ,0.0, ,18.9,15.8,100,100,3.62, 
Totals:,,97.2,36.8, ,,,,,, 
