'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/01/2025,3.1,0.0, ,19.8,5.0,100,59,3.82,17.01
PORTLAND AIRPORT,02/01/2025,5.0,0.2, ,19.2,9.1,82,48,3.71,31.17
PORTLAND AIRPORT,03/01/2025,5.5,0.0, ,24.3,9.0,100,46,3.41,31.95
PORTLAND AIRPORT,04/01/2025,6.5,0.0, ,32.5,12.8,100,17,3.09,22.91
PORTLAND AIRPORT,05/01/2025,5.7,0.0, ,31.9,16.0,96,22,4.13,12.13
PORTLAND AIRPORT,06/01/2025,4.7,2.8, ,19.3,14.2,90,48,4.59,25.98
PORTLAND AIRPORT,07/01/2025,3.8,0.0, ,19.2,13.5,79,60,6.20,16.70
PORTLAND AIRPORT,08/01/2025,6.9,0.0, ,28.2,13.7,92,27,4.25,29.43
PORTLAND AIRPORT,09/01/2025,2.9,0.0, ,24.8,15.2,100,49,2.29,10.30
PORTLAND AIRPORT,10/01/2025,7.0,0.0, ,29.6,13.2,100,31,3.93,31.39
PORTLAND AIRPORT,11/01/2025,7.2,0.0, ,30.7,16.7,100,21,3.70,29.39
PORTLAND AIRPORT,12/01/2025,4.8,0.0, ,26.0,16.0,100,46,3.54,22.19
PORTLAND AIRPORT,13/01/2025,5.5,0.0, ,25.0,17.0,96,56,4.33,29.96
PORTLAND AIRPORT,14/01/2025,5.8,0.0, ,25.8,16.6,93,56,5.86,30.53
PORTLAND AIRPORT,15/01/2025,4.4,0.0, ,20.9,16.6,97,49,7.44,19.60
PORTLAND AIRPORT,16/01/2025,4.7,0.8, ,21.6,10.6,93,54,4.85,27.21
PORTLAND AIRPORT,17/01/2025,4.7,0.0, ,22.2,15.3,98,55,4.14,26.14
PORTLAND AIRPORT,18/01/2025,6.5,0.0, ,26.5,14.1,97,39,5.82,30.56
PORTLAND AIRPORT,19/01/2025,7.5,0.0, ,34.9,13.5,100,16,3.09,27.96
PORTLAND AIRPORT,20/01/2025,4.8,0.0, ,26.7,14.0,100,44,3.21,21.46
PORTLAND AIRPORT,21/01/2025,4.0,0.0, ,22.9,17.8,95,62,3.96,20.33
PORTLAND AIRPORT,22/01/2025,4.8,0.0, ,21.4,15.2,90,44,5.03,23.29
PORTLAND AIRPORT,23/01/2025,2.5,0.0, ,17.6,13.4,87,59,3.50,9.54
PORTLAND AIRPORT,24/01/2025,4.4,0.4, ,22.1,9.1,92,55,4.57,24.79
PORTLAND AIRPORT,25/01/2025,3.8,0.0, ,22.4,12.0,96,55,3.72,18.63
PORTLAND AIRPORT,26/01/2025,5.6,0.0, ,28.7,14.2,90,54,4.63,25.93
PORTLAND AIRPORT,27/01/2025,9.5,0.0, ,36.1,15.9,91,20,6.91,22.98
PORTLAND AIRPORT,28/01/2025,5.0,0.0, ,21.2,14.8,71,46,4.50,23.28
PORTLAND AIRPORT,29/01/2025,4.3,0.0, ,20.1,14.6,62,44,3.33,18.77
PORTLAND AIRPORT,30/01/2025,3.4,0.0, ,20.9,14.1,88,45,2.71,14.61
PORTLAND AIRPORT,31/01/2025,4.5,0.0, ,21.7,8.6,99,46,3.11,26.83
Totals:,,158.8,4.2, ,,,,,, 
