'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORTLAND AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORTLAND AIRPORT,01/03/2025, , , ,22.5, ,100,52,4.85,19.51
PORTLAND AIRPORT,02/03/2025,3.2,0.0, ,20.0,13.3,98,50,3.91,15.60
PORTLAND AIRPORT,03/03/2025,3.9,0.0, ,19.9,7.0,89,49,4.27,23.06
PORTLAND AIRPORT,04/03/2025,4.8,0.0, ,28.0,6.7,100,35,2.80,23.10
PORTLAND AIRPORT,05/03/2025,3.3,0.0, ,22.7,8.7,100,63,4.21,19.14
PORTLAND AIRPORT,06/03/2025,2.2,1.4, ,19.3,14.2,100,69,6.99,9.01
PORTLAND AIRPORT,07/03/2025,4.4,0.6, ,26.0,15.2,100,55,5.61,20.87
PORTLAND AIRPORT,08/03/2025,5.9,0.2, ,33.0,14.3,100,29,3.48,22.30
PORTLAND AIRPORT,09/03/2025,5.1,0.0, ,33.2,15.0,89,27,3.24,13.81
PORTLAND AIRPORT,10/03/2025,6.1,0.0, ,33.3,18.9,95,33,4.59,19.35
PORTLAND AIRPORT,11/03/2025,3.1,0.4, ,29.0,18.2,100,52,2.93,10.18
PORTLAND AIRPORT,12/03/2025,3.7,0.4, ,23.5,16.7,100,55,4.11,19.32
PORTLAND AIRPORT,13/03/2025,3.1,0.2, ,22.0,15.8,92,63,2.52,17.42
PORTLAND AIRPORT,14/03/2025,2.8,0.0, ,22.7,13.3,100,60,2.42,15.42
PORTLAND AIRPORT,15/03/2025,5.5,0.0, ,35.1,13.3,100,13,3.16,11.67
PORTLAND AIRPORT,16/03/2025,3.0,9.6, ,18.1,14.4,100,49,7.18,10.66
PORTLAND AIRPORT,17/03/2025,2.9,0.8, ,18.2,11.7,70,48,3.55,10.23
PORTLAND AIRPORT,18/03/2025,3.0,0.0, ,19.9,12.5,97,50,2.03,19.05
PORTLAND AIRPORT,19/03/2025,5.0,0.2, ,28.8,7.9,100,23,3.26,19.81
PORTLAND AIRPORT,20/03/2025,3.6,0.2, ,24.7,12.1,100,28,4.29,5.94
PORTLAND AIRPORT,21/03/2025,2.7,4.0, ,18.9,12.3,92,46,1.97,15.87
PORTLAND AIRPORT,22/03/2025,2.8,0.2, ,21.0,7.1,100,53,3.06,15.60
PORTLAND AIRPORT,23/03/2025,2.2,0.0, ,20.1,11.9,100,63,2.04,12.99
PORTLAND AIRPORT,24/03/2025,2.8,0.0, ,21.8,6.3,100,48,1.88,17.58
PORTLAND AIRPORT,25/03/2025,2.6,0.2, ,20.8,10.1,100,61,3.59,14.95
PORTLAND AIRPORT,26/03/2025,3.0,0.0, ,20.8,12.4,98,55,4.46,15.98
PORTLAND AIRPORT,27/03/2025,3.1,0.0, ,20.5,15.2,99,59,5.24,16.89
PORTLAND AIRPORT,28/03/2025,3.4,0.0, ,26.3,13.1,100,48,2.82,16.93
PORTLAND AIRPORT,29/03/2025,2.2,0.2, ,19.1,14.9,100,62,5.30,9.13
PORTLAND AIRPORT,30/03/2025,2.4,1.4, ,19.6,13.4,100,62,7.08,8.93
PORTLAND AIRPORT,31/03/2025,4.4,1.2, ,20.7,13.9,77,37,6.96,13.32
Totals:,,106.2,21.2, ,,,,,, 
