'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/09/2024,2.6,0.8, ,17.7,12.1,91,52,6.85,5.99
POUND CREEK,02/09/2024,2.4,14.2, ,12.0,5.3,94,49,11.02,6.81
POUND CREEK,03/09/2024,2.0,6.6, ,14.9,5.7,93,56,3.84,10.39
POUND CREEK,04/09/2024,2.4,1.2, ,19.2,3.3,96,48,2.64,13.18
POUND CREEK,05/09/2024,3.6,0.6, ,22.4,13.1,82,37,5.40,5.64
POUND CREEK,06/09/2024,2.6,4.0, ,21.1,12.7,93,35,3.32,4.53
POUND CREEK,07/09/2024,2.5,5.4, ,16.9,8.2,95,50,3.20,16.22
POUND CREEK,08/09/2024,2.5,0.4, ,17.0,9.1,93,57,5.09,12.94
POUND CREEK,09/09/2024,2.3,4.2, ,14.9,10.6,88,63,5.51,12.81
POUND CREEK,10/09/2024,2.2,0.0, ,16.4,9.0,96,67,2.60,16.71
POUND CREEK,11/09/2024,2.2,0.0, ,18.3,6.5,98,60,3.21,12.53
POUND CREEK,12/09/2024,2.1,0.4, ,14.2,8.4,95,60,3.87,13.69
POUND CREEK,13/09/2024,1.6,4.4, ,14.2,8.9,96,75,3.79,10.67
POUND CREEK,14/09/2024,2.1,7.6, ,11.8,8.7,96,56,6.78,9.78
POUND CREEK,15/09/2024,2.3,1.6, ,12.6,2.5,90,50,3.31,16.97
POUND CREEK,16/09/2024,2.4,0.2, ,14.5,9.3,90,64,6.89,14.32
POUND CREEK,17/09/2024,2.0,2.0, ,13.2,9.8,92,62,4.23,11.28
POUND CREEK,18/09/2024,3.2,0.0, ,17.8,5.9,95,48,5.89,16.41
POUND CREEK,19/09/2024,2.5,10.0, ,14.3,8.7,95,60,6.80,15.72
POUND CREEK,20/09/2024,2.5,9.4, ,15.8,8.3,93,64,5.53,15.36
POUND CREEK,21/09/2024,2.3,12.8, ,14.5,8.3,91,62,5.58,12.68
POUND CREEK,22/09/2024,2.8,0.0, ,17.4,10.8,89,64,5.39,17.05
POUND CREEK,23/09/2024,2.0,0.0, ,17.3,11.4,97,66,3.80,8.94
POUND CREEK,24/09/2024,2.5,1.6, ,20.0,10.5,97,65,1.80,16.59
POUND CREEK,25/09/2024,1.6,4.0, ,12.9,10.7,97,64,3.89,6.49
POUND CREEK,26/09/2024,2.3,2.0, ,12.5,8.9,83,57,4.40,11.88
POUND CREEK,27/09/2024,2.3,0.0, ,14.7,6.3,97,58,1.73,17.77
POUND CREEK,28/09/2024,3.2,0.0, ,21.6,4.2,90,51,2.22,20.73
POUND CREEK,29/09/2024,1.9,0.0, ,17.2,9.7,93,57,2.78,6.17
POUND CREEK,30/09/2024,2.9,1.8, ,16.6,7.4,94,58,3.73,20.31
Totals:,,71.8,95.2, ,,,,,, 
