'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/02/2025,6.1,0.0, ,29.8,7.5,97,42,3.77,28.46
POUND CREEK,02/02/2025,8.6,0.0, ,39.1,18.7,79,26,4.72,22.60
POUND CREEK,03/02/2025,4.9,3.0, ,34.9,22.0,87,36,2.78,13.98
POUND CREEK,04/02/2025,7.1,0.0, ,36.4,19.8,84,27,4.11,19.75
POUND CREEK,05/02/2025,4.6,0.0, ,24.1,14.8,84,53,5.60,19.13
POUND CREEK,06/02/2025,6.7,0.0, ,32.0,18.0,94,46,5.22,26.99
POUND CREEK,07/02/2025,2.7,0.0, ,24.3,15.6,98,72,3.61,12.14
POUND CREEK,08/02/2025,2.5,0.0, ,20.3,14.7,94,62,4.65,8.47
POUND CREEK,09/02/2025,2.9,0.0, ,21.3,15.1,89,67,8.06,8.22
POUND CREEK,10/02/2025,3.5,0.0, ,23.3,17.1,96,63,7.54,14.03
POUND CREEK,11/02/2025,5.1,2.2, ,28.7,17.6,97,57,5.57,22.77
POUND CREEK,12/02/2025,6.7,0.0, ,32.9,18.2,96,40,4.18,26.64
POUND CREEK,13/02/2025,6.6,0.0, ,36.0,19.1,94,29,3.98,18.80
POUND CREEK,14/02/2025,4.2,0.8, ,23.0,14.6,90,56,4.84,20.96
POUND CREEK,15/02/2025,3.8,5.8, ,17.7,11.6,93,46,8.21,15.68
POUND CREEK,16/02/2025,4.7,1.2, ,19.5,10.8,77,45,6.67,21.84
POUND CREEK,17/02/2025,4.0,0.2, ,19.6,9.7,90,50,2.66,25.22
POUND CREEK,18/02/2025,3.6,0.0, ,21.9,6.5,95,50,4.76,15.98
POUND CREEK,19/02/2025,3.8,0.2, ,20.0,14.1,87,52,5.80,16.14
POUND CREEK,20/02/2025,4.2,0.4, ,20.2,14.3,90,45,4.16,21.88
POUND CREEK,21/02/2025,4.9,0.0, ,29.1,4.0,97,35,2.36,24.08
POUND CREEK,22/02/2025,8.1,0.0, ,38.1,13.8,69,26,4.20,23.36
POUND CREEK,23/02/2025,6.1,0.8, ,30.9,20.8,82,33,5.17,16.45
POUND CREEK,24/02/2025,3.6,0.0, ,22.3,14.5,92,57,4.16,17.27
POUND CREEK,25/02/2025,4.7,0.0, ,26.0,8.3,95,43,3.22,23.71
POUND CREEK,26/02/2025,6.3,0.0, ,34.8,8.8,98,19,2.95,20.94
POUND CREEK,27/02/2025,3.7,0.0, ,23.5,16.5,92,64,3.24,20.23
POUND CREEK,28/02/2025,4.0,0.2, ,25.1,15.6,96,55,3.83,19.62
Totals:,,137.7,14.8, ,,,,,, 
