'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for POUND CREEK Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
POUND CREEK,01/04/2025,2.4,1.8, ,20.1,10.8,96,62,4.03,12.76
POUND CREEK,02/04/2025,2.8,0.0, ,24.0,11.5,96,43,2.12,13.59
POUND CREEK,03/04/2025,2.4,0.0, ,20.9,5.2,98,62,3.12,13.86
POUND CREEK,04/04/2025,2.1,0.4, ,17.4,11.4,85,55,3.36,7.40
POUND CREEK,05/04/2025,3.1,7.8, ,17.2,12.0,95,42,6.79,11.75
POUND CREEK,06/04/2025,3.7,0.0, ,21.7,7.7,91,41,5.71,13.24
POUND CREEK,07/04/2025,2.7,1.2, ,17.8,13.2,90,54,6.04,9.51
POUND CREEK,08/04/2025,1.4,4.4, ,16.8,11.5,97,76,2.33,8.10
POUND CREEK,09/04/2025,2.0,0.4, ,19.3,10.4,96,59,1.47,13.54
POUND CREEK,10/04/2025,3.5,0.0, ,26.1,8.2,96,29,2.74,15.43
POUND CREEK,11/04/2025,2.2,0.0, ,19.9,14.8,97,45,2.43,9.46
POUND CREEK,12/04/2025,2.5,0.0, ,27.4,6.2,98,49,1.30,15.12
POUND CREEK,13/04/2025,4.8,0.0, ,31.6,11.6,89,25,3.58,14.34
POUND CREEK,14/04/2025,2.5,0.4, ,21.7,15.2,94,63,4.63,11.18
POUND CREEK,15/04/2025,3.7,0.0, ,24.7,13.5,86,46,5.02,14.58
POUND CREEK,16/04/2025,2.4,0.0, ,24.6,12.6,93,44,2.28,9.41
POUND CREEK,17/04/2025,3.3,0.4, ,28.7,9.4,94,33,2.30,14.24
POUND CREEK,18/04/2025,4.3,0.4, ,31.1,14.6,96,28,3.62,12.39
POUND CREEK,19/04/2025,2.7,0.0, ,28.1,13.3,97,24,1.81,8.15
POUND CREEK,20/04/2025,2.1,0.0, ,24.6,16.1,96,39,1.72,8.02
POUND CREEK,21/04/2025,1.8,1.4, ,20.7,7.1,98,70,3.86,9.87
POUND CREEK,22/04/2025,1.7,0.0, ,18.8,13.9,97,62,2.85,8.56
POUND CREEK,23/04/2025,2.3,0.8, ,21.3,11.1,96,62,4.57,10.98
POUND CREEK,24/04/2025,2.8,0.0, ,27.7,11.3,98,38,2.37,11.69
POUND CREEK,25/04/2025,1.3,0.0, ,22.1,10.9,96,68,1.57,5.83
POUND CREEK,26/04/2025,1.2,8.6, ,20.0,13.9,97,80,1.95,7.31
POUND CREEK,27/04/2025,1.6,0.2, ,17.6,15.2,90,63,2.62,7.27
POUND CREEK,28/04/2025,1.5,0.0, ,18.6,9.9,91,71,2.58,8.49
POUND CREEK,29/04/2025,1.6,0.0, ,19.2,9.9,95,66,2.75,9.14
POUND CREEK,30/04/2025,1.8,0.0, ,18.4,3.8,96,50,2.44,9.25
Totals:,,74.2,28.2, ,,,,,, 
