'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/10/2024,3.4,0.0, ,19.9,7.4,95,44,3.46,18.63
PUCKAPUNYAL LYON HILL (DEFENCE),02/10/2024,4.0,0.0, ,21.9,7.7,91,43,3.60,22.20
PUCKAPUNYAL LYON HILL (DEFENCE),03/10/2024,5.0,0.0, ,24.9,8.4,87,36,4.86,21.10
PUCKAPUNYAL LYON HILL (DEFENCE),04/10/2024,3.4,3.0, ,20.4,12.4,91,51,5.69,13.80
PUCKAPUNYAL LYON HILL (DEFENCE),05/10/2024,3.0,0.2, ,19.3,8.7,93,53,3.70,15.61
PUCKAPUNYAL LYON HILL (DEFENCE),06/10/2024,3.8,3.6, ,20.1,10.4,96,41,3.85,19.61
PUCKAPUNYAL LYON HILL (DEFENCE),07/10/2024,2.6,0.0, ,19.4,9.9,90,60,4.28,10.06
PUCKAPUNYAL LYON HILL (DEFENCE),08/10/2024,3.3,0.6, ,15.0,5.5,86,46,4.61,20.75
PUCKAPUNYAL LYON HILL (DEFENCE),09/10/2024,4.0,0.0, ,20.5,3.4,82,33,2.51,23.57
PUCKAPUNYAL LYON HILL (DEFENCE),10/10/2024,5.1,0.0, ,24.2,8.4,82,34,4.26,23.16
PUCKAPUNYAL LYON HILL (DEFENCE),11/10/2024,4.6,0.0, ,19.2,8.0,82,40,5.88,23.90
PUCKAPUNYAL LYON HILL (DEFENCE),12/10/2024,4.7,0.0, ,20.7,8.2,81,36,4.59,24.11
PUCKAPUNYAL LYON HILL (DEFENCE),13/10/2024,5.2,0.0, ,23.9,6.7,90,21,3.85,23.70
PUCKAPUNYAL LYON HILL (DEFENCE),14/10/2024,5.2,0.0, ,24.6,13.3,85,37,4.23,24.12
PUCKAPUNYAL LYON HILL (DEFENCE),15/10/2024,4.9,0.0, ,26.2,11.5,83,38,3.78,20.67
PUCKAPUNYAL LYON HILL (DEFENCE),16/10/2024,4.3,0.0, ,23.6,15.2,77,47,3.80,18.32
PUCKAPUNYAL LYON HILL (DEFENCE),17/10/2024,4.4,0.0, ,25.9,13.5,87,45,4.61,15.57
PUCKAPUNYAL LYON HILL (DEFENCE),18/10/2024,2.8,33.8, ,23.1,16.6,100,67,5.26,11.64
PUCKAPUNYAL LYON HILL (DEFENCE),19/10/2024,4.2,8.2, ,19.0,12.2,90,50,5.91,23.20
PUCKAPUNYAL LYON HILL (DEFENCE),20/10/2024,4.5,0.0, ,20.2,11.7,86,54,6.67,24.86
PUCKAPUNYAL LYON HILL (DEFENCE),21/10/2024,5.3,0.0, ,26.5,10.3,92,34,3.30,25.73
PUCKAPUNYAL LYON HILL (DEFENCE),22/10/2024,5.6,0.0, ,29.3,11.7,90,33,3.86,21.53
PUCKAPUNYAL LYON HILL (DEFENCE),23/10/2024,5.2,0.0, ,23.9,11.7,90,20,4.13,20.33
PUCKAPUNYAL LYON HILL (DEFENCE),24/10/2024,4.3,0.0, ,19.0,5.7,83,29,3.73,22.06
PUCKAPUNYAL LYON HILL (DEFENCE),25/10/2024,4.3,0.0, ,16.6,7.0,77,29,4.37,22.89
PUCKAPUNYAL LYON HILL (DEFENCE),26/10/2024,4.5,0.0, ,21.6,3.4,84,18,2.07,25.58
PUCKAPUNYAL LYON HILL (DEFENCE),27/10/2024,6.2,0.0, ,28.5,10.6,75,18,3.91,21.24
PUCKAPUNYAL LYON HILL (DEFENCE),28/10/2024,4.9,0.0, ,19.3,9.6,86,36,5.28,25.91
PUCKAPUNYAL LYON HILL (DEFENCE),29/10/2024,5.0,0.0, ,21.5,8.2,85,38,4.44,27.01
PUCKAPUNYAL LYON HILL (DEFENCE),30/10/2024,6.2,0.0, ,26.4,9.2,90,21,4.01,27.26
PUCKAPUNYAL LYON HILL (DEFENCE),31/10/2024,4.7,0.0, ,20.7,10.4,88,40,4.69,23.69
Totals:,,138.6,49.4, ,,,,,, 
