'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/11/2024,5.0,0.0, ,18.1,7.7,78,36,5.76,27.47
PUCKAPUNYAL LYON HILL (DEFENCE),02/11/2024,6.4,0.0, ,25.9,6.4,89,15,4.59,24.89
PUCKAPUNYAL LYON HILL (DEFENCE),03/11/2024,8.1,0.0, ,30.7,14.6,68,19,5.22,26.91
PUCKAPUNYAL LYON HILL (DEFENCE),04/11/2024,5.4,0.0, ,21.9,10.8,82,34,4.57,26.95
PUCKAPUNYAL LYON HILL (DEFENCE),05/11/2024,5.6,0.0, ,27.0,8.8,86,23,2.53,26.78
PUCKAPUNYAL LYON HILL (DEFENCE),06/11/2024,8.5,0.0, ,34.1,14.9,71,19,5.51,21.97
PUCKAPUNYAL LYON HILL (DEFENCE),07/11/2024,5.7,0.0, ,24.5,11.5,93,25,4.51,23.89
PUCKAPUNYAL LYON HILL (DEFENCE),08/11/2024,4.6,1.4, ,21.0,7.4,95,39,4.49,23.49
PUCKAPUNYAL LYON HILL (DEFENCE),09/11/2024,4.0,0.0, ,20.9,6.0,81,23,2.64,17.08
PUCKAPUNYAL LYON HILL (DEFENCE),10/11/2024,5.8,0.0, ,23.7,9.5,84,30,4.21,28.14
PUCKAPUNYAL LYON HILL (DEFENCE),11/11/2024,6.2,0.0, ,29.1,9.7,87,24,3.29,25.50
PUCKAPUNYAL LYON HILL (DEFENCE),12/11/2024,4.7,0.0, ,27.1,13.4,85,30,3.55,14.06
PUCKAPUNYAL LYON HILL (DEFENCE),13/11/2024,3.8,0.6, ,23.2,14.5,92,52,4.01,15.39
PUCKAPUNYAL LYON HILL (DEFENCE),14/11/2024,6.0,0.0, ,21.8,10.2,79,33,6.19,29.15
PUCKAPUNYAL LYON HILL (DEFENCE),15/11/2024,6.8,0.0, ,27.3,8.7,78,17,3.86,29.00
PUCKAPUNYAL LYON HILL (DEFENCE),16/11/2024,9.1,0.0, ,33.9,8.9,92,17,5.61,28.15
PUCKAPUNYAL LYON HILL (DEFENCE),17/11/2024,7.3,0.0, ,27.0,20.6,70,26,7.53,17.58
PUCKAPUNYAL LYON HILL (DEFENCE),18/11/2024,5.2,0.0, ,22.1,10.4,77,30,4.57,21.28
PUCKAPUNYAL LYON HILL (DEFENCE),19/11/2024,6.3,0.0, ,23.4,9.3,81,31,5.56,29.60
PUCKAPUNYAL LYON HILL (DEFENCE),20/11/2024,7.4,0.0, ,27.1,9.4,81,25,6.10,29.14
PUCKAPUNYAL LYON HILL (DEFENCE),21/11/2024, ,0.0, , ,10.6,89,10,3.65,29.71
PUCKAPUNYAL LYON HILL (DEFENCE),22/11/2024, , , ,36.0, ,63,16,3.00,25.70
PUCKAPUNYAL LYON HILL (DEFENCE),23/11/2024,8.8,0.0, ,37.2,21.6,54,14,4.64,18.88
PUCKAPUNYAL LYON HILL (DEFENCE),24/11/2024,2.2,0.8, ,21.4,18.5,98,56,2.32,7.07
PUCKAPUNYAL LYON HILL (DEFENCE),25/11/2024,1.8,16.4, ,19.9,16.6,99,88,3.42,9.09
PUCKAPUNYAL LYON HILL (DEFENCE),26/11/2024,4.7,2.4, ,30.0,16.6,98,48,2.77,19.36
PUCKAPUNYAL LYON HILL (DEFENCE),27/11/2024,4.5,13.6, ,27.4,19.3,99,48,4.90,15.64
PUCKAPUNYAL LYON HILL (DEFENCE),28/11/2024,6.1,9.2, ,28.8,14.5,97,33,3.13,27.80
PUCKAPUNYAL LYON HILL (DEFENCE),29/11/2024, ,0.2, , ,16.6,100,24,3.19,29.47
PUCKAPUNYAL LYON HILL (DEFENCE),30/11/2024, , , ,23.8, ,98,69,2.84, 
Totals:,,150,44.6, ,,,,,, 
