'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/12/2024, ,25.8, , ,16.6,88,36,3.83,23.88
PUCKAPUNYAL LYON HILL (DEFENCE),02/12/2024, , , ,31.4, ,94,25,3.45,28.26
PUCKAPUNYAL LYON HILL (DEFENCE),03/12/2024,7.2,6.0, ,31.1,18.9,97,31,6.61,22.76
PUCKAPUNYAL LYON HILL (DEFENCE),04/12/2024, ,0.0, , ,10.4,87,23,4.36,31.55
PUCKAPUNYAL LYON HILL (DEFENCE),05/12/2024, , , , , ,87,16,3.01,31.59
PUCKAPUNYAL LYON HILL (DEFENCE),06/12/2024, , , ,37.4, ,87,21,5.31,22.54
PUCKAPUNYAL LYON HILL (DEFENCE),07/12/2024,5.9,7.8, ,30.4,18.4,94,42,3.81,23.35
PUCKAPUNYAL LYON HILL (DEFENCE),08/12/2024,6.1,3.4, ,23.8,11.2,82,32,3.86,31.27
PUCKAPUNYAL LYON HILL (DEFENCE),09/12/2024,4.6,0.0, ,24.2,11.2,79,36,2.74,20.30
PUCKAPUNYAL LYON HILL (DEFENCE),10/12/2024,6.5,0.0, ,24.1,12.1,81,31,5.37,29.60
PUCKAPUNYAL LYON HILL (DEFENCE),11/12/2024,6.8,0.0, ,27.0,11.1,85,24,3.64,31.88
PUCKAPUNYAL LYON HILL (DEFENCE),12/12/2024,7.4,0.0, ,30.8,13.1,83,24,3.42,31.81
PUCKAPUNYAL LYON HILL (DEFENCE),13/12/2024, ,0.0, , ,15.8,93,33,5.21,31.71
PUCKAPUNYAL LYON HILL (DEFENCE),14/12/2024, , , , , ,85,17,4.27,24.54
PUCKAPUNYAL LYON HILL (DEFENCE),15/12/2024, , , , , ,85,18,2.94,32.05
PUCKAPUNYAL LYON HILL (DEFENCE),16/12/2024, , , ,40.6, ,61,16,4.78,20.27
PUCKAPUNYAL LYON HILL (DEFENCE),17/12/2024,7.9,0.0, ,27.6,17.7,74,23,5.66,29.95
PUCKAPUNYAL LYON HILL (DEFENCE),18/12/2024,7.4,0.0, ,26.0,11.9,76,27,5.77,32.13
PUCKAPUNYAL LYON HILL (DEFENCE),19/12/2024,7.0,0.0, ,29.8,11.0,88,21,2.82,32.10
PUCKAPUNYAL LYON HILL (DEFENCE),20/12/2024,9.1,0.0, ,34.3,14.9,73,13,4.32,31.67
PUCKAPUNYAL LYON HILL (DEFENCE),21/12/2024,7.3,0.0, ,24.8,14.8,78,35,7.79,31.13
PUCKAPUNYAL LYON HILL (DEFENCE),22/12/2024,7.1,0.0, ,26.4,11.9,73,26,5.27,28.37
PUCKAPUNYAL LYON HILL (DEFENCE),23/12/2024,5.7,0.0, ,21.6,8.7,81,27,5.59,23.99
PUCKAPUNYAL LYON HILL (DEFENCE),24/12/2024,5.8,0.0, ,24.8,11.1,82,38,3.91,28.37
PUCKAPUNYAL LYON HILL (DEFENCE),25/12/2024,7.8,0.0, ,34.1,13.4,91,20,2.94,32.02
PUCKAPUNYAL LYON HILL (DEFENCE),26/12/2024,11.6,0.0, ,39.2,19.8,64,8,6.15,26.68
PUCKAPUNYAL LYON HILL (DEFENCE),27/12/2024,5.9,0.0, ,24.8,14.8,64,25,3.90,22.03
PUCKAPUNYAL LYON HILL (DEFENCE),28/12/2024,6.2,0.0, ,26.1,10.9,81,29,4.27,25.51
PUCKAPUNYAL LYON HILL (DEFENCE),29/12/2024,7.0,0.0, ,29.0,11.5,83,25,3.21,31.90
PUCKAPUNYAL LYON HILL (DEFENCE),30/12/2024,7.8,0.0, ,31.2,14.2,83,23,4.64,28.40
PUCKAPUNYAL LYON HILL (DEFENCE),31/12/2024,8.8,0.0, ,32.5,14.0,87,16,4.81,31.83
Totals:,,156.9,43, ,,,,,, 
