'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/03/2025,7.9,0.0, ,33.8,14.7,84,10,4.46,23.86
PUCKAPUNYAL LYON HILL (DEFENCE),02/03/2025,5.2,0.0, ,24.2,15.4,74,44,6.82,17.22
PUCKAPUNYAL LYON HILL (DEFENCE),03/03/2025,6.7,0.0, ,26.2,11.8,73,29,7.10,23.19
PUCKAPUNYAL LYON HILL (DEFENCE),04/03/2025,6.6,0.0, ,32.1,12.4,85,22,3.84,23.11
PUCKAPUNYAL LYON HILL (DEFENCE),05/03/2025,7.3,0.0, ,34.6,16.9,79,21,4.18,22.92
PUCKAPUNYAL LYON HILL (DEFENCE),06/03/2025,5.8,0.0, ,27.5,17.2,84,46,7.10,21.76
PUCKAPUNYAL LYON HILL (DEFENCE),07/03/2025,6.3,0.0, ,33.0,16.6,89,24,3.60,22.51
PUCKAPUNYAL LYON HILL (DEFENCE),08/03/2025,5.8,0.0, ,32.2,18.4,70,16,2.55,22.39
PUCKAPUNYAL LYON HILL (DEFENCE),09/03/2025,6.9,0.0, ,33.3,19.4,80,24,4.68,20.20
PUCKAPUNYAL LYON HILL (DEFENCE),10/03/2025,4.4,0.0, ,32.8,17.9,93,37,1.73,19.14
PUCKAPUNYAL LYON HILL (DEFENCE),11/03/2025,5.9,2.4, ,34.6,19.8,74,23,2.65,21.55
PUCKAPUNYAL LYON HILL (DEFENCE),12/03/2025,6.1,0.0, ,34.1,20.9,82,29,3.57,20.48
PUCKAPUNYAL LYON HILL (DEFENCE),13/03/2025,6.6,0.0, ,33.5,17.5,85,32,4.83,20.99
PUCKAPUNYAL LYON HILL (DEFENCE),14/03/2025,6.3,0.0, ,35.1,13.8,97,9,3.03,20.67
PUCKAPUNYAL LYON HILL (DEFENCE),15/03/2025,6.9,0.0, ,38.2,16.2,66,11,3.14,18.36
PUCKAPUNYAL LYON HILL (DEFENCE),16/03/2025,3.2,0.0, ,24.6,22.0,94,40,5.09,3.85
PUCKAPUNYAL LYON HILL (DEFENCE),17/03/2025,3.8,5.2, ,19.5,8.6,87,36,4.18,17.88
PUCKAPUNYAL LYON HILL (DEFENCE),18/03/2025,4.5,0.0, ,25.8,9.3,81,24,2.79,20.34
PUCKAPUNYAL LYON HILL (DEFENCE),19/03/2025,6.3,0.0, ,32.2,13.1,67,19,3.76,19.65
PUCKAPUNYAL LYON HILL (DEFENCE),20/03/2025,3.2,0.0, ,23.3,18.1,98,29,3.78,7.20
PUCKAPUNYAL LYON HILL (DEFENCE),21/03/2025,3.9,8.2, ,23.4,15.3,92,49,4.61,17.88
PUCKAPUNYAL LYON HILL (DEFENCE),22/03/2025,4.7,0.2, ,24.9,10.8,85,29,4.02,19.54
PUCKAPUNYAL LYON HILL (DEFENCE),23/03/2025,5.5,0.0, ,28.9,12.6,83,27,4.21,19.20
PUCKAPUNYAL LYON HILL (DEFENCE),24/03/2025,4.9,0.0, ,25.1,14.6,88,42,6.27,19.13
PUCKAPUNYAL LYON HILL (DEFENCE),25/03/2025,5.4,0.0, ,29.1,12.9,90,37,5.24,18.91
PUCKAPUNYAL LYON HILL (DEFENCE),26/03/2025,5.0,0.0, ,26.9,14.9,90,45,6.83,18.39
PUCKAPUNYAL LYON HILL (DEFENCE),27/03/2025,5.8,0.0, ,29.0,13.4,83,34,5.93,18.48
PUCKAPUNYAL LYON HILL (DEFENCE),28/03/2025,3.5,0.0, ,29.0,14.9,91,35,2.21,12.73
PUCKAPUNYAL LYON HILL (DEFENCE),29/03/2025,2.2,14.2, ,20.8,16.6,97,64,5.06,6.67
PUCKAPUNYAL LYON HILL (DEFENCE),30/03/2025,4.3,0.2, ,23.7,15.8,86,46,6.46,16.44
PUCKAPUNYAL LYON HILL (DEFENCE),31/03/2025,4.7,0.0, ,23.0,13.0,81,37,6.15,17.67
Totals:,,165.6,30.4, ,,,,,, 
