'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL LYON HILL (DEFENCE) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL LYON HILL (DEFENCE),01/04/2025,4.4,0.0, ,25.0,11.3,86,27,3.88,17.75
PUCKAPUNYAL LYON HILL (DEFENCE),02/04/2025,3.8,0.0, ,25.4,10.4,81,24,2.41,16.94
PUCKAPUNYAL LYON HILL (DEFENCE),03/04/2025,4.2,0.0, ,23.7,12.5,84,35,4.56,17.07
PUCKAPUNYAL LYON HILL (DEFENCE),04/04/2025,3.4,0.0, ,19.9,9.9,82,39,3.87,16.54
PUCKAPUNYAL LYON HILL (DEFENCE),05/04/2025,3.4,0.0, ,19.5,10.1,79,28,3.14,16.83
PUCKAPUNYAL LYON HILL (DEFENCE),06/04/2025,3.1,0.0, ,21.4,5.1,79,37,3.26,12.09
PUCKAPUNYAL LYON HILL (DEFENCE),07/04/2025,2.4,0.0, ,18.4,9.2,92,44,2.82,10.36
PUCKAPUNYAL LYON HILL (DEFENCE),08/04/2025,3.5,0.0, ,22.7,10.1,85,35,3.11,16.35
PUCKAPUNYAL LYON HILL (DEFENCE),09/04/2025,3.2,0.0, ,23.2,8.9,92,30,2.45,15.37
PUCKAPUNYAL LYON HILL (DEFENCE),10/04/2025,3.5,0.0, ,26.5,13.9,66,28,2.03,15.92
PUCKAPUNYAL LYON HILL (DEFENCE),11/04/2025,4.2,0.0, ,28.8,14.7,76,23,2.77,15.65
PUCKAPUNYAL LYON HILL (DEFENCE),12/04/2025,4.3,0.0, ,30.3,12.5,86,23,2.80,15.61
PUCKAPUNYAL LYON HILL (DEFENCE),13/04/2025,3.8,0.0, ,29.7,13.6,68,25,2.16,15.20
PUCKAPUNYAL LYON HILL (DEFENCE),14/04/2025,3.3,0.0, ,24.0,15.2,85,47,4.04,12.57
PUCKAPUNYAL LYON HILL (DEFENCE),15/04/2025,3.3,0.0, ,27.1,11.8,98,37,2.54,14.88
PUCKAPUNYAL LYON HILL (DEFENCE),16/04/2025,3.0,0.0, ,25.4,14.6,71,33,1.98,12.89
PUCKAPUNYAL LYON HILL (DEFENCE),17/04/2025,3.0,0.0, ,28.5,12.8,75,30,1.51,14.75
PUCKAPUNYAL LYON HILL (DEFENCE),18/04/2025,4.0,0.0, ,29.9,14.5,73,24,2.68,14.41
PUCKAPUNYAL LYON HILL (DEFENCE),19/04/2025,4.3,0.0, ,28.6,16.1,84,22,3.77,10.67
PUCKAPUNYAL LYON HILL (DEFENCE),20/04/2025,3.5,0.0, ,22.4,18.0,58,29,3.28,8.41
PUCKAPUNYAL LYON HILL (DEFENCE),21/04/2025,2.9,0.0, ,22.5,12.1,96,37,3.37,12.13
PUCKAPUNYAL LYON HILL (DEFENCE),22/04/2025,3.1,0.0, ,19.8,12.6,83,55,6.13,13.99
PUCKAPUNYAL LYON HILL (DEFENCE),23/04/2025,3.7,0.0, ,26.1,12.1,92,32,3.71,13.89
PUCKAPUNYAL LYON HILL (DEFENCE),24/04/2025,3.5,1.6, ,25.5,15.5,83,42,4.00,12.56
PUCKAPUNYAL LYON HILL (DEFENCE),25/04/2025,1.7,2.2, ,21.8,15.8,98,53,2.67,3.83
PUCKAPUNYAL LYON HILL (DEFENCE),26/04/2025,1.9,15.8, ,21.0,13.9,99,64,3.39,8.90
PUCKAPUNYAL LYON HILL (DEFENCE),27/04/2025,2.6,0.0, ,19.8,14.1,90,63,6.04,13.37
PUCKAPUNYAL LYON HILL (DEFENCE),28/04/2025,2.4,0.0, ,18.6,10.9,86,55,4.36,10.63
PUCKAPUNYAL LYON HILL (DEFENCE),29/04/2025,2.7,0.0, ,18.3,12.4,88,56,6.52,12.43
PUCKAPUNYAL LYON HILL (DEFENCE),30/04/2025,2.9,0.0, ,19.4,10.0,85,43,4.64,12.73
Totals:,,99,19.6, ,,,,,, 
