'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/11/2024,4.7,0.0, ,17.2,6.9,81,41,7.18,27.52
PUCKAPUNYAL WEST (DEFENCE),02/11/2024,6.1,0.0, ,24.8,6.1,85,18,4.48,24.88
PUCKAPUNYAL WEST (DEFENCE),03/11/2024,6.4,0.0, ,28.0,13.0,76,24,3.51,26.99
PUCKAPUNYAL WEST (DEFENCE),04/11/2024,4.9,0.0, ,21.9,9.1,84,38,4.44,24.08
PUCKAPUNYAL WEST (DEFENCE),05/11/2024,5.2,0.0, ,26.3,8.8,84,25,2.41,25.14
PUCKAPUNYAL WEST (DEFENCE),06/11/2024,7.4,0.0, ,33.1,13.8,82,22,5.01,20.09
PUCKAPUNYAL WEST (DEFENCE),07/11/2024,4.9,0.4, ,23.1,8.3,92,29,3.53,23.02
PUCKAPUNYAL WEST (DEFENCE),08/11/2024,3.4,2.2, ,18.6,5.7,93,44,3.04,18.26
PUCKAPUNYAL WEST (DEFENCE),09/11/2024,3.7,2.4, ,19.1,5.5,84,30,2.31,18.57
PUCKAPUNYAL WEST (DEFENCE),10/11/2024,5.4,0.0, ,22.3,8.6,86,36,4.58,27.96
PUCKAPUNYAL WEST (DEFENCE),11/11/2024,6.2,0.0, ,27.8,9.8,82,25,3.68,25.45
PUCKAPUNYAL WEST (DEFENCE),12/11/2024,4.7,0.0, ,27.6,13.7,85,36,3.27,16.79
PUCKAPUNYAL WEST (DEFENCE),13/11/2024,3.5,0.6, ,22.3,13.6,87,55,4.04,13.41
PUCKAPUNYAL WEST (DEFENCE),14/11/2024,5.9,0.0, ,20.4,9.3,77,36,7.67,29.50
PUCKAPUNYAL WEST (DEFENCE),15/11/2024,6.7,0.0, ,25.7,8.4,79,23,4.76,29.39
PUCKAPUNYAL WEST (DEFENCE),16/11/2024,7.8,0.0, ,32.7,10.5,76,20,4.04,27.85
PUCKAPUNYAL WEST (DEFENCE),17/11/2024,6.2,0.0, ,25.9,18.5,80,27,6.80,16.20
PUCKAPUNYAL WEST (DEFENCE),18/11/2024,5.3,0.0, ,22.3,9.0,82,33,4.77,23.61
PUCKAPUNYAL WEST (DEFENCE),19/11/2024,5.9,0.0, ,21.8,7.2,85,34,6.28,29.97
PUCKAPUNYAL WEST (DEFENCE),20/11/2024,7.2,0.0, ,25.7,8.5,83,27,7.12,28.49
PUCKAPUNYAL WEST (DEFENCE),21/11/2024,8.0,0.0, ,33.1,10.1,87,11,3.51,29.94
PUCKAPUNYAL WEST (DEFENCE),22/11/2024,6.7,0.0, ,35.9,15.5,73,15,2.18,24.67
PUCKAPUNYAL WEST (DEFENCE),23/11/2024,7.6,0.0, ,34.9,19.3,63,17,3.93,19.73
PUCKAPUNYAL WEST (DEFENCE),24/11/2024,2.0,1.4, ,20.8,17.8,99,63,2.56,6.69
PUCKAPUNYAL WEST (DEFENCE),25/11/2024,1.6,18.0, ,18.9,16.1,100,92,4.04,9.06
PUCKAPUNYAL WEST (DEFENCE),26/11/2024,4.4,3.8, ,29.8,15.5,98,51,1.80,19.89
PUCKAPUNYAL WEST (DEFENCE),27/11/2024,4.2,17.0, ,27.4,18.7,99,48,4.67,13.37
PUCKAPUNYAL WEST (DEFENCE),28/11/2024,5.7,10.8, ,28.2,13.5,96,37,3.40,25.20
PUCKAPUNYAL WEST (DEFENCE),29/11/2024,7.3,0.0, ,32.1,15.3,93,29,3.85,29.36
PUCKAPUNYAL WEST (DEFENCE),30/11/2024, ,26.4, ,23.4,17.2,98,74,2.75, 
Totals:,,159,83, ,,,,,, 
