'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/02/2025,8.6,0.0, ,36.4,13.6,84,17,4.09,28.34
PUCKAPUNYAL WEST (DEFENCE),02/02/2025,8.9,0.0, ,37.3,19.6,61,25,4.82,25.24
PUCKAPUNYAL WEST (DEFENCE),03/02/2025,8.0,0.0, ,35.9,20.9,63,20,4.05,22.74
PUCKAPUNYAL WEST (DEFENCE),04/02/2025,9.8,0.0, ,38.8,21.9,80,18,5.93,23.48
PUCKAPUNYAL WEST (DEFENCE),05/02/2025,7.7,0.0, ,28.0,14.6,84,32,8.50,27.54
PUCKAPUNYAL WEST (DEFENCE),06/02/2025,8.0,0.0, ,36.4,15.9,90,15,3.58,27.20
PUCKAPUNYAL WEST (DEFENCE),07/02/2025,8.7,0.0, ,35.1,20.9,78,31,6.49,25.23
PUCKAPUNYAL WEST (DEFENCE),08/02/2025,5.7,0.0, ,23.4,14.7,85,49,9.43,25.38
PUCKAPUNYAL WEST (DEFENCE),09/02/2025,7.2,0.0, ,30.3,15.8,79,27,6.07,21.21
PUCKAPUNYAL WEST (DEFENCE),10/02/2025,7.5,0.0, ,29.5,15.9,85,32,7.34,25.90
PUCKAPUNYAL WEST (DEFENCE),11/02/2025,7.4,0.0, ,33.4,15.8,90,25,4.12,26.61
PUCKAPUNYAL WEST (DEFENCE),12/02/2025,6.7,0.0, ,35.9,17.6,77,22,2.26,26.54
PUCKAPUNYAL WEST (DEFENCE),13/02/2025,6.5,0.0, ,33.1,21.6,68,31,4.46,16.66
PUCKAPUNYAL WEST (DEFENCE),14/02/2025,6.5,0.0, ,28.0,14.1,78,25,4.71,23.19
PUCKAPUNYAL WEST (DEFENCE),15/02/2025,4.9,0.0, ,19.9,9.4,81,30,6.03,19.48
PUCKAPUNYAL WEST (DEFENCE),16/02/2025,4.6,0.2, ,19.9,8.4,78,30,5.20,17.95
PUCKAPUNYAL WEST (DEFENCE),17/02/2025,5.9,0.2, ,25.2,8.4,80,21,3.87,25.66
PUCKAPUNYAL WEST (DEFENCE),18/02/2025,6.6,0.0, ,25.6,12.7,72,30,6.39,24.98
PUCKAPUNYAL WEST (DEFENCE),19/02/2025,5.2,0.0, ,21.3,12.1,78,45,8.04,22.71
PUCKAPUNYAL WEST (DEFENCE),20/02/2025,6.3,0.0, ,22.7,11.7,79,32,8.71,25.05
PUCKAPUNYAL WEST (DEFENCE),21/02/2025,6.7,0.0, ,31.0,10.8,78,23,3.85,24.71
PUCKAPUNYAL WEST (DEFENCE),22/02/2025,8.2,0.0, ,35.6,16.9,50,22,4.81,20.88
PUCKAPUNYAL WEST (DEFENCE),23/02/2025,8.7,0.6, ,33.6,21.4,72,11,5.98,20.94
PUCKAPUNYAL WEST (DEFENCE),24/02/2025,6.2,0.2, ,25.5,12.6,82,33,6.34,24.18
PUCKAPUNYAL WEST (DEFENCE),25/02/2025,8.1,0.0, ,32.0,12.4,83,16,5.79,24.00
PUCKAPUNYAL WEST (DEFENCE),26/02/2025,8.0,0.0, ,35.2,15.5,74,12,4.24,23.82
PUCKAPUNYAL WEST (DEFENCE),27/02/2025,8.2,0.0, ,34.8,15.0,86,9,4.66,23.30
PUCKAPUNYAL WEST (DEFENCE),28/02/2025,6.3,0.0, ,30.7,18.0,78,26,3.72,23.05
Totals:,,201.1,1.2, ,,,,,, 
