'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/03/2025,7.5,0.0, ,32.8,13.2,89,11,4.46,22.98
PUCKAPUNYAL WEST (DEFENCE),02/03/2025,4.9,0.0, ,23.4,14.5,80,48,8.37,16.46
PUCKAPUNYAL WEST (DEFENCE),03/03/2025,6.6,0.0, ,23.6,11.9,72,32,9.30,23.29
PUCKAPUNYAL WEST (DEFENCE),04/03/2025,6.4,0.0, ,32.1,12.6,81,22,3.59,23.07
PUCKAPUNYAL WEST (DEFENCE),05/03/2025,7.4,0.0, ,34.3,17.5,81,22,4.59,22.85
PUCKAPUNYAL WEST (DEFENCE),06/03/2025,5.4,0.0, ,25.4,16.1,86,51,8.38,22.17
PUCKAPUNYAL WEST (DEFENCE),07/03/2025,6.3,0.0, ,32.2,15.7,86,23,3.72,22.47
PUCKAPUNYAL WEST (DEFENCE),08/03/2025,5.5,0.0, ,31.6,16.2,74,16,2.28,22.27
PUCKAPUNYAL WEST (DEFENCE),09/03/2025,6.0,0.0, ,33.0,18.4,75,27,3.38,20.29
PUCKAPUNYAL WEST (DEFENCE),10/03/2025,5.0,0.0, ,32.2,17.6,90,32,2.34,20.25
PUCKAPUNYAL WEST (DEFENCE),11/03/2025,5.9,0.8, ,35.3,18.4,75,25,2.74,20.95
PUCKAPUNYAL WEST (DEFENCE),12/03/2025,5.5,0.0, ,33.5,19.5,85,29,3.17,18.66
PUCKAPUNYAL WEST (DEFENCE),13/03/2025,6.6,0.0, ,33.6,16.2,89,35,5.07,21.17
PUCKAPUNYAL WEST (DEFENCE),14/03/2025, ,0.0, , ,11.9,93,9,3.30,20.74
PUCKAPUNYAL WEST (DEFENCE),15/03/2025,6.6, , ,37.3,18.2,44,10,2.90,17.91
PUCKAPUNYAL WEST (DEFENCE),16/03/2025,3.2,0.0, ,23.9,22.4,92,46,5.68,4.68
PUCKAPUNYAL WEST (DEFENCE),17/03/2025,4.0,7.2, ,19.4,9.1,74,38,4.81,16.36
PUCKAPUNYAL WEST (DEFENCE),18/03/2025,4.7,0.0, ,25.4,9.9,77,26,3.23,20.08
PUCKAPUNYAL WEST (DEFENCE),19/03/2025,5.7,0.0, ,31.4,12.8,61,21,3.16,19.28
PUCKAPUNYAL WEST (DEFENCE),20/03/2025,2.3,0.0, ,21.9,16.6,95,31,2.01,5.39
PUCKAPUNYAL WEST (DEFENCE),21/03/2025,3.4,10.0, ,21.6,14.6,92,57,4.87,17.19
PUCKAPUNYAL WEST (DEFENCE),22/03/2025,4.7,0.0, ,23.7,10.8,83,36,5.14,19.52
PUCKAPUNYAL WEST (DEFENCE),23/03/2025,5.6,0.0, ,27.7,12.9,84,28,5.12,19.29
PUCKAPUNYAL WEST (DEFENCE),24/03/2025,4.4,0.0, ,22.8,13.6,91,47,7.25,19.18
PUCKAPUNYAL WEST (DEFENCE),25/03/2025,5.1,0.0, ,27.3,12.6,91,42,5.93,18.95
PUCKAPUNYAL WEST (DEFENCE),26/03/2025,4.7,0.0, ,25.4,14.3,93,48,7.42,18.41
PUCKAPUNYAL WEST (DEFENCE),27/03/2025,5.5,0.0, ,26.6,12.5,83,37,6.86,18.55
PUCKAPUNYAL WEST (DEFENCE),28/03/2025,3.1,0.0, ,27.7,14.6,83,40,1.93,11.71
PUCKAPUNYAL WEST (DEFENCE),29/03/2025,2.4,8.6, ,19.8,15.9,95,59,6.45,4.63
PUCKAPUNYAL WEST (DEFENCE),30/03/2025,4.3,0.0, ,21.9,14.5,87,52,10.12,16.47
PUCKAPUNYAL WEST (DEFENCE),31/03/2025,4.9,0.0, ,20.9,12.3,82,39,9.69,17.80
Totals:,,153.6,26.6, ,,,,,, 
