'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PUCKAPUNYAL WEST (DEFENCE) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PUCKAPUNYAL WEST (DEFENCE),01/04/2025,4.6,0.0, ,23.9,10.8,85,33,5.22,17.70
PUCKAPUNYAL WEST (DEFENCE),02/04/2025,3.8,0.0, ,25.6,9.9,79,24,2.45,16.82
PUCKAPUNYAL WEST (DEFENCE),03/04/2025,4.3,0.0, ,23.0,13.0,81,37,5.06,16.39
PUCKAPUNYAL WEST (DEFENCE),04/04/2025,3.5,0.0, ,19.3,9.6,76,38,4.00,16.66
PUCKAPUNYAL WEST (DEFENCE),05/04/2025,3.5,0.0, ,19.4,8.6,80,28,3.51,16.87
PUCKAPUNYAL WEST (DEFENCE),06/04/2025,2.9,0.0, ,20.9,5.1,78,37,2.88,11.75
PUCKAPUNYAL WEST (DEFENCE),07/04/2025,2.3,0.0, ,17.9,8.2,92,47,3.19,9.68
PUCKAPUNYAL WEST (DEFENCE),08/04/2025,3.3,0.0, ,21.1,7.9,85,37,3.38,16.38
PUCKAPUNYAL WEST (DEFENCE),09/04/2025,3.4,0.0, ,23.1,10.7,81,30,2.73,15.72
PUCKAPUNYAL WEST (DEFENCE),10/04/2025,3.0,0.0, ,25.8,12.7,66,29,1.42,16.01
PUCKAPUNYAL WEST (DEFENCE),11/04/2025,4.3,0.0, ,28.4,13.5,76,25,3.03,15.85
PUCKAPUNYAL WEST (DEFENCE),12/04/2025,4.0,0.0, ,29.9,12.4,87,23,2.46,15.67
PUCKAPUNYAL WEST (DEFENCE),13/04/2025,3.4,0.0, ,29.6,14.7,60,23,1.63,15.24
PUCKAPUNYAL WEST (DEFENCE),14/04/2025,3.3,0.0, ,22.6,15.2,85,46,4.54,12.48
PUCKAPUNYAL WEST (DEFENCE),15/04/2025,3.2,0.0, ,26.8,12.4,88,38,2.23,15.00
PUCKAPUNYAL WEST (DEFENCE),16/04/2025,2.4,0.0, ,23.6,12.5,69,37,1.51,11.65
PUCKAPUNYAL WEST (DEFENCE),17/04/2025,2.7,0.0, ,28.5,13.3,70,29,1.14,14.81
PUCKAPUNYAL WEST (DEFENCE),18/04/2025,3.7,0.0, ,29.8,15.0,68,25,2.24,14.46
PUCKAPUNYAL WEST (DEFENCE),19/04/2025,3.7,0.0, ,28.0,15.8,71,21,2.70,10.85
PUCKAPUNYAL WEST (DEFENCE),20/04/2025,2.5,0.2, ,20.7,15.3,75,36,2.44,7.56
PUCKAPUNYAL WEST (DEFENCE),21/04/2025,3.4,1.2, ,21.8,9.8,98,37,5.38,11.39
PUCKAPUNYAL WEST (DEFENCE),22/04/2025,3.0,0.0, ,18.6,11.4,87,58,8.63,13.93
PUCKAPUNYAL WEST (DEFENCE),23/04/2025,3.9,0.0, ,25.3,11.7,87,32,4.26,13.94
PUCKAPUNYAL WEST (DEFENCE),24/04/2025,3.0,0.0, ,25.3,14.4,78,40,2.58,12.85
PUCKAPUNYAL WEST (DEFENCE),25/04/2025,1.4,1.0, ,19.3,14.7,98,56,1.16,6.39
PUCKAPUNYAL WEST (DEFENCE),26/04/2025,1.9,19.6, ,20.0,12.9,99,65,3.90,9.29
PUCKAPUNYAL WEST (DEFENCE),27/04/2025,2.6,0.0, ,18.8,13.3,90,65,7.63,13.24
PUCKAPUNYAL WEST (DEFENCE),28/04/2025,2.6,0.0, ,18.0,11.3,87,55,6.06,10.78
PUCKAPUNYAL WEST (DEFENCE),29/04/2025,2.8,0.0, ,17.4,12.1,90,56,8.56,12.53
PUCKAPUNYAL WEST (DEFENCE),30/04/2025,3.0,0.0, ,17.2,10.6,86,49,7.68,12.96
Totals:,,95.4,22, ,,,,,, 
