'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/09/2024,0.7,4.0, ,10.1,6.0,100,94,5.09,4.90
PYRENEES (BEN NEVIS),02/09/2024,1.4,7.2, ,6.5,0.2,100,68,10.76,13.10
PYRENEES (BEN NEVIS),03/09/2024,1.8,0.8, ,11.7,2.5,100,68,5.26,15.64
PYRENEES (BEN NEVIS),04/09/2024,3.5,0.0, ,15.0,4.5,84,32,7.20,12.93
PYRENEES (BEN NEVIS),05/09/2024,3.2,2.0, ,17.7,8.3,100,33,7.27,4.42
PYRENEES (BEN NEVIS),06/09/2024,2.5,4.0, ,15.0,8.0,100,38,6.27,4.89
PYRENEES (BEN NEVIS),07/09/2024,1.5,0.6, ,11.9,4.0,100,74,3.54,11.62
PYRENEES (BEN NEVIS),08/09/2024,0.8,0.6, ,10.5,4.5,100,95,3.74,7.32
PYRENEES (BEN NEVIS),09/09/2024,1.6,2.2, ,12.6,4.3,100,74,4.74,11.80
PYRENEES (BEN NEVIS),10/09/2024,1.9,0.0, ,12.5,3.9,100,70,3.37,16.36
PYRENEES (BEN NEVIS),11/09/2024,1.8,0.0, ,13.8,5.6,100,69,6.29,11.66
PYRENEES (BEN NEVIS),12/09/2024,1.6,1.0, ,8.9,1.8,100,72,7.45,16.91
PYRENEES (BEN NEVIS),13/09/2024,1.5,0.0, ,10.5,3.8,100,77,6.52,14.63
PYRENEES (BEN NEVIS),14/09/2024,1.5,1.4, ,5.3,2.6,100,65,7.47,13.45
PYRENEES (BEN NEVIS),15/09/2024,1.6,0.6, ,8.0,0.4,98,69,6.28,15.12
PYRENEES (BEN NEVIS),16/09/2024,1.0,0.0, ,7.7,0.8,100,86,8.31,10.32
PYRENEES (BEN NEVIS),17/09/2024,2.3,0.8, ,12.1,1.4,100,57,3.61,18.84
PYRENEES (BEN NEVIS),18/09/2024,2.9,0.0, ,14.4,2.3,93,44,4.39,19.23
PYRENEES (BEN NEVIS),19/09/2024,1.5,0.4, ,9.9,4.3,100,72,6.00,11.82
PYRENEES (BEN NEVIS),20/09/2024,1.1,1.2, ,9.6,3.4,100,90,4.39,10.12
PYRENEES (BEN NEVIS),21/09/2024,1.5,0.8, ,11.4,4.2,100,75,4.88,11.49
PYRENEES (BEN NEVIS),22/09/2024,1.8,0.4, ,13.3,5.2,100,73,3.72,12.59
PYRENEES (BEN NEVIS),23/09/2024,1.1,0.6, ,12.7,5.9,100,94,2.97,8.83
PYRENEES (BEN NEVIS),24/09/2024,3.3,0.0, ,19.5,6.8,95,43,3.84,16.13
PYRENEES (BEN NEVIS),25/09/2024,1.6,1.6, ,8.9,8.2,100,64,6.76,9.53
PYRENEES (BEN NEVIS),26/09/2024,2.1,0.8, ,10.4,1.1,96,66,6.38,19.20
PYRENEES (BEN NEVIS),27/09/2024,3.5,0.0, ,15.7,2.0,89,32,4.01,21.16
PYRENEES (BEN NEVIS),28/09/2024,4.6,0.0, ,16.7,7.5,66,39,8.75,19.91
PYRENEES (BEN NEVIS),29/09/2024,2.3,4.0, ,13.6,6.7,100,57,5.69,12.86
PYRENEES (BEN NEVIS),30/09/2024,2.8,2.0, ,15.2,4.1,100,57,4.25,19.74
Totals:,,60.3,37, ,,,,,, 
