'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/11/2024,3.9,0.2, ,14.3,2.9,89,45,5.92,27.52
PYRENEES (BEN NEVIS),02/11/2024,5.6,0.0, ,20.6,5.3,73,22,5.72,23.12
PYRENEES (BEN NEVIS),03/11/2024,5.7,0.0, ,20.0,9.9,100,20,6.63,27.77
PYRENEES (BEN NEVIS),04/11/2024,3.8,0.0, ,17.3,5.6,93,47,5.18,22.10
PYRENEES (BEN NEVIS),05/11/2024,5.0,0.0, ,22.9,7.9,81,31,2.78,25.42
PYRENEES (BEN NEVIS),06/11/2024,7.3,0.0, ,28.2,13.4,95,28,8.51,22.46
PYRENEES (BEN NEVIS),07/11/2024,4.2,0.0, ,19.5,5.7,100,38,3.68,22.96
PYRENEES (BEN NEVIS),08/11/2024,3.5,1.8, ,15.6,4.8,100,43,5.31,20.15
PYRENEES (BEN NEVIS),09/11/2024,3.2,0.0, ,14.5,4.0,93,41,3.91,17.72
PYRENEES (BEN NEVIS),10/11/2024,4.6,0.0, ,19.3,6.0,100,37,3.65,27.25
PYRENEES (BEN NEVIS),11/11/2024,5.3,0.0, ,24.2,10.0,66,30,3.63,21.75
PYRENEES (BEN NEVIS),12/11/2024,4.1,0.0, ,24.0,14.4,91,35,4.11,12.31
PYRENEES (BEN NEVIS),13/11/2024,3.3,2.8, ,16.7,10.1,100,56,7.02,18.84
PYRENEES (BEN NEVIS),14/11/2024,4.4,0.4, ,16.3,3.8,96,42,5.65,29.51
PYRENEES (BEN NEVIS),15/11/2024,5.5,0.0, ,22.1,5.2,94,22,3.24,29.49
PYRENEES (BEN NEVIS),16/11/2024,9.2,0.0, ,29.1,10.2,36,11,6.40,27.58
PYRENEES (BEN NEVIS),17/11/2024,4.8,0.0, ,17.2,14.8,100,15,6.64,19.13
PYRENEES (BEN NEVIS),18/11/2024,3.7,1.4, ,16.9,5.3,100,50,7.82,20.18
PYRENEES (BEN NEVIS),19/11/2024,4.5,0.0, ,17.2,4.0,96,42,4.95,30.11
PYRENEES (BEN NEVIS),20/11/2024,5.1,0.0, ,22.7,5.3,88,34,2.76,28.05
PYRENEES (BEN NEVIS),21/11/2024,6.5,0.0, ,28.8,11.5,51,13,2.31,29.70
PYRENEES (BEN NEVIS),22/11/2024,8.1,0.0, ,32.6,18.9,39,19,3.89,26.08
PYRENEES (BEN NEVIS),23/11/2024,5.7,0.0, ,31.1,23.1,100,23,5.40,12.53
PYRENEES (BEN NEVIS),24/11/2024,2.3,9.6, ,19.9,14.5,100,78,3.91,11.75
PYRENEES (BEN NEVIS),25/11/2024,2.6,0.0, ,19.8,13.5,100,72,3.31,13.17
PYRENEES (BEN NEVIS),26/11/2024,5.0,0.0, ,25.7,13.5,100,49,3.27,24.65
PYRENEES (BEN NEVIS),27/11/2024,2.6,20.4, ,17.8,15.4,100,70,5.06,13.81
PYRENEES (BEN NEVIS),28/11/2024, ,0.8, , ,9.3,100,47,3.55,23.40
PYRENEES (BEN NEVIS),29/11/2024, , , , , ,83,19,2.37,27.36
PYRENEES (BEN NEVIS),30/11/2024, , , ,17.2, ,99,51,0.00, 
Totals:,,129.5,37.4, ,,,,,, 
