'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PYRENEES (BEN NEVIS) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PYRENEES (BEN NEVIS),01/03/2025,5.7,0.0, ,26.0,12.3,86,26,4.27,23.61
PYRENEES (BEN NEVIS),02/03/2025,3.4,0.0, ,19.1,9.8,99,51,5.70,16.03
PYRENEES (BEN NEVIS),03/03/2025,5.4,0.0, ,21.4,7.4,86,13,4.78,23.36
PYRENEES (BEN NEVIS),04/03/2025,7.2,0.0, ,28.9,12.2,46,11,4.55,23.11
PYRENEES (BEN NEVIS),05/03/2025,6.8,0.0, ,31.0,15.9,96,25,5.53,22.89
PYRENEES (BEN NEVIS),06/03/2025,4.1,0.0, ,23.8,11.0,98,44,4.18,18.13
PYRENEES (BEN NEVIS),07/03/2025,6.2,0.0, ,29.0,12.3,80,32,5.24,22.43
PYRENEES (BEN NEVIS),08/03/2025,6.2,0.0, ,27.8,16.3,67,28,4.60,22.31
PYRENEES (BEN NEVIS),09/03/2025,6.2,0.0, ,31.3,16.9,97,32,6.57,16.15
PYRENEES (BEN NEVIS),10/03/2025,5.0,14.4, ,27.8,15.6,95,40,4.37,20.17
PYRENEES (BEN NEVIS),11/03/2025,5.4,6.6, ,29.0,16.2,77,37,4.42,18.37
PYRENEES (BEN NEVIS),12/03/2025,5.7,0.2, ,30.0,19.5,71,37,4.56,18.76
PYRENEES (BEN NEVIS),13/03/2025,4.7,0.0, ,26.6,15.7,76,31,2.53,21.35
PYRENEES (BEN NEVIS),14/03/2025,5.9,0.0, ,29.2,16.2,50,12,3.11,21.16
PYRENEES (BEN NEVIS),15/03/2025,6.8,0.0, ,33.3,18.6,58,16,4.31,16.47
PYRENEES (BEN NEVIS),16/03/2025,3.1,3.6, ,16.3,16.3,99,37,8.14,7.83
PYRENEES (BEN NEVIS),17/03/2025,3.0,1.4, ,14.7,4.2,99,45,4.81,19.10
PYRENEES (BEN NEVIS),18/03/2025,3.9,0.0, ,21.0,6.1,89,36,3.66,20.30
PYRENEES (BEN NEVIS),19/03/2025,6.0,0.0, ,27.1,9.7,45,21,4.47,20.02
PYRENEES (BEN NEVIS),20/03/2025,3.6,0.0, ,19.9,17.7,99,21,6.40,4.29
PYRENEES (BEN NEVIS),21/03/2025,2.3,18.8, ,15.4,9.7,99,64,3.57,15.45
PYRENEES (BEN NEVIS),22/03/2025,3.7,0.2, ,18.1,9.7,80,41,4.34,19.55
PYRENEES (BEN NEVIS),23/03/2025,3.5,0.0, ,21.4,10.6,82,47,3.19,17.82
PYRENEES (BEN NEVIS),24/03/2025,3.4,0.0, ,18.5,9.9,94,40,3.89,18.93
PYRENEES (BEN NEVIS),25/03/2025,4.9,0.0, ,24.6,11.7,61,26,3.86,18.85
PYRENEES (BEN NEVIS),26/03/2025,4.3,0.0, ,23.0,16.5,71,26,3.15,18.33
PYRENEES (BEN NEVIS),27/03/2025,5.4,0.0, ,23.0,13.4,47,25,4.86,18.47
PYRENEES (BEN NEVIS),28/03/2025,3.8,0.0, ,23.4,16.3,67,42,3.51,13.38
PYRENEES (BEN NEVIS),29/03/2025,2.8,0.0, ,18.9,15.4,99,57,6.04,12.87
PYRENEES (BEN NEVIS),30/03/2025,2.5,0.2, ,16.7,8.9,99,64,7.31,14.74
PYRENEES (BEN NEVIS),31/03/2025,2.7,0.0, ,14.8,8.6,94,59,8.47,16.82
Totals:,,143.6,45.4, ,,,,,, 
