'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/09/2024,2.6,0.0, ,17.6,9.9,86,56,5.63,9.67
REDESDALE,02/09/2024,2.1,2.2, ,12.9,4.7,95,50,4.54,12.27
REDESDALE,03/09/2024,1.7,1.4, ,15.6,0.4,100,53,0.74,15.05
REDESDALE,04/09/2024,2.4,0.0, ,17.4,0.1,100,48,2.66,15.78
REDESDALE,05/09/2024,1.6,2.2, ,18.5,8.7,90,59,1.68,6.70
REDESDALE,06/09/2024,2.8,0.6, ,24.6,11.7,90,40,2.19,11.91
REDESDALE,07/09/2024,2.3,0.4, ,17.2,1.9,100,45,1.75,16.99
REDESDALE,08/09/2024,2.0,0.2, ,16.4,3.9,100,61,3.11,12.68
REDESDALE,09/09/2024,2.1,0.0, ,17.9,7.8,94,54,1.62,14.03
REDESDALE,10/09/2024,2.2,0.0, ,17.5,0.8,99,54,1.54,16.92
REDESDALE,11/09/2024,2.6,0.0, ,19.6,4.0,98,55,3.62,14.80
REDESDALE,12/09/2024,2.9,2.6, ,15.2,5.8,89,50,5.26,18.45
REDESDALE,13/09/2024, ,0.2, , ,3.0,98,55,1.53,18.45
REDESDALE,14/09/2024,2.4, , ,14.9,2.5,98,50,3.92,14.25
REDESDALE,15/09/2024,2.5,0.4, ,14.0,2.7,93,48,3.35,18.05
REDESDALE,16/09/2024,2.2,0.2, ,16.0,0.2,94,55,2.26,15.71
REDESDALE,17/09/2024,2.8,0.0, ,17.2,7.0,88,37,1.94,18.82
REDESDALE,18/09/2024,3.3,0.0, ,19.4,-2.0,95,24,2.28,19.59
REDESDALE,19/09/2024,2.4,0.0, ,16.6,5.3,98,42,2.08,14.21
REDESDALE,20/09/2024,2.1,0.0, ,16.4,2.9,100,58,2.77,12.40
REDESDALE,21/09/2024,2.6,3.2, ,17.0,6.6,97,47,2.77,14.82
REDESDALE,22/09/2024,2.7,0.0, ,19.0,7.6,95,52,2.57,15.54
REDESDALE,23/09/2024,2.1,0.0, ,17.7,6.3,100,59,1.88,12.26
REDESDALE,24/09/2024,3.2,0.0, ,22.8,5.8,98,32,1.82,16.83
REDESDALE,25/09/2024,2.2,0.0, ,16.8,11.5,87,59,3.03,9.65
REDESDALE,26/09/2024,3.3,0.0, ,15.1,5.4,88,46,5.74,20.88
REDESDALE,27/09/2024, ,0.0, , ,1.6,93,37,1.49,21.29
REDESDALE,28/09/2024,3.6,0.0, ,20.4,1.1,94,38,3.15,21.00
REDESDALE,29/09/2024, ,1.6, , ,10.1,99,71,1.91,5.70
REDESDALE,30/09/2024, ,13.2, ,19.6, ,100,47,1.53,19.80
Totals:,,64.7,28.4, ,,,,,, 
