'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/10/2024,2.8,0.2, ,19.9,2.8,100,48,2.30,16.42
REDESDALE,02/10/2024,3.3,0.0, ,21.0,2.6,97,48,2.05,22.20
REDESDALE,03/10/2024,4.3,0.0, ,24.0,5.9,95,38,3.24,21.92
REDESDALE,04/10/2024, ,3.4, , ,11.9,93,54,3.27,13.71
REDESDALE,05/10/2024,2.1, , ,17.8,4.6,100,57,2.19,11.14
REDESDALE,06/10/2024,3.2,6.6, ,19.9,9.7,93,47,2.58,18.04
REDESDALE,07/10/2024,2.8,0.0, ,20.0,10.2,90,59,3.78,12.98
REDESDALE,08/10/2024,3.0,0.0, ,16.2,1.9,92,44,2.90,19.08
REDESDALE,09/10/2024, ,0.0, , ,-0.6,95,37,1.77,23.57
REDESDALE,10/10/2024, ,0.0, ,23.6, ,93,33,2.41,23.75
REDESDALE,11/10/2024, ,0.0, , ,4.6,100,47,3.71,23.16
REDESDALE,12/10/2024, ,0.0, , , ,100,29,2.64,24.14
REDESDALE,13/10/2024,4.2,0.0, ,23.1,3.0,94,28,2.46,22.47
REDESDALE,14/10/2024, ,0.0, , ,11.1,91,47,3.01,24.29
REDESDALE,15/10/2024, ,0.0, ,25.1, ,100,45,2.15,19.68
REDESDALE,16/10/2024,3.4,2.2, ,22.8,14.0,93,56,2.48,17.69
REDESDALE,17/10/2024,3.4,0.0, ,24.6,9.9,99,53,2.95,15.16
REDESDALE,18/10/2024,2.6,24.8, ,23.5,16.2,100,68,3.87,10.73
REDESDALE,19/10/2024, ,5.6, , ,11.6,88,49,3.73,24.56
REDESDALE,20/10/2024, ,0.2, , ,8.4,100,28,4.15,25.42
REDESDALE,21/10/2024,4.7,0.0, ,25.8,7.2,100,30,2.09,25.71
REDESDALE,22/10/2024,5.0,0.0, ,29.3,9.4,93,31,2.45,21.86
REDESDALE,23/10/2024,4.4,0.0, ,23.0,11.1,93,22,2.19,22.02
REDESDALE,24/10/2024,3.8,0.0, ,18.7,4.8,93,39,2.65,23.97
REDESDALE,25/10/2024, ,0.0, , ,3.9,100,38,2.77,25.29
REDESDALE,26/10/2024,3.8, , ,21.0,0.2,97,18,1.23,24.64
REDESDALE,27/10/2024,5.3,0.0, ,28.6,7.6,100,22,2.42,23.59
REDESDALE,28/10/2024,4.6, , ,21.4,7.2,100,38,3.38,26.98
REDESDALE,29/10/2024,4.7,0.0, ,24.4,5.2,96,35,2.20,27.19
REDESDALE,30/10/2024,4.9,0.0, ,25.5,5.2,98,27,1.93,27.35
REDESDALE,31/10/2024, ,0.0, , ,7.2,95,42,2.98,21.98
Totals:,,76.3,43, ,,,,,, 
