'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDESDALE Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDESDALE,01/02/2025, ,0.0, , ,12.2,83,21,2.54,27.83
REDESDALE,02/02/2025, , , , , ,100,11,5.01,24.49
REDESDALE,03/02/2025, , , , , ,87,23,3.79,23.11
REDESDALE,04/02/2025, ,0.0, , , ,100,20,2.99,25.30
REDESDALE,05/02/2025, ,0.0, , , ,100,27,4.62,27.27
REDESDALE,06/02/2025, , , , , ,93,16,2.39,27.11
REDESDALE,07/02/2025, , , , , ,100,12,4.21,25.24
REDESDALE,08/02/2025, , , , , ,100,35,6.01,26.25
REDESDALE,09/02/2025, ,0.0, , , ,85,20,4.62,19.86
REDESDALE,10/02/2025,7.3, , ,31.7,16.3,85,32,5.78,24.09
REDESDALE,11/02/2025, ,0.0, , ,15.6,100,24,2.90,26.20
REDESDALE,12/02/2025,6.1,0.0, ,36.1,15.3,90,24,1.72,26.02
REDESDALE,13/02/2025,6.4,0.0, ,33.8,20.8,61,27,3.82,15.71
REDESDALE,14/02/2025,5.8,0.0, ,28.6,11.2,85,17,2.98,22.61
REDESDALE,15/02/2025,4.7,0.0, ,20.3,8.1,89,29,4.23,22.63
REDESDALE,16/02/2025,4.4,1.0, ,21.5,4.6,88,31,3.35,22.05
REDESDALE,17/02/2025,4.7,0.0, ,27.4,4.5,93,21,1.57,25.14
REDESDALE,18/02/2025,6.2,0.0, ,28.2,10.5,80,22,3.85,24.03
REDESDALE,19/02/2025,5.4,0.0, ,23.8,9.8,77,36,4.88,24.49
REDESDALE,20/02/2025,6.2,0.0, ,25.5,11.2,78,28,5.45,24.46
REDESDALE,21/02/2025,6.0,0.0, ,32.2,9.7,80,27,2.90,23.82
REDESDALE,22/02/2025,8.5,0.0, ,36.4,16.9,55,11,4.45,21.11
REDESDALE,23/02/2025,7.7,0.4, ,34.7,22.6,63,13,4.07,21.24
REDESDALE,24/02/2025, ,0.0, , ,11.0,83,17,3.53,23.82
REDESDALE,25/02/2025, ,0.0, ,33.0, ,95,16,2.23,23.42
REDESDALE,26/02/2025,6.4,0.0, ,36.5,13.6,80,13,2.36,23.14
REDESDALE,27/02/2025,6.1,0.0, ,34.7,12.8,89,12,2.39,23.12
REDESDALE,28/02/2025,5.0,0.0, ,31.5,15.6,77,24,1.76,22.28
Totals:,,96.9,1.4, ,,,,,, 
