'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/09/2024,2.8,0.2, ,17.3,12.3,86,56,8.78,5.75
RHYLL,02/09/2024,2.6,9.0, ,13.7,6.9,87,51,7.14,11.15
RHYLL,03/09/2024, ,14.2, , ,7.0,100,53,1.96,12.07
RHYLL,04/09/2024, ,0.0, ,18.6, ,84,52,5.95,11.54
RHYLL,05/09/2024,3.6,0.4, ,19.6,12.6,85,43,8.32,5.64
RHYLL,06/09/2024,2.1,3.0, ,18.9,13.2,91,46,3.14,5.22
RHYLL,07/09/2024,2.4,5.4, ,17.7,9.8,92,48,2.17,15.99
RHYLL,08/09/2024,2.3,0.4, ,16.7,11.1,89,60,4.43,10.11
RHYLL,09/09/2024,2.1,1.8, ,15.6,10.9,88,62,2.71,12.66
RHYLL,10/09/2024, ,0.0, , ,10.6,93,56,2.11,17.14
RHYLL,11/09/2024,2.5,0.2, ,19.5,10.2,92,55,3.83,11.63
RHYLL,12/09/2024,2.7,0.0, ,15.6,10.1,87,54,3.87,16.76
RHYLL,13/09/2024,1.6,0.2, ,15.7,10.2,93,69,2.14,9.03
RHYLL,14/09/2024,2.2,7.4, ,12.9,8.5,92,58,6.35,11.04
RHYLL,15/09/2024,2.8,1.4, ,13.9,6.4,77,48,4.35,17.09
RHYLL,16/09/2024,2.1,2.2, ,14.1,9.5,93,59,4.04,10.96
RHYLL,17/09/2024, ,4.2, , ,9.7,100,56,2.50,12.81
RHYLL,18/09/2024,3.2,0.0, ,18.6,9.3,92,46,4.83,15.25
RHYLL,19/09/2024,2.4,2.8, ,14.8,9.5,92,57,3.54,15.35
RHYLL,20/09/2024,2.1,4.6, ,15.6,9.4,89,63,3.12,12.12
RHYLL,21/09/2024,2.4,10.4, ,15.5,9.5,89,58,3.05,14.46
RHYLL,22/09/2024,2.9,0.0, ,17.9,11.5,80,54,2.97,15.63
RHYLL,23/09/2024,2.0,0.0, ,17.2,12.5,94,65,2.70,10.36
RHYLL,24/09/2024,2.8,0.8, ,21.6,11.3,94,49,2.20,14.62
RHYLL,25/09/2024,1.8,3.2, ,13.6,10.6,94,61,4.40,6.79
RHYLL,26/09/2024,2.9,2.6, ,14.7,9.6,77,50,4.63,13.16
RHYLL,27/09/2024,2.9,0.0, ,16.1,8.0,87,53,2.56,20.10
RHYLL,28/09/2024,3.7,0.0, ,21.1,7.9,86,46,3.70,20.35
RHYLL,29/09/2024,2.3,0.0, ,15.9,13.1,90,59,5.45,6.96
RHYLL,30/09/2024,3.0,5.4, ,17.8,10.1,89,55,2.39,19.08
Totals:,,66.2,79.8, ,,,,,, 
