'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/11/2024, ,0.2, ,17.7, ,100,46,3.41,20.84
RHYLL,02/11/2024,5.4,0.2, ,23.9,9.9,80,34,4.53,23.64
RHYLL,03/11/2024,5.4,0.0, ,19.1,12.9,82,27,6.35,24.73
RHYLL,04/11/2024,3.9,0.0, ,18.5,12.4,81,53,2.36,23.28
RHYLL,05/11/2024,4.7,0.0, ,22.2,10.6,91,47,3.05,28.00
RHYLL,06/11/2024,5.9,0.0, ,30.2,15.7,83,38,4.91,18.11
RHYLL,07/11/2024,4.3,0.0, ,20.1,11.9,84,51,2.99,24.75
RHYLL,08/11/2024,4.1,0.0, ,17.6,12.4,88,50,4.34,24.17
RHYLL,09/11/2024,3.4,0.8, ,18.1,10.8,83,46,2.18,18.19
RHYLL,10/11/2024,4.2,0.8, ,20.5,11.4,91,55,3.20,25.39
RHYLL,11/11/2024,4.7,0.0, ,21.4,11.0,85,56,4.03,28.06
RHYLL,12/11/2024,4.5,0.0, ,24.5,13.5,92,56,3.80,23.48
RHYLL,13/11/2024,2.9,7.2, ,18.2,16.4,92,61,3.38,13.42
RHYLL,14/11/2024,4.0,3.4, ,18.4,12.1,69,49,3.21,20.79
RHYLL,15/11/2024,4.8,0.0, ,20.0,12.7,82,50,4.07,27.56
RHYLL,16/11/2024,7.1,0.0, ,29.9,13.4,89,33,4.99,28.76
RHYLL,17/11/2024, ,0.0, , ,18.4,89,48,3.97,13.12
RHYLL,18/11/2024,3.7,7.6, ,17.5,10.9,100,60,4.46,25.54
RHYLL,19/11/2024,3.7,1.4, ,17.6,12.3,69,53,2.73,19.63
RHYLL,20/11/2024,4.3,0.0, ,19.0,12.3,82,55,3.66,25.33
RHYLL,21/11/2024, ,0.0, , ,12.5,88,60,3.30,30.18
RHYLL,22/11/2024, , , , , , , , ,28.92
RHYLL,23/11/2024, , , ,33.8, ,89,31,3.35,21.59
RHYLL,24/11/2024,2.3,16.8, ,23.7,18.3,95,78,2.18,10.44
RHYLL,25/11/2024,1.5,0.4, ,19.2,16.2,96,89,3.54,6.71
RHYLL,26/11/2024,4.1,0.0, ,24.1,16.9,95,72,2.46,22.79
RHYLL,27/11/2024,3.7,11.6, ,28.3,18.0,95,64,4.08,14.43
RHYLL,28/11/2024,4.7,6.4, ,23.2,14.9,89,64,4.76,26.36
RHYLL,29/11/2024,5.8,0.2, ,27.0,17.2,88,65,8.06,29.67
RHYLL,30/11/2024, ,0.0, ,21.3,18.9,95,84,6.28, 
Totals:,,103.1,57, ,,,,,, 
