'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/02/2025,6.1,0.0, ,28.8,16.5,83,51,3.96,28.74
RHYLL,02/02/2025,7.9,0.0, ,36.7,20.3,87,32,4.95,23.61
RHYLL,03/02/2025,5.8,14.2, ,32.8,21.1,80,36,4.05,15.80
RHYLL,04/02/2025,7.1, , ,35.9,22.0,84,30,3.85,22.05
RHYLL,05/02/2025,5.7,0.0, ,24.5,15.9,84,49,6.08,26.91
RHYLL,06/02/2025, ,0.0, , ,17.7,100,48,4.15,27.42
RHYLL,07/02/2025, ,0.0, ,24.3, ,96,69,3.38,14.63
RHYLL,08/02/2025,4.0,0.0, ,22.7,16.8,82,59,6.38,14.46
RHYLL,09/02/2025,4.3,0.0, ,23.5,16.4,87,65,12.39,16.98
RHYLL,10/02/2025, ,0.0, , ,17.3,100,63,10.91,18.47
RHYLL,11/02/2025,6.4, , ,30.8,18.4,93,48,5.66,25.77
RHYLL,12/02/2025, ,0.0, , ,19.6,100,54,3.76,26.88
RHYLL,13/02/2025, ,0.0, ,32.5, ,91,40,5.00,17.96
RHYLL,14/02/2025, ,3.4, , ,16.2,86,57,3.09,20.04
RHYLL,15/02/2025, ,5.6, ,17.5, ,90,44,5.94,16.95
RHYLL,16/02/2025,4.4,7.6, ,19.1,10.2,79,43,5.77,20.34
RHYLL,17/02/2025,4.6,0.2, ,21.1,12.6,71,48,3.42,24.41
RHYLL,18/02/2025,3.6,0.0, ,20.5,12.8,89,53,3.58,18.02
RHYLL,19/02/2025,3.5,0.2, ,19.8,14.1,88,56,4.28,17.48
RHYLL,20/02/2025, ,0.0, , ,14.5,76,44,4.84,21.19
RHYLL,21/02/2025, ,0.0, , , ,100,49,3.90,24.29
RHYLL,22/02/2025, ,0.0, , , ,68,33,4.54,22.98
RHYLL,23/02/2025, ,0.8, , ,21.0,100,44,5.72,20.84
RHYLL,24/02/2025,4.1,0.0, ,22.2,15.8,85,55,3.45,21.61
RHYLL,25/02/2025,4.0,0.2, ,19.0,16.4,100,53,5.28,24.05
RHYLL,26/02/2025,6.3,0.0, ,33.6,16.5,100,21,3.64,20.75
RHYLL,27/02/2025,3.8,0.0, ,24.2,16.8,89,62,2.96,19.49
RHYLL,28/02/2025, ,0.0, , ,17.5,100,54,3.20,19.28
Totals:,,81.6,32.2, ,,,,,, 
