'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RHYLL Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RHYLL,01/03/2025, ,0.0, ,23.3, ,82,50,2.10,20.78
RHYLL,02/03/2025,3.5,0.0, ,21.5,15.9,100,52,4.19,16.96
RHYLL,03/03/2025,4.5,0.2, ,21.4,15.5,73,51,4.16,22.83
RHYLL,04/03/2025, ,0.0, , ,15.4,100,40,4.59,22.93
RHYLL,05/03/2025, ,0.0, , , ,100,33,3.51,22.68
RHYLL,06/03/2025, , , , , ,87,67,5.50,15.90
RHYLL,07/03/2025, ,0.0, ,29.9, ,100,48,5.49,22.28
RHYLL,08/03/2025, ,0.0, , ,16.8,100,45,3.56,22.21
RHYLL,09/03/2025, ,0.0, , , ,100,41,2.88,19.54
RHYLL,10/03/2025, ,0.0, , , ,100,41,2.88,21.21
RHYLL,11/03/2025,4.4,0.0, ,27.7,20.1,100,61,6.84,19.89
RHYLL,12/03/2025, ,0.0, ,33.2, ,100,37,4.41,12.29
RHYLL,13/03/2025, ,0.0, ,25.4, ,100,50,2.42,18.08
RHYLL,14/03/2025, ,0.0, , ,15.2,100,60,2.25,18.54
RHYLL,15/03/2025, ,0.0, , , ,100,48,2.47,7.63
RHYLL,16/03/2025, ,3.2, , , ,100,52,5.21,3.96
RHYLL,17/03/2025,3.9,4.8, ,20.0,11.4,69,42,4.10,18.17
RHYLL,18/03/2025,3.9,0.0, ,23.4,14.8,82,44,3.05,19.78
RHYLL,19/03/2025, ,0.0, , ,13.6,100,42,2.44,19.35
RHYLL,20/03/2025, ,0.0, ,25.6, ,94,59,5.53,4.96
RHYLL,21/03/2025,2.7,20.0, ,20.6,15.2,90,51,3.18,10.53
RHYLL,22/03/2025,3.0,0.0, ,20.9,13.7,81,53,1.81,18.20
RHYLL,23/03/2025,3.4,0.0, ,23.4,13.6,88,52,2.75,18.50
RHYLL,24/03/2025,3.1,0.0, ,21.6,15.6,80,55,3.10,14.91
RHYLL,25/03/2025,3.7,0.0, ,23.3,14.9,89,54,4.19,18.41
RHYLL,26/03/2025,2.8,0.0, ,20.3,16.8,80,62,3.45,12.16
RHYLL,27/03/2025,3.5,0.0, ,22.5,15.9,82,59,3.81,17.83
RHYLL,28/03/2025, ,0.0, , ,15.4,100,51,2.44,16.42
RHYLL,29/03/2025,2.1,0.0, ,21.2,18.7,92,69,3.68,8.22
RHYLL,30/03/2025,3.3,0.2, ,21.7,16.6,100,60,10.52,14.11
RHYLL,31/03/2025, , , ,20.1, ,100,59,8.69,14.17
Totals:,,47.8,28.4, ,,,,,, 
