'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/09/2024,2.7,0.0, ,19.5,3.5,98,44,2.99,16.04
RUTHERGLEN RESEARCH,02/09/2024,3.1,0.0, ,14.2,7.8,88,43,8.42,13.81
RUTHERGLEN RESEARCH,03/09/2024, ,0.0, , ,-1.5,99,53,1.93,17.13
RUTHERGLEN RESEARCH,04/09/2024,2.6, , ,19.0,-1.1,100,44,2.52,17.32
RUTHERGLEN RESEARCH,05/09/2024,2.7,0.2, ,21.1,10.8,68,57,3.84,7.41
RUTHERGLEN RESEARCH,06/09/2024,4.7,0.0, ,28.4,13.0,76,34,3.95,15.60
RUTHERGLEN RESEARCH,07/09/2024,2.6,4.0, ,17.5,7.4,100,45,2.29,17.78
RUTHERGLEN RESEARCH,08/09/2024,2.3,0.0, ,17.3,1.2,100,52,2.23,16.78
RUTHERGLEN RESEARCH,09/09/2024,1.9,0.0, ,16.0,6.0,99,60,2.72,11.71
RUTHERGLEN RESEARCH,10/09/2024,2.2,0.0, ,19.0,0.2,100,53,0.97,18.39
RUTHERGLEN RESEARCH,11/09/2024,2.8,0.0, ,21.8,2.0,100,53,2.31,17.54
RUTHERGLEN RESEARCH,12/09/2024,2.9,21.2, ,19.2,8.4,100,51,3.11,18.59
RUTHERGLEN RESEARCH,13/09/2024,2.2,0.0, ,16.8,-0.2,100,51,1.10,18.98
RUTHERGLEN RESEARCH,14/09/2024,2.2,0.0, ,15.1,0.4,100,53,3.54,13.93
RUTHERGLEN RESEARCH,15/09/2024,2.8,0.2, ,14.6,-1.3,91,38,3.34,19.36
RUTHERGLEN RESEARCH,16/09/2024,2.6,0.0, ,15.7,-3.8,99,54,3.87,19.39
RUTHERGLEN RESEARCH,17/09/2024,2.4,0.0, ,16.7,-1.5,100,50,1.83,18.74
RUTHERGLEN RESEARCH,18/09/2024,3.6,0.0, ,21.4,-1.8,99,23,2.36,19.92
RUTHERGLEN RESEARCH,19/09/2024,2.8,0.2, ,17.8,-0.2,98,44,3.84,13.82
RUTHERGLEN RESEARCH,20/09/2024,2.1,0.0, ,15.9,-1.4,99,56,2.33,13.65
RUTHERGLEN RESEARCH,21/09/2024,2.6,0.2, ,17.1,5.8,99,47,3.28,14.31
RUTHERGLEN RESEARCH,22/09/2024,2.5,0.2, ,18.1,2.1,100,52,2.11,16.87
RUTHERGLEN RESEARCH,23/09/2024,3.1,0.0, ,20.9,1.6,100,45,1.99,20.86
RUTHERGLEN RESEARCH,24/09/2024,3.3,0.0, ,25.9,3.6,100,27,1.66,15.63
RUTHERGLEN RESEARCH,25/09/2024,1.7,0.0, ,15.8,12.2,100,49,1.87,6.26
RUTHERGLEN RESEARCH,26/09/2024,3.3,11.6, ,17.1,7.9,89,39,2.55,21.16
RUTHERGLEN RESEARCH,27/09/2024,2.6,0.2, ,18.1,-1.6,99,42,0.69,21.58
RUTHERGLEN RESEARCH,28/09/2024,3.2,0.0, ,20.4,0.6,99,49,2.12,21.77
RUTHERGLEN RESEARCH,29/09/2024,2.4,0.0, ,19.1,7.2,100,60,3.00,12.59
RUTHERGLEN RESEARCH,30/09/2024,3.1,1.6, ,19.2,5.8,100,49,2.28,20.57
Totals:,,79,39.6, ,,,,,, 
