'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/11/2024,5.5,0.0, ,25.0,2.1,99,10,2.66,27.09
RUTHERGLEN RESEARCH,02/11/2024,5.6,0.0, ,28.7,1.9,95,18,2.31,26.46
RUTHERGLEN RESEARCH,03/11/2024,7.4,0.0, ,34.5,8.0,80,13,4.28,15.02
RUTHERGLEN RESEARCH,04/11/2024,4.9,0.0, ,25.3,7.1,87,25,2.70,21.97
RUTHERGLEN RESEARCH,05/11/2024,4.8,0.0, ,29.0,1.6,98,19,1.22,26.19
RUTHERGLEN RESEARCH,06/11/2024,7.0,0.0, ,36.1,8.0,92,17,3.16,20.28
RUTHERGLEN RESEARCH,07/11/2024,4.5,2.0, ,23.8,13.7,89,21,3.13,16.36
RUTHERGLEN RESEARCH,08/11/2024,4.5,0.2, ,22.9,3.6,99,32,3.47,21.28
RUTHERGLEN RESEARCH,09/11/2024,3.8,0.0, ,24.3,1.2,99,22,1.58,18.79
RUTHERGLEN RESEARCH,10/11/2024,5.3,0.0, ,27.3,1.4,94,16,1.85,27.18
RUTHERGLEN RESEARCH,11/11/2024,5.5,0.0, ,29.6,5.0,84,20,1.99,25.32
RUTHERGLEN RESEARCH,12/11/2024,5.0,0.0, ,30.7,7.4,85,24,2.28,17.84
RUTHERGLEN RESEARCH,13/11/2024,3.7,2.2, ,26.9,16.3,94,48,2.83,13.36
RUTHERGLEN RESEARCH,14/11/2024,6.0,11.0, ,27.9,9.1,90,22,3.08,25.98
RUTHERGLEN RESEARCH,15/11/2024,5.6,0.0, ,29.2,5.6,99,12,1.85,27.39
RUTHERGLEN RESEARCH,16/11/2024,7.8,0.0, ,34.5,7.3,82,18,3.62,26.62
RUTHERGLEN RESEARCH,17/11/2024,4.2,0.0, ,25.3,22.9,98,32,5.28,9.57
RUTHERGLEN RESEARCH,18/11/2024,5.8,15.0, ,23.2,7.0,86,30,4.78,27.62
RUTHERGLEN RESEARCH,19/11/2024,5.4,0.0, ,27.8,3.5,97,14,1.79,27.72
RUTHERGLEN RESEARCH,20/11/2024,5.5,0.0, ,30.8,4.6,95,19,1.50,27.50
RUTHERGLEN RESEARCH,21/11/2024,6.6,0.0, ,34.3,10.2,90,27,2.94,23.91
RUTHERGLEN RESEARCH,22/11/2024,7.0,0.0, ,35.1,13.6,89,18,2.47,27.00
RUTHERGLEN RESEARCH,23/11/2024,7.3,0.0, ,37.4,14.4,82,15,2.53,25.22
RUTHERGLEN RESEARCH,24/11/2024,2.9,0.0, ,27.2,16.5,100,42,2.57,6.66
RUTHERGLEN RESEARCH,25/11/2024,3.7,0.4, ,29.2,18.0,100,55,3.13,13.58
RUTHERGLEN RESEARCH,26/11/2024,5.6,7.0, ,32.1,18.7,100,40,4.16,18.74
RUTHERGLEN RESEARCH,27/11/2024,3.8,37.8, ,28.7,18.3,100,57,3.64,13.64
RUTHERGLEN RESEARCH,28/11/2024,6.0,26.0, ,31.4,14.0,100,25,1.79,28.30
RUTHERGLEN RESEARCH,29/11/2024,5.7,0.0, ,32.9,13.7,100,37,2.74,22.11
RUTHERGLEN RESEARCH,30/11/2024, ,28.2, ,24.3,18.4,100,70,2.86, 
Totals:,,156.4,129.8, ,,,,,, 
