'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/12/2024,6.3,12.0, ,28.7,16.2,100,27,3.90,25.49
RUTHERGLEN RESEARCH,02/12/2024,6.7,0.0, ,32.9,10.9,100,21,2.36,28.94
RUTHERGLEN RESEARCH,03/12/2024,5.1,17.0, ,32.1,19.2,100,40,3.69,15.88
RUTHERGLEN RESEARCH,04/12/2024,6.8,6.4, ,31.8,14.3,96,17,2.25,30.83
RUTHERGLEN RESEARCH,05/12/2024,6.9,0.0, ,36.2,15.3,92,28,2.28,27.93
RUTHERGLEN RESEARCH,06/12/2024,6.4,0.0, ,36.3,20.3,93,39,3.29,21.81
RUTHERGLEN RESEARCH,07/12/2024,6.5,5.6, ,34.2,21.3,100,38,3.38,24.50
RUTHERGLEN RESEARCH,08/12/2024,7.2,0.0, ,26.6,14.5,87,23,5.00,31.08
RUTHERGLEN RESEARCH,09/12/2024,4.1,0.0, ,25.5,9.9,92,28,1.87,18.05
RUTHERGLEN RESEARCH,10/12/2024,6.2,0.0, ,28.9,9.1,97,21,2.36,30.04
RUTHERGLEN RESEARCH,11/12/2024,6.6,0.0, ,27.8,8.5,96,23,3.19,31.14
RUTHERGLEN RESEARCH,12/12/2024,6.6,0.0, ,31.4,9.6,98,20,2.06,31.11
RUTHERGLEN RESEARCH,13/12/2024,7.1,0.0, ,33.2,11.2,94,25,2.78,30.04
RUTHERGLEN RESEARCH,14/12/2024,5.9,0.0, ,32.5,9.9,93,17,1.57,26.68
RUTHERGLEN RESEARCH,15/12/2024,6.6,0.0, ,35.6,12.3,90,20,1.40,31.09
RUTHERGLEN RESEARCH,16/12/2024,9.5,0.0, ,41.1,15.8,84,16,3.45,30.48
RUTHERGLEN RESEARCH,17/12/2024,7.9,0.0, ,29.3,23.7,61,20,5.31,22.36
RUTHERGLEN RESEARCH,18/12/2024,7.3,0.0, ,29.7,10.9,66,20,3.28,31.02
RUTHERGLEN RESEARCH,19/12/2024,6.2,0.0, ,29.3,10.1,78,21,1.91,30.95
RUTHERGLEN RESEARCH,20/12/2024,6.6,0.0, ,32.8,10.5,90,21,1.81,30.77
RUTHERGLEN RESEARCH,21/12/2024,7.5,0.0, ,32.4,11.2,92,15,3.11,30.49
RUTHERGLEN RESEARCH,22/12/2024,7.1,0.0, ,29.7,8.6,93,11,3.05,30.41
RUTHERGLEN RESEARCH,23/12/2024,6.9,0.0, ,22.9,9.9,71,26,7.50,27.19
RUTHERGLEN RESEARCH,24/12/2024,6.6,0.0, ,27.7,8.8,79,33,3.81,30.79
RUTHERGLEN RESEARCH,25/12/2024,6.4,0.0, ,33.7,10.1,95,22,1.49,30.85
RUTHERGLEN RESEARCH,26/12/2024,9.6,0.0, ,38.6,13.4,79,12,3.87,30.64
RUTHERGLEN RESEARCH,27/12/2024,7.6,0.0, ,26.6,16.8,66,26,5.47,29.26
RUTHERGLEN RESEARCH,28/12/2024,6.6,0.0, ,27.1,8.1,86,24,3.67,29.63
RUTHERGLEN RESEARCH,29/12/2024,6.4,0.0, ,29.1,9.2,89,21,2.38,30.52
RUTHERGLEN RESEARCH,30/12/2024,6.8,0.0, ,33.0,8.9,87,19,2.27,29.16
RUTHERGLEN RESEARCH,31/12/2024,7.7,0.0, ,33.4,12.2,84,12,2.93,30.28
Totals:,,211.7,41, ,,,,,, 
