'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for RUTHERGLEN RESEARCH Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
RUTHERGLEN RESEARCH,01/03/2025,6.5,0.0, ,35.5,13.3,79,16,2.59,23.69
RUTHERGLEN RESEARCH,02/03/2025,5.6,0.0, ,31.2,9.5,75,16,2.76,19.14
RUTHERGLEN RESEARCH,03/03/2025,4.9,0.0, ,31.8,9.3,92,21,1.60,23.13
RUTHERGLEN RESEARCH,04/03/2025,5.4,0.0, ,33.3,11.8,84,21,1.96,22.93
RUTHERGLEN RESEARCH,05/03/2025,5.7,0.0, ,34.0,13.2,72,22,2.29,22.71
RUTHERGLEN RESEARCH,06/03/2025,6.1,0.0, ,35.0,12.7,76,21,2.61,22.12
RUTHERGLEN RESEARCH,07/03/2025,5.0,0.0, ,32.4,11.9,80,20,1.78,22.28
RUTHERGLEN RESEARCH,08/03/2025,5.7,0.0, ,32.6,12.8,84,21,2.69,22.02
RUTHERGLEN RESEARCH,09/03/2025,5.8,0.0, ,34.4,15.4,100,28,3.24,20.30
RUTHERGLEN RESEARCH,10/03/2025,3.7,0.2, ,29.4,20.5,100,55,2.05,16.66
RUTHERGLEN RESEARCH,11/03/2025,4.8,0.0, ,35.0,16.5,100,26,1.65,20.74
RUTHERGLEN RESEARCH,12/03/2025,5.0,0.0, ,33.3,17.4,91,31,1.94,21.61
RUTHERGLEN RESEARCH,13/03/2025,5.9,0.0, ,36.8,17.9,85,22,2.47,20.89
RUTHERGLEN RESEARCH,14/03/2025,5.7,0.0, ,35.8,16.0,91,15,2.40,20.67
RUTHERGLEN RESEARCH,15/03/2025,5.2,0.0, ,37.5,10.9,79,12,1.75,18.57
RUTHERGLEN RESEARCH,16/03/2025,4.7,0.0, ,29.9,21.3,93,26,5.05,5.94
RUTHERGLEN RESEARCH,17/03/2025,4.0,0.0, ,21.8,5.8,92,29,3.16,20.49
RUTHERGLEN RESEARCH,18/03/2025,4.0,0.0, ,28.0,4.9,98,21,1.63,20.17
RUTHERGLEN RESEARCH,19/03/2025,5.4,0.0, ,34.5,10.5,82,24,2.65,18.39
RUTHERGLEN RESEARCH,20/03/2025,2.2,0.0, ,24.2,21.0,100,49,3.01,4.92
RUTHERGLEN RESEARCH,21/03/2025,3.9,0.0, ,27.0,19.8,100,43,3.07,16.58
RUTHERGLEN RESEARCH,22/03/2025,3.3,0.0, ,26.4,10.9,100,37,1.04,19.95
RUTHERGLEN RESEARCH,23/03/2025,3.6,0.0, ,29.9,12.2,100,38,1.19,19.52
RUTHERGLEN RESEARCH,24/03/2025,3.7,0.0, ,31.2,14.3,99,35,1.27,19.05
RUTHERGLEN RESEARCH,25/03/2025,3.8,0.0, ,32.4,14.3,100,35,1.35,18.43
RUTHERGLEN RESEARCH,26/03/2025,4.0,0.0, ,32.5,15.5,93,33,1.46,19.15
RUTHERGLEN RESEARCH,27/03/2025, ,0.0, , ,15.3,96,29,1.35,19.05
RUTHERGLEN RESEARCH,28/03/2025, , , ,27.4, ,95,45,1.43,11.25
RUTHERGLEN RESEARCH,29/03/2025,2.1,4.2, ,23.8,18.3,100,63,2.61,7.63
RUTHERGLEN RESEARCH,30/03/2025,3.1,0.4, ,25.1,13.3,95,45,2.95,12.05
RUTHERGLEN RESEARCH,31/03/2025,3.7,0.0, ,26.5,11.4,93,36,2.66,16.10
Totals:,,132.5,4.8, ,,,,,, 
