'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/09/2024,3.2,0.0, ,18.0,12.9,70,45,5.64,6.41
SCORESBY RESEARCH INSTITUTE,02/09/2024,2.7,0.0, ,12.9,8.8,79,51,7.15,11.46
SCORESBY RESEARCH INSTITUTE,03/09/2024,1.8,0.0, ,16.5,4.1,94,50,1.28,12.20
SCORESBY RESEARCH INSTITUTE,04/09/2024,3.3,0.0, ,18.3,7.3,77,42,4.99,14.30
SCORESBY RESEARCH INSTITUTE,05/09/2024,3.4,0.0, ,23.4,13.5,83,41,4.83,5.72
SCORESBY RESEARCH INSTITUTE,06/09/2024,3.0,0.0, ,23.4,13.1,94,31,3.59,4.78
SCORESBY RESEARCH INSTITUTE,07/09/2024,2.3,0.0, ,18.6,6.3,98,40,1.63,14.65
SCORESBY RESEARCH INSTITUTE,08/09/2024,2.1,0.0, ,16.3,9.0,92,53,2.90,10.93
SCORESBY RESEARCH INSTITUTE,09/09/2024,2.0,0.0, ,16.0,10.1,94,52,2.36,10.39
SCORESBY RESEARCH INSTITUTE,10/09/2024,2.5,0.0, ,19.6,5.3,94,51,1.74,17.51
SCORESBY RESEARCH INSTITUTE,11/09/2024,2.3,0.0, ,21.1,11.5,93,53,2.63,9.92
SCORESBY RESEARCH INSTITUTE,12/09/2024,2.2,0.0, ,14.8,4.8,93,49,1.71,16.97
SCORESBY RESEARCH INSTITUTE,13/09/2024,1.6,0.0, ,15.5,7.3,93,63,1.71,9.49
SCORESBY RESEARCH INSTITUTE,14/09/2024,1.7,0.0, ,10.3,8.2,97,58,3.20,10.04
SCORESBY RESEARCH INSTITUTE,15/09/2024,2.0,0.0, ,13.4,2.8,98,50,1.95,15.52
SCORESBY RESEARCH INSTITUTE,16/09/2024,1.8,0.0, ,14.5,8.3,95,66,3.16,11.10
SCORESBY RESEARCH INSTITUTE,17/09/2024,2.4,0.0, ,15.3,9.2,96,52,2.23,16.26
SCORESBY RESEARCH INSTITUTE,18/09/2024,3.7,0.0, ,19.9,2.9,89,28,3.30,19.28
SCORESBY RESEARCH INSTITUTE,19/09/2024, ,0.0, , ,9.0,93,50,2.74,12.23
SCORESBY RESEARCH INSTITUTE,20/09/2024, , , ,17.1, ,92,51,2.61,9.59
SCORESBY RESEARCH INSTITUTE,21/09/2024,2.4,12.0, ,16.5,9.2,88,50,2.75,11.65
SCORESBY RESEARCH INSTITUTE,22/09/2024,2.5,0.4, ,19.2,10.5,91,45,2.55,10.80
SCORESBY RESEARCH INSTITUTE,23/09/2024,2.0,0.0, ,17.3,10.8,95,58,1.75,10.67
SCORESBY RESEARCH INSTITUTE,24/09/2024,3.0,0.0, ,23.7,7.4,98,36,1.59,16.51
SCORESBY RESEARCH INSTITUTE,25/09/2024,1.6,1.2, ,14.1,12.8,96,53,1.39,7.42
SCORESBY RESEARCH INSTITUTE,26/09/2024,2.0,10.6, ,13.4,4.8,89,52,1.62,13.40
SCORESBY RESEARCH INSTITUTE,27/09/2024,2.7,0.0, ,17.3,6.0,96,52,1.13,21.00
SCORESBY RESEARCH INSTITUTE,28/09/2024,3.7,0.0, ,21.2,5.7,97,38,3.11,20.79
SCORESBY RESEARCH INSTITUTE,29/09/2024,1.9,0.0, ,16.6,14.7,96,54,3.50,5.05
SCORESBY RESEARCH INSTITUTE,30/09/2024, ,3.2, , ,5.4,98,49,1.69,18.79
Totals:,,65.8,27.4, ,,,,,, 
