'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/10/2024, , , ,17.8, ,96,57,1.64,16.71
SCORESBY RESEARCH INSTITUTE,02/10/2024, ,0.0, , ,3.9,98,55,1.33,21.98
SCORESBY RESEARCH INSTITUTE,03/10/2024, , , ,24.8, ,97,38,2.03,22.10
SCORESBY RESEARCH INSTITUTE,04/10/2024,3.9,0.2, ,22.9,13.7,95,44,4.96,15.74
SCORESBY RESEARCH INSTITUTE,05/10/2024, ,6.6, , ,9.8,98,53,1.58,13.57
SCORESBY RESEARCH INSTITUTE,06/10/2024, ,22.2, , , ,100,43,3.25,16.96
SCORESBY RESEARCH INSTITUTE,07/10/2024, ,0.6, , , ,100,57,2.92,6.47
SCORESBY RESEARCH INSTITUTE,08/10/2024, , , ,14.3, ,98,47,1.63,16.66
SCORESBY RESEARCH INSTITUTE,09/10/2024,3.1,0.0, ,20.9,0.5,98,39,0.74,23.38
SCORESBY RESEARCH INSTITUTE,10/10/2024,3.7,0.2, ,19.4,9.0,89,48,3.42,22.32
SCORESBY RESEARCH INSTITUTE,11/10/2024,2.7,0.0, ,16.9,5.6,96,55,1.79,18.29
SCORESBY RESEARCH INSTITUTE,12/10/2024,3.3,0.0, ,18.3,6.0,96,49,1.64,23.27
SCORESBY RESEARCH INSTITUTE,13/10/2024,4.7,0.0, ,24.0,6.9,95,29,3.19,23.02
SCORESBY RESEARCH INSTITUTE,14/10/2024,3.7, , ,21.7,12.8,91,56,2.43,21.81
SCORESBY RESEARCH INSTITUTE,15/10/2024,3.8,0.0, ,25.1,8.1,97,46,1.33,22.98
SCORESBY RESEARCH INSTITUTE,16/10/2024,3.9,1.0, ,24.9,14.3,89,47,2.36,19.07
SCORESBY RESEARCH INSTITUTE,17/10/2024,3.9,0.0, ,25.2,16.5,88,51,3.39,16.02
SCORESBY RESEARCH INSTITUTE,18/10/2024, ,3.0, , ,16.7,97,60,3.56,10.06
SCORESBY RESEARCH INSTITUTE,19/10/2024, , , , , , , , ,19.09
SCORESBY RESEARCH INSTITUTE,20/10/2024, , , , , , , , ,16.21
SCORESBY RESEARCH INSTITUTE,21/10/2024, , , , , , , , ,25.38
SCORESBY RESEARCH INSTITUTE,22/10/2024, , , ,29.8, ,95,29,3.34,20.20
SCORESBY RESEARCH INSTITUTE,23/10/2024,3.5, , ,20.2,11.1,90,43,1.98,19.37
SCORESBY RESEARCH INSTITUTE,24/10/2024,3.3,0.0, ,16.7,5.9,95,49,2.97,21.61
SCORESBY RESEARCH INSTITUTE,25/10/2024, ,2.8, , ,6.3,95,45,2.28,20.69
SCORESBY RESEARCH INSTITUTE,26/10/2024,4.0, , ,21.8,1.7,98,22,1.24,26.49
SCORESBY RESEARCH INSTITUTE,27/10/2024,4.7,0.0, ,25.6,10.9,80,29,2.99,19.08
SCORESBY RESEARCH INSTITUTE,28/10/2024,3.7,0.0, ,17.7,9.3,93,45,2.42,23.29
SCORESBY RESEARCH INSTITUTE,29/10/2024,3.2,0.0, ,19.0,8.4,88,55,1.68,20.02
SCORESBY RESEARCH INSTITUTE,30/10/2024,4.0,0.4, ,22.0,11.6,94,49,1.69,23.69
SCORESBY RESEARCH INSTITUTE,31/10/2024,3.5,0.8, ,19.3,11.2,92,50,2.51,19.66
Totals:,,66.6,37.8, ,,,,,, 
