'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/01/2025,4.9,0.0, ,23.6,11.2,97,39,2.62,26.15
SCORESBY RESEARCH INSTITUTE,02/01/2025,5.6,0.0, ,22.8,10.6,79,38,2.89,31.56
SCORESBY RESEARCH INSTITUTE,03/01/2025,6.5,0.0, ,33.3,8.0,92,30,1.77,31.84
SCORESBY RESEARCH INSTITUTE,04/01/2025, ,0.0, , ,15.3,90,11,1.91,28.24
SCORESBY RESEARCH INSTITUTE,05/01/2025,6.7, , ,38.9,17.5,54,12,2.11,20.76
SCORESBY RESEARCH INSTITUTE,06/01/2025,2.1,1.8, ,18.3,16.8,97,36,2.13,5.43
SCORESBY RESEARCH INSTITUTE,07/01/2025,5.6,18.0, ,25.0,9.9,90,47,3.21,31.18
SCORESBY RESEARCH INSTITUTE,08/01/2025,5.6,0.0, ,30.2,10.1,96,35,1.34,29.45
SCORESBY RESEARCH INSTITUTE,09/01/2025,5.8,0.0, ,32.5,16.8,77,26,2.12,22.81
SCORESBY RESEARCH INSTITUTE,10/01/2025,5.0,0.0, ,31.4,15.6,80,30,1.09,23.45
SCORESBY RESEARCH INSTITUTE,11/01/2025,6.0,0.0, ,35.0,15.7,88,28,1.60,25.58
SCORESBY RESEARCH INSTITUTE,12/01/2025, ,0.0, , ,19.5,98,49,1.81,8.88
SCORESBY RESEARCH INSTITUTE,13/01/2025, ,15.4, ,29.6, ,99,48,1.75,28.70
SCORESBY RESEARCH INSTITUTE,14/01/2025,5.7,0.0, ,29.8,17.4,91,40,1.87,27.75
SCORESBY RESEARCH INSTITUTE,15/01/2025,2.1,0.0, ,24.1,15.8,95,61,2.31,5.80
SCORESBY RESEARCH INSTITUTE,16/01/2025, ,3.6, , ,10.2,100,50,2.10,15.11
SCORESBY RESEARCH INSTITUTE,17/01/2025, ,0.0, ,24.8, , , , ,28.70
SCORESBY RESEARCH INSTITUTE,18/01/2025, ,0.2, ,30.1,14.8, , , ,30.73
SCORESBY RESEARCH INSTITUTE,19/01/2025,6.2,0.0, ,34.7,12.3,95,23,1.62,28.27
SCORESBY RESEARCH INSTITUTE,20/01/2025,5.2,0.0, ,35.0,13.7,93,22,1.33,22.00
SCORESBY RESEARCH INSTITUTE,21/01/2025,7.1,0.0, ,36.9,17.3,86,29,2.02,29.73
SCORESBY RESEARCH INSTITUTE,22/01/2025, ,0.0, , ,16.6,80,40,3.52,19.64
SCORESBY RESEARCH INSTITUTE,23/01/2025, , , ,22.4, ,95,52,1.68,14.40
SCORESBY RESEARCH INSTITUTE,24/01/2025,4.9,4.2, ,24.1,13.7,89,38,2.71,24.30
SCORESBY RESEARCH INSTITUTE,25/01/2025,5.0,0.0, ,26.7,14.8,87,40,1.71,26.03
SCORESBY RESEARCH INSTITUTE,26/01/2025,5.5,0.0, ,27.8,14.8,92,43,2.11,28.30
SCORESBY RESEARCH INSTITUTE,27/01/2025,8.2,0.0, ,39.4,16.3,91,19,3.54,24.86
SCORESBY RESEARCH INSTITUTE,28/01/2025,5.2,0.0, ,25.0,17.0,92,35,3.48,23.21
SCORESBY RESEARCH INSTITUTE,29/01/2025,5.4, , ,23.8,12.9,75,39,2.85,28.71
SCORESBY RESEARCH INSTITUTE,30/01/2025,4.5,0.0, ,24.1,11.6,79,39,2.21,22.59
SCORESBY RESEARCH INSTITUTE,31/01/2025,5.3,0.0, ,26.8,9.6,96,38,2.19,28.88
Totals:,,124.1,43.2, ,,,,,, 
