'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/02/2025,6.3,0.0, ,37.1,12.9,88,29,1.50,28.13
SCORESBY RESEARCH INSTITUTE,02/02/2025,8.0,0.0, ,39.3,16.6,94,25,3.68,24.52
SCORESBY RESEARCH INSTITUTE,03/02/2025,6.0,10.0, ,38.1,20.3,96,20,2.45,17.85
SCORESBY RESEARCH INSTITUTE,04/02/2025,7.2,0.0, ,38.4,22.1,79,24,3.19,21.53
SCORESBY RESEARCH INSTITUTE,05/02/2025,5.5,0.0, ,26.8,16.4,84,45,3.04,26.75
SCORESBY RESEARCH INSTITUTE,06/02/2025,6.3,0.0, ,36.5,14.0,98,25,1.71,27.62
SCORESBY RESEARCH INSTITUTE,07/02/2025,2.0,0.0, ,23.3,17.4,96,69,2.09,7.28
SCORESBY RESEARCH INSTITUTE,08/02/2025,2.8,0.0, ,22.0,15.7,80,55,2.55,9.72
SCORESBY RESEARCH INSTITUTE,09/02/2025,6.0,0.0, ,28.9,16.8,81,45,4.92,23.50
SCORESBY RESEARCH INSTITUTE,10/02/2025,4.9,0.0, ,26.3,18.0,83,53,3.53,22.33
SCORESBY RESEARCH INSTITUTE,11/02/2025,5.9,0.0, ,32.1,17.3,94,36,2.24,26.90
SCORESBY RESEARCH INSTITUTE,12/02/2025,5.8,0.0, ,36.2,15.3,97,29,1.37,26.87
SCORESBY RESEARCH INSTITUTE,13/02/2025, ,0.0, , ,22.7,85,30,4.50,18.21
SCORESBY RESEARCH INSTITUTE,14/02/2025, , , ,25.6, ,93,43,2.74,20.01
SCORESBY RESEARCH INSTITUTE,15/02/2025, ,1.8, , ,11.7,96,48,3.49,14.00
SCORESBY RESEARCH INSTITUTE,16/02/2025,2.5, , ,18.6,6.5,96,45,1.79,12.15
SCORESBY RESEARCH INSTITUTE,17/02/2025,4.3,0.2, ,23.9,6.3,97,36,1.63,25.95
SCORESBY RESEARCH INSTITUTE,18/02/2025,3.3,0.2, ,22.9,8.4,96,47,1.81,17.17
SCORESBY RESEARCH INSTITUTE,19/02/2025,3.0,0.2, ,20.1,13.4,79,52,2.62,12.80
SCORESBY RESEARCH INSTITUTE,20/02/2025,4.0,0.0, ,22.7,12.8,84,40,2.35,19.63
SCORESBY RESEARCH INSTITUTE,21/02/2025,4.9,0.0, ,32.4,7.9,94,25,1.41,24.34
SCORESBY RESEARCH INSTITUTE,22/02/2025,7.5,0.0, ,36.2,13.8,78,29,4.17,23.61
SCORESBY RESEARCH INSTITUTE,23/02/2025,5.3,0.0, ,31.0,24.7,91,35,4.36,14.97
SCORESBY RESEARCH INSTITUTE,24/02/2025,3.7,1.8, ,24.6,11.0,96,46,1.83,19.39
SCORESBY RESEARCH INSTITUTE,25/02/2025,4.8,0.0, ,30.0,11.3,93,30,1.63,24.23
SCORESBY RESEARCH INSTITUTE,26/02/2025,6.2,0.0, ,36.8,13.6,96,16,2.31,22.41
SCORESBY RESEARCH INSTITUTE,27/02/2025,4.9,0.0, ,30.5,15.4,91,35,1.94,22.80
SCORESBY RESEARCH INSTITUTE,28/02/2025,4.7,0.0, ,28.2,16.0,91,44,2.34,22.85
Totals:,,125.8,14.2, ,,,,,, 
