'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SCORESBY RESEARCH INSTITUTE Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SCORESBY RESEARCH INSTITUTE,01/04/2025,3.4,0.0, ,23.8,12.9,90,44,2.90,16.77
SCORESBY RESEARCH INSTITUTE,02/04/2025,2.7,0.0, ,24.9,8.2,96,35,1.13,16.96
SCORESBY RESEARCH INSTITUTE,03/04/2025,2.4,0.0, ,22.1,8.0,95,49,1.71,13.97
SCORESBY RESEARCH INSTITUTE,04/04/2025,2.0,0.4, ,19.0,12.6,87,48,1.33,10.45
SCORESBY RESEARCH INSTITUTE,05/04/2025,2.4,2.4, ,17.9,10.6,92,43,2.12,14.60
SCORESBY RESEARCH INSTITUTE,06/04/2025,2.4,0.2, ,21.8,5.1,93,39,2.14,10.06
SCORESBY RESEARCH INSTITUTE,07/04/2025,1.9,0.4, ,17.9,11.8,89,60,1.92,11.02
SCORESBY RESEARCH INSTITUTE,08/04/2025,1.8,0.2, ,19.1,11.9,91,58,1.17,11.13
SCORESBY RESEARCH INSTITUTE,09/04/2025,2.2,0.0, ,23.9,6.1,99,43,0.84,15.65
SCORESBY RESEARCH INSTITUTE,10/04/2025, ,0.0, , ,12.1,90,33,2.30,15.52
SCORESBY RESEARCH INSTITUTE,11/04/2025, , , ,23.4, ,90,43,1.76,13.60
SCORESBY RESEARCH INSTITUTE,12/04/2025, ,0.0, , ,9.8,97,25,0.99,15.31
SCORESBY RESEARCH INSTITUTE,13/04/2025,4.6, , ,31.0,15.9,59,27,3.09,14.22
SCORESBY RESEARCH INSTITUTE,14/04/2025,2.5,0.0, ,23.9,16.8,91,53,2.14,12.79
SCORESBY RESEARCH INSTITUTE,15/04/2025,2.3,0.0, ,27.9,10.3,98,36,0.88,13.92
SCORESBY RESEARCH INSTITUTE,16/04/2025,2.7,0.0, ,26.7,12.7,94,39,2.01,11.21
SCORESBY RESEARCH INSTITUTE,17/04/2025,2.2,0.0, ,30.6,12.6,90,31,0.60,14.46
SCORESBY RESEARCH INSTITUTE,18/04/2025,3.8,0.0, ,30.9,15.8,89,27,2.71,13.19
SCORESBY RESEARCH INSTITUTE,19/04/2025,3.8,0.2, ,30.3,15.5,92,21,2.72,11.03
SCORESBY RESEARCH INSTITUTE,20/04/2025, ,0.6, , ,16.3,81,38,1.97,7.77
SCORESBY RESEARCH INSTITUTE,21/04/2025,2.0, , ,22.8,9.5,88,51,1.79,9.81
SCORESBY RESEARCH INSTITUTE,22/04/2025,1.7,1.8, ,20.8,12.6,95,58,1.98,8.38
SCORESBY RESEARCH INSTITUTE,23/04/2025,2.2,0.0, ,25.3,10.9,96,44,1.39,13.49
SCORESBY RESEARCH INSTITUTE,24/04/2025,3.2,0.0, ,26.4,11.5,96,39,3.19,13.19
SCORESBY RESEARCH INSTITUTE,25/04/2025,1.9,0.0, ,23.9,13.1,96,49,1.93,7.03
SCORESBY RESEARCH INSTITUTE,26/04/2025,1.2,8.4, ,21.6,14.1,97,71,1.08,6.19
SCORESBY RESEARCH INSTITUTE,27/04/2025,1.2,0.0, ,17.1,14.4,95,69,1.87,5.23
SCORESBY RESEARCH INSTITUTE,28/04/2025,1.3,0.0, ,19.4,7.4,98,57,0.81,9.33
SCORESBY RESEARCH INSTITUTE,29/04/2025,1.2,0.4, ,17.3,10.8,98,67,1.62,6.76
SCORESBY RESEARCH INSTITUTE,30/04/2025,1.9,2.0, ,18.4,9.8,89,58,2.55,11.89
Totals:,,60.9,17, ,,,,,, 
