'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHE OAKS Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHE OAKS,01/10/2024,3.0,0.0, ,17.2,8.1,100,46,3.70,16.78
SHE OAKS,02/10/2024,3.3,0.0, ,19.1,6.4,100,44,2.32,21.20
SHE OAKS,03/10/2024,4.9,0.0, ,25.6,3.6,100,31,3.93,21.94
SHE OAKS,04/10/2024,5.6,0.0, ,24.4,16.2,73,40,7.08,18.89
SHE OAKS,05/10/2024,2.4,0.0, ,17.2,9.8,100,59,4.36,11.86
SHE OAKS,06/10/2024,3.7,5.2, ,18.4,10.0,93,44,6.66,15.87
SHE OAKS,07/10/2024,2.8,0.0, ,15.8,11.8,90,54,5.70,12.38
SHE OAKS,08/10/2024,2.2,0.6, ,13.5,0.3,97,46,2.26,13.80
SHE OAKS,09/10/2024,3.6,0.0, ,19.4,1.8,92,31,2.08,23.30
SHE OAKS,10/10/2024,4.4,0.0, ,19.0,6.1,85,35,5.05,23.39
SHE OAKS,11/10/2024,2.9,0.0, ,16.1,1.5,94,40,3.51,15.12
SHE OAKS,12/10/2024,3.5,0.0, ,17.0,6.2,94,42,2.59,23.65
SHE OAKS,13/10/2024,5.5,0.0, ,24.0,1.9,100,18,4.55,22.09
SHE OAKS,14/10/2024,3.0,3.8, ,18.9,11.8,100,54,3.49,16.28
SHE OAKS,15/10/2024,4.3,0.0, ,24.1,9.4,100,46,3.79,21.79
SHE OAKS,16/10/2024,4.3,2.0, ,24.9,12.8,93,49,3.00,21.71
SHE OAKS,17/10/2024,3.8,0.0, ,26.0,17.2,100,40,3.78,12.82
SHE OAKS,18/10/2024,2.2,9.4, ,21.7,15.7,100,72,5.61,8.20
SHE OAKS,19/10/2024,3.1,40.2, ,16.6,10.3,100,62,4.04,21.27
SHE OAKS,20/10/2024,3.2,0.0, ,18.8,7.4,100,53,2.56,20.31
SHE OAKS,21/10/2024,4.4,0.0, ,24.9,8.9,100,48,2.41,24.97
SHE OAKS,22/10/2024,5.8,0.0, ,29.1,12.1,88,25,4.17,18.54
SHE OAKS,23/10/2024,4.2,0.0, ,18.4,9.6,87,37,3.69,24.13
SHE OAKS,24/10/2024,4.0,0.0, ,16.2,7.1,90,34,4.78,22.19
SHE OAKS,25/10/2024,3.3,0.4, ,15.2,6.0,96,47,2.80,22.45
SHE OAKS,26/10/2024,4.5,0.0, ,21.4,1.7,96,22,2.53,26.11
SHE OAKS,27/10/2024,5.7,0.0, ,25.4,10.9,79,30,4.21,24.42
SHE OAKS,28/10/2024,4.2,0.0, ,19.3,8.9,97,37,2.73,25.46
SHE OAKS,29/10/2024,3.5,0.0, ,18.7,5.2,94,45,2.70,20.82
SHE OAKS,30/10/2024,4.2,0.0, ,21.4,9.4,98,38,2.38,24.16
SHE OAKS,31/10/2024,3.6,0.0, ,19.5,9.9,100,45,3.60,18.37
Totals:,,119.1,61.6, ,,,,,, 
