'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHE OAKS Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHE OAKS,01/11/2024,3.5,0.0, ,16.6,8.5,90,39,2.86,19.98
SHE OAKS,02/11/2024,6.4,0.0, ,24.9,4.7,95,15,5.52,23.37
SHE OAKS,03/11/2024,6.4,0.0, ,22.1,13.3,84,14,5.63,27.44
SHE OAKS,04/11/2024,3.2,0.0, ,19.3,7.0,95,43,2.65,15.87
SHE OAKS,05/11/2024,5.0,0.0, ,25.1,4.5,100,26,2.30,27.18
SHE OAKS,06/11/2024,8.5,0.0, ,32.3,13.8,81,21,6.57,24.03
SHE OAKS,07/11/2024,4.2,0.0, ,22.0,6.8,100,31,2.43,22.51
SHE OAKS,08/11/2024,3.5,4.4, ,16.8,8.3,88,39,4.84,15.14
SHE OAKS,09/11/2024,3.8,0.2, ,19.3,3.5,92,31,2.64,20.34
SHE OAKS,10/11/2024,4.0,0.0, ,20.4,6.2,95,45,2.66,23.42
SHE OAKS,11/11/2024,4.8,0.0, ,23.6,4.9,100,39,2.84,27.36
SHE OAKS,12/11/2024,3.8,0.0, ,26.3,12.4,100,40,2.17,16.24
SHE OAKS,13/11/2024,3.8,1.2, ,20.9,13.5,100,44,3.88,17.09
SHE OAKS,14/11/2024,4.3,0.0, ,18.5,9.1,76,43,3.04,24.27
SHE OAKS,15/11/2024,5.1,0.0, ,23.3,4.8,91,39,3.00,29.29
SHE OAKS,16/11/2024,8.7,0.0, ,33.1,6.5,96,8,4.53,28.27
SHE OAKS,17/11/2024,5.2,0.0, ,22.7,16.2,93,30,6.55,17.75
SHE OAKS,18/11/2024,4.2,2.0, ,19.0,9.4,92,38,4.95,19.55
SHE OAKS,19/11/2024,4.6,0.0, ,19.3,9.3,79,40,2.67,27.65
SHE OAKS,20/11/2024,4.5,0.0, ,19.3,10.0,91,42,3.42,26.55
SHE OAKS,21/11/2024, ,0.0, , ,10.1,99,31,2.39,29.22
SHE OAKS,22/11/2024, , , ,36.2, ,79,12,2.77,25.15
SHE OAKS,23/11/2024,7.9,0.0, ,35.9,22.7,100,14,4.83,20.41
SHE OAKS,24/11/2024,2.6,11.2, ,23.4,17.7,100,68,2.05,11.49
SHE OAKS,25/11/2024,1.7,0.0, ,17.9,13.7,100,85,2.13,8.49
SHE OAKS,26/11/2024,4.4,0.0, ,27.3,14.1,100,57,2.15,21.81
SHE OAKS,27/11/2024,5.4,18.8, ,28.8,16.6,100,41,4.50,20.76
SHE OAKS,28/11/2024,4.6,1.8, ,24.3,10.7,100,45,2.47,24.64
SHE OAKS,29/11/2024,4.9,0.0, ,26.5,15.6,100,54,3.34,24.65
SHE OAKS,30/11/2024, ,0.6, ,19.1,16.4,100,87,3.17, 
Totals:,,129,40.2, ,,,,,, 
