'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/09/2024,2.7,0.0, ,18.9,9.0,80,55,5.08,9.37
SHEPPARTON AIRPORT,02/09/2024,3.5,0.0, ,15.3,9.3,88,38,8.46,15.52
SHEPPARTON AIRPORT,03/09/2024,2.2,0.2, ,16.3,3.0,100,51,2.15,16.72
SHEPPARTON AIRPORT,04/09/2024,2.9,0.0, ,19.4,3.3,100,46,3.74,17.13
SHEPPARTON AIRPORT,05/09/2024,2.1,0.6, ,19.0,10.3,79,63,4.17,3.71
SHEPPARTON AIRPORT,06/09/2024,5.4,0.0, ,29.4,12.7,97,28,5.55,14.61
SHEPPARTON AIRPORT,07/09/2024,2.6,1.8, ,18.2,6.0,100,45,2.50,17.30
SHEPPARTON AIRPORT,08/09/2024,2.7,0.0, ,18.3,5.0,98,48,3.96,14.65
SHEPPARTON AIRPORT,09/09/2024,2.4,0.2, ,17.5,8.8,100,54,4.03,12.26
SHEPPARTON AIRPORT,10/09/2024,2.4,0.0, ,19.5,2.8,100,54,1.59,18.03
SHEPPARTON AIRPORT,11/09/2024,2.9,0.0, ,22.1,5.8,100,52,2.90,16.16
SHEPPARTON AIRPORT,12/09/2024,3.8,0.0, ,16.9,7.8,78,44,7.07,18.66
SHEPPARTON AIRPORT,13/09/2024,2.6,0.0, ,17.9,3.2,100,56,2.84,18.75
SHEPPARTON AIRPORT,14/09/2024,2.6,0.0, ,14.7,4.1,99,50,5.45,15.99
SHEPPARTON AIRPORT,15/09/2024,3.1,0.0, ,15.2,2.0,95,39,5.10,19.12
SHEPPARTON AIRPORT,16/09/2024,2.7,0.0, ,16.8,1.9,94,49,4.63,13.45
SHEPPARTON AIRPORT,17/09/2024,2.7,0.0, ,17.8,1.9,100,42,2.58,17.28
SHEPPARTON AIRPORT,18/09/2024,4.6,0.0, ,22.3,-0.1,99,17,4.12,19.78
SHEPPARTON AIRPORT,19/09/2024,3.7,0.0, ,18.4,4.6,85,37,5.65,14.97
SHEPPARTON AIRPORT,20/09/2024,2.8,0.0, ,17.8,4.6,98,52,4.69,15.36
SHEPPARTON AIRPORT,21/09/2024,3.4,2.4, ,18.6,7.8,96,43,5.23,15.98
SHEPPARTON AIRPORT,22/09/2024,3.0,0.0, ,19.6,7.3,98,49,4.00,14.44
SHEPPARTON AIRPORT,23/09/2024,3.1,0.0, ,21.1,4.2,100,45,2.17,19.85
SHEPPARTON AIRPORT,24/09/2024,3.9,0.0, ,26.3,7.1,99,25,2.60,15.21
SHEPPARTON AIRPORT,25/09/2024,2.6,0.0, ,18.6,14.1,83,57,4.47,8.12
SHEPPARTON AIRPORT,26/09/2024,4.6,0.0, ,17.7,8.3,67,37,7.00,20.87
SHEPPARTON AIRPORT,27/09/2024,3.4,0.0, ,19.3,3.2,85,33,2.09,21.43
SHEPPARTON AIRPORT,28/09/2024,3.9,0.0, ,21.9,2.8,98,38,3.53,21.31
SHEPPARTON AIRPORT,29/09/2024,1.5,0.0, ,15.5,10.6,100,65,3.16,5.16
SHEPPARTON AIRPORT,30/09/2024,3.2,8.0, ,20.7,7.0,100,43,1.93,20.33
Totals:,,93,13.2, ,,,,,, 
