'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/11/2024,5.9,0.0, ,21.3,8.9,77,28,6.13,26.93
SHEPPARTON AIRPORT,02/11/2024,6.4,0.0, ,27.7,5.0,93,14,3.67,25.29
SHEPPARTON AIRPORT,03/11/2024,8.3,0.0, ,32.1,15.1,63,17,5.47,22.89
SHEPPARTON AIRPORT,04/11/2024,5.8,0.0, ,23.8,12.3,74,32,4.77,25.25
SHEPPARTON AIRPORT,05/11/2024,5.5,0.0, ,28.1,7.9,91,21,2.24,26.46
SHEPPARTON AIRPORT,06/11/2024,7.9,0.0, ,36.3,12.5,71,19,4.17,20.44
SHEPPARTON AIRPORT,07/11/2024,5.6,0.0, ,24.5,12.5,84,28,5.09,20.27
SHEPPARTON AIRPORT,08/11/2024,4.6,0.0, ,22.4,9.1,88,38,4.63,19.80
SHEPPARTON AIRPORT,09/11/2024,3.9,0.0, ,21.9,7.4,86,30,2.45,17.74
SHEPPARTON AIRPORT,10/11/2024,5.9,0.0, ,26.1,6.7,83,25,3.34,27.51
SHEPPARTON AIRPORT,11/11/2024,5.7,0.0, ,29.2,7.7,94,24,2.43,26.26
SHEPPARTON AIRPORT,12/11/2024,4.1,0.0, ,29.0,14.8,87,29,2.52,11.84
SHEPPARTON AIRPORT,13/11/2024,4.6,1.0, ,26.9,14.7,97,51,4.02,19.71
SHEPPARTON AIRPORT,14/11/2024,7.5,0.0, ,26.1,11.2,75,21,6.35,28.23
SHEPPARTON AIRPORT,15/11/2024,6.3,0.0, ,27.4,8.1,77,15,2.93,28.21
SHEPPARTON AIRPORT,16/11/2024,8.8,0.0, ,35.8,8.0,86,18,4.44,27.30
SHEPPARTON AIRPORT,17/11/2024,5.8,14.4, ,25.6,19.5,94,30,7.52,15.73
SHEPPARTON AIRPORT,18/11/2024,6.1,0.4, ,23.7,9.6,81,29,5.09,27.50
SHEPPARTON AIRPORT,19/11/2024,6.9,0.0, ,26.4,9.7,76,23,4.69,28.61
SHEPPARTON AIRPORT,20/11/2024,6.9,0.0, ,29.3,9.7,79,21,3.54,28.51
SHEPPARTON AIRPORT,21/11/2024, ,0.0, , ,10.4,92,17,3.13,28.50
SHEPPARTON AIRPORT,22/11/2024, , , , , ,90,16,2.44,25.96
SHEPPARTON AIRPORT,23/11/2024, , , ,37.7, ,66,18,4.46,21.79
SHEPPARTON AIRPORT,24/11/2024,2.3,0.0, ,21.9,21.9,100,53,3.29,6.32
SHEPPARTON AIRPORT,25/11/2024,1.7,24.0, ,22.4,18.8,100,85,1.89,7.35
SHEPPARTON AIRPORT,26/11/2024,5.2,3.8, ,30.7,18.0,100,49,2.69,22.80
SHEPPARTON AIRPORT,27/11/2024,5.7,11.2, ,31.3,19.8,100,50,5.73,20.87
SHEPPARTON AIRPORT,28/11/2024,6.1,0.2, ,30.0,13.6,97,33,2.40,29.06
SHEPPARTON AIRPORT,29/11/2024,7.1,0.0, ,34.1,15.9,98,29,3.39,27.24
SHEPPARTON AIRPORT,30/11/2024, ,22.2, ,24.7,18.5,100,71,3.58, 
Totals:,,150.6,77.2, ,,,,,, 
