'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/12/2024,5.9,22.8, ,25.9,16.3,100,38,3.92,28.87
SHEPPARTON AIRPORT,02/12/2024,7.1,0.2, ,32.1,13.6,97,25,3.36,28.61
SHEPPARTON AIRPORT,03/12/2024,6.6,16.6, ,31.6,19.8,100,42,5.94,23.91
SHEPPARTON AIRPORT,04/12/2024, ,0.0, , ,12.5,79,18,3.62,31.48
SHEPPARTON AIRPORT,05/12/2024, , , ,35.3, ,96,26,2.31,31.12
SHEPPARTON AIRPORT,06/12/2024,7.8,0.0, ,37.7,21.4,90,33,4.21,24.42
SHEPPARTON AIRPORT,07/12/2024,6.6,5.6, ,33.1,19.9,100,39,4.05,25.26
SHEPPARTON AIRPORT,08/12/2024,6.9,0.4, ,25.3,13.0,80,32,5.35,31.59
SHEPPARTON AIRPORT,09/12/2024,4.9,0.0, ,24.3,12.1,88,32,2.89,22.41
SHEPPARTON AIRPORT,10/12/2024,6.5,0.0, ,26.7,11.9,92,29,4.26,29.58
SHEPPARTON AIRPORT,11/12/2024,7.0,0.0, ,27.3,10.8,88,23,3.98,31.82
SHEPPARTON AIRPORT,12/12/2024,7.3,0.0, ,31.4,13.0,87,25,3.04,31.85
SHEPPARTON AIRPORT,13/12/2024,6.9,0.0, ,30.0,15.5,93,35,3.55,31.15
SHEPPARTON AIRPORT,14/12/2024,6.0,0.0, ,32.0,12.9,91,23,2.56,22.64
SHEPPARTON AIRPORT,15/12/2024,7.5,0.0, ,35.5,14.4,89,21,2.24,31.91
SHEPPARTON AIRPORT,16/12/2024,10.1,0.0, ,41.7,19.8,69,18,4.64,24.77
SHEPPARTON AIRPORT,17/12/2024,8.8,0.4, ,29.3,19.3,70,19,6.60,28.44
SHEPPARTON AIRPORT,18/12/2024,8.2,0.0, ,28.6,12.8,70,23,5.49,31.92
SHEPPARTON AIRPORT,19/12/2024,6.6,0.0, ,30.1,10.0,84,24,2.26,31.81
SHEPPARTON AIRPORT,20/12/2024,7.7,0.0, ,33.8,14.6,81,18,2.74,31.63
SHEPPARTON AIRPORT,21/12/2024,8.7,0.0, ,29.0,15.9,72,27,7.34,30.94
SHEPPARTON AIRPORT,22/12/2024,8.3,0.0, ,28.5,11.8,72,19,5.88,30.28
SHEPPARTON AIRPORT,23/12/2024,6.0,0.6, ,22.5,9.3,81,31,7.16,23.25
SHEPPARTON AIRPORT,24/12/2024,6.7,0.0, ,27.1,9.8,79,36,4.75,30.55
SHEPPARTON AIRPORT,25/12/2024,7.3,0.0, ,33.9,14.0,89,22,2.39,31.66
SHEPPARTON AIRPORT,26/12/2024,12.1,0.0, ,40.7,16.6,69,10,6.01,28.78
SHEPPARTON AIRPORT,27/12/2024,7.2,0.0, ,25.7,15.5,62,29,5.84,27.02
SHEPPARTON AIRPORT,28/12/2024,6.7,0.0, ,27.2,10.6,80,29,4.73,27.61
SHEPPARTON AIRPORT,29/12/2024,6.9,0.0, ,28.6,12.6,92,25,3.43,31.45
SHEPPARTON AIRPORT,30/12/2024,7.5,0.0, ,32.2,13.7,88,22,3.68,29.14
SHEPPARTON AIRPORT,31/12/2024,9.1,0.0, ,33.4,15.9,80,15,4.87,31.29
Totals:,,214.9,46.6, ,,,,,, 
