'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/02/2025,8.3,0.0, ,38.1,15.2,79,19,3.37,28.25
SHEPPARTON AIRPORT,02/02/2025,9.1,0.0, ,38.9,23.3,60,25,4.23,26.85
SHEPPARTON AIRPORT,03/02/2025,8.4,0.0, ,38.4,22.6,61,19,4.37,19.73
SHEPPARTON AIRPORT,04/02/2025,8.3,0.0, ,39.4,22.5,77,21,4.10,21.90
SHEPPARTON AIRPORT,05/02/2025,8.2,0.0, ,34.1,17.7,81,29,5.28,27.52
SHEPPARTON AIRPORT,06/02/2025,7.3,0.0, ,37.5,16.7,87,30,3.07,25.98
SHEPPARTON AIRPORT,07/02/2025,9.3,0.0, ,40.7,23.1,75,20,4.93,22.18
SHEPPARTON AIRPORT,08/02/2025,7.2,0.0, ,30.8,17.5,76,39,5.76,25.56
SHEPPARTON AIRPORT,09/02/2025,5.0,0.0, ,31.9,14.8,95,33,2.78,16.89
SHEPPARTON AIRPORT,10/02/2025,7.3,0.0, ,33.5,16.7,86,23,4.12,24.76
SHEPPARTON AIRPORT,11/02/2025,6.5,0.0, ,34.1,14.6,85,22,2.37,26.50
SHEPPARTON AIRPORT,12/02/2025,7.1,0.0, ,35.9,18.4,80,26,2.90,26.36
SHEPPARTON AIRPORT,13/02/2025,8.2,0.0, ,36.8,23.1,84,29,6.20,19.11
SHEPPARTON AIRPORT,14/02/2025,7.5,1.2, ,29.9,18.4,78,27,5.84,24.94
SHEPPARTON AIRPORT,15/02/2025,5.4,0.0, ,22.7,11.4,78,33,6.75,18.30
SHEPPARTON AIRPORT,16/02/2025,5.2,0.0, ,21.2,7.1,81,32,5.96,22.56
SHEPPARTON AIRPORT,17/02/2025,5.6,0.0, ,26.5,7.2,80,15,2.69,25.55
SHEPPARTON AIRPORT,18/02/2025,7.2,0.0, ,28.6,13.3,74,23,5.39,25.17
SHEPPARTON AIRPORT,19/02/2025,7.3,0.0, ,26.5,12.6,66,30,7.64,25.07
SHEPPARTON AIRPORT,20/02/2025,7.3,0.0, ,28.9,13.6,70,24,5.65,24.94
SHEPPARTON AIRPORT,21/02/2025,6.7,0.0, ,33.1,10.5,80,23,3.30,24.68
SHEPPARTON AIRPORT,22/02/2025,9.5,0.0, ,37.9,19.2,56,26,6.23,21.58
SHEPPARTON AIRPORT,23/02/2025,8.0,1.6, ,36.2,20.7,85,25,5.63,19.79
SHEPPARTON AIRPORT,24/02/2025,7.3,0.4, ,29.5,14.1,75,29,6.20,24.29
SHEPPARTON AIRPORT,25/02/2025,6.6,0.0, ,34.3,13.3,79,21,2.97,23.90
SHEPPARTON AIRPORT,26/02/2025,7.2,0.0, ,35.6,16.8,71,19,3.33,23.84
SHEPPARTON AIRPORT,27/02/2025,7.5,0.0, ,35.8,16.3,79,13,3.66,23.32
SHEPPARTON AIRPORT,28/02/2025,6.8,0.0, ,33.6,19.0,76,22,3.66,22.29
Totals:,,205.3,3.2, ,,,,,, 
