'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHEPPARTON AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHEPPARTON AIRPORT,01/03/2025,7.1,0.0, ,35.0,15.0,89,13,3.47,23.42
SHEPPARTON AIRPORT,02/03/2025,6.5,0.0, ,28.2,15.9,72,33,6.51,18.76
SHEPPARTON AIRPORT,03/03/2025,7.4,0.0, ,30.5,12.9,70,18,5.07,23.02
SHEPPARTON AIRPORT,04/03/2025,5.9,0.0, ,33.6,11.8,80,24,2.61,22.98
SHEPPARTON AIRPORT,05/03/2025,6.7,0.0, ,34.0,18.4,63,25,3.46,22.75
SHEPPARTON AIRPORT,06/03/2025,7.2,0.0, ,33.8,18.7,79,29,4.99,22.47
SHEPPARTON AIRPORT,07/03/2025,5.1,0.0, ,32.9,15.7,87,25,1.89,22.31
SHEPPARTON AIRPORT,08/03/2025,5.8,0.0, ,32.7,17.4,75,27,2.90,22.10
SHEPPARTON AIRPORT,09/03/2025,6.5,0.0, ,34.6,18.9,92,30,4.51,19.51
SHEPPARTON AIRPORT,10/03/2025,5.1,8.2, ,33.2,20.6,94,41,2.66,20.56
SHEPPARTON AIRPORT,11/03/2025,5.1,0.0, ,35.1,17.9,98,28,1.82,21.65
SHEPPARTON AIRPORT,12/03/2025,5.9,0.0, ,34.4,20.5,74,33,2.92,21.42
SHEPPARTON AIRPORT,13/03/2025,6.7,0.0, ,36.7,18.5,90,22,3.52,21.11
SHEPPARTON AIRPORT,14/03/2025,5.8,0.0, ,35.8,15.0,93,12,2.46,20.31
SHEPPARTON AIRPORT,15/03/2025,5.2,0.0, ,38.3,15.2,77,15,1.83,18.02
SHEPPARTON AIRPORT,16/03/2025,3.4,0.0, ,25.8,21.8,97,38,5.06,4.58
SHEPPARTON AIRPORT,17/03/2025,4.5,11.6, ,21.5,8.1,86,35,5.11,20.06
SHEPPARTON AIRPORT,18/03/2025,4.4,0.0, ,27.4,7.7,92,26,2.50,20.18
SHEPPARTON AIRPORT,19/03/2025,6.2,0.0, ,34.4,12.0,81,17,3.21,19.74
SHEPPARTON AIRPORT,20/03/2025,3.0,0.0, ,26.2,18.9,100,40,4.02,5.12
SHEPPARTON AIRPORT,21/03/2025,3.7,26.8, ,25.6,16.5,100,50,3.23,17.46
SHEPPARTON AIRPORT,22/03/2025,4.8,0.0, ,27.2,11.0,96,25,3.46,19.64
SHEPPARTON AIRPORT,23/03/2025,4.3,0.0, ,29.8,12.7,86,37,2.43,19.15
SHEPPARTON AIRPORT,24/03/2025,5.2,0.0, ,29.6,14.8,92,32,4.11,19.28
SHEPPARTON AIRPORT,25/03/2025,5.3,0.0, ,33.1,13.3,88,32,3.24,19.03
SHEPPARTON AIRPORT,26/03/2025,5.4,0.0, ,32.9,16.0,90,36,3.96,18.00
SHEPPARTON AIRPORT,27/03/2025,5.2,0.0, ,31.9,14.4,79,34,3.49,18.69
SHEPPARTON AIRPORT,28/03/2025,3.1,0.0, ,28.3,16.0,95,46,2.58,10.96
SHEPPARTON AIRPORT,29/03/2025,2.7,11.6, ,24.8,17.7,100,68,5.25,11.59
SHEPPARTON AIRPORT,30/03/2025,4.9,0.2, ,26.7,16.1,85,42,5.95,16.52
SHEPPARTON AIRPORT,31/03/2025,5.0,0.0, ,25.3,14.2,79,36,5.59,17.97
Totals:,,163.1,58.4, ,,,,,, 
